user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,2,2015-02-10,20,20,5000,-,19,10,-,30.6,51,0.8,west,sunny,-,-,-
1,2,2015-05-28,20,20,5000,-,10,10,-,30.8,60,0.6,east,sunny,-,-,-
1,2,2015-08-29,20,20,5000,-,10,10,-,31.8,61,1.9,east,sunny,-,-,-
1,2,2015-11-19,20,20,5000,-,16,10,-,31.7,61,1.7,north,sunny,-,-,-
1,2,2016-03-08,20,20,5000,-,10,10,-,29.8,63,1.1,East,Sunny,760,-,-
1,2,2016-05-19,20,20,5000,-,10,10,-,30.9,58,0.9,South,Sunny,760,-,-
1,2,2016-08-27,20,20,5000,-,10,10,-,31.7,60,1.9,South,Sunny,760,-,-
1,2,2016-12-05,20,20,5000,-,10,10,-,29.6,66,0.7,North,Cloudy,760,-,-
1,2,2017-03-16,20,20,5000,-,10,10,-,29.8,61,1.7,West,Sunny,760,-,-
1,2,2017-05-10,20,20,5000,-,70,10,-,30.6,61,0.8,North,Sunny,760,-,-
1,2,2017-08-10,20,20,5000,-,10,10,-,28.6,63,1.1,West,Cloudy,760,-,-
1,2,2017-10-20,20,20,5000,10,115,10,10,27.6,65,0.4,East,Sunny,760,-,-
1,2,2018-03-10,20,20,5000,10,15,10,10,33.8,64,1.6,East,Sunny,756,-,-
1,2,2018-06-04,20,20,5000,10,17,12,10,33.3,66.2,1.6,North,Cloudy,743,-,-
1,2,2018-08-30,20,20,5000,10,24,10,10,31.3,65,1.6,North,Cloudy,743.02,-,-
1,2,2018-11-07,20,20,5000,10,35,10,10,33.3,60,1.3,East,Sunny,742,-,-
1,2,2019-02-28,20,20,5000,10,37,10,10,33.5,63,1.6,North,Sunny,753,-,-
1,2,2019-05-29,20,20,5000,10,48,18,10,35.5,55,1.9,East,Sunny,754,-,-
1,2,2019-08-17,20,5,100,20,66.7,30,19.1,25.6 - 32.6,53.3 - 89.0,2.1 - 7.7,North,Clear - Cloudy,740.3 - 742.8,-,-
1,2,2019-11-24,20,5,100,20,59.1,28.9,16.7,21.8 - 34.1,59.5 - 91.0,1.5 - 3.1,East,Clear - Cloudy - Rainy,739.5 - 742.5,-,-
1,2,2020-02-15,20,5,100,-,52.8,25.4,15.1,23.9 - 35.4,61.5 - 91.0,0.5,-,Clear - Rainy - Cloudy,738.2 - 743.0,-,-
1,2,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,2020-08-19,20,20,5000,-,62,10,10,34.3,58,2.3,West,Sunny,746,-,-
1,2,2020-11-18,20,20,5000,10,48,22,10,34.3,34.3,1.2,West,Sunny,756,-,-
1,2,2021-02-21,20,20,5000,10,58,10,10,34,58,2.1,West,Sunny,754,-,-
1,2,2021-05-29,20,20,5000,10,31,13,10,30.8,65,1.6,South,Sunny,755,0.05,10
1,2,2021-08-16,20,20,5000,10,14,10,10,35.6,56,1.8,East,Sunny,750,0.05,10
1,2,2021-10-31,20,20,5000,10,20,10,10,29,55,2,West,Cloudy,759,0.05,10
1,2,2022-01-15,20,20,5000,10,22,11,10,26,66,1.3,North,Cloudy,757,0.05,10
1,2,2022-04-18,20,20,5000,10,52,10,10,31.9,68,1.2,North,Sunny,757,0.05,10
1,2,2022-07-30,20,20,5000,10,22,10,10,32.8,66,1.7,West,Sunny,757,0.05,10
