user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,3,2015-02-11,20,20,5000,-,-,-,-,30.1,50,1,east,sunny,-,-,-
1,3,2015-05-29,20,20,5000,-,15,10,-,31,60,0.6,east,sunny,-,-,-
1,3,2015-08-21,20,20,5000,-,25,10,-,32.1,61,2,west,sunny,-,-,-
1,3,2015-11-20,20,20,5000,-,13,10,-,31.9,60,0.7,east,sunny,-,-,-
1,3,2016-03-12,20,20,5000,-,18,10,-,27.9,67,1.3,West,Cloudy,760,-,-
1,3,2016-05-21,20,20,5000,-,10,10,-,32.7,58,1.5,South,Sunny,650,-,-
1,3,2016-08-22,20,20,5000,-,10,10,-,31.2,63,1.1,North,Sunny,760,-,-
1,3,2016-12-06,20,20,5000,-,16,10,-,30.8,63,1.3,East,Sunny,760,-,-
1,3,2017-03-15,20,20,5000,-,10,10,-,29.7,61,1.8,West,Sunny,760,-,-
1,3,2017-05-09,20,20,5000,-,10,10,-,29.5,62,1.1,East,Sunny,758,-,-
1,3,2017-08-09,20,20,5000,-,22,10,-,31.8,59,1.4,East,Sunny,760,-,-
1,3,2017-10-22,20,20,5000,10,139,16,11,26.8,67,0.3,West,Sunny,760,-,-
1,3,2018-03-11,20,20,5000,10,24,12,10,33.8,61,1.3,South,Sunny,757,-,-
1,3,2018-06-05,20,20,5000,10,59,30,10,33.7,59.6,1.4,East,Sunny,740,-,-
1,3,2018-08-31,25,20,5000,10,72,26,10,34.5,60,1.7,East,Sunny,741.62,-,-
1,3,2018-11-06,20,20,5000,10,35,15,10,29.2,66,0.9,North,Cloudy,740,-,-
1,3,2019-03-01,20,20,5000,10,282,34,29,33.8,62,1.9,East,Sunny,751,-,-
1,3,2019-05-25,20,20,5000,10,215,88,60,35,55,1.8,South,Sunny,751,-,-
1,3,2019-08-19,20,5,100,20,70,20,13.2,21.1 - 32.2,63.0 - 85.4,1.5 - 6.0,West,Clear - Cloudy - Rainy,735.8 - 739.1,-,-
1,3,2019-11-26,23,5,100,20,66,23.8,15.5,24.1 - 33.0,63.4 - 86.7,0.8 - 2.5,North,Clear,736.8 - 748.8,-,-
1,3,2020-02-14,20,5,100,-,59.6,19.7,13.6,23.8 - 32.4,68.5 - 91.6,1.0 - 2.5,North,Clear - Cloudy - Rainy,737.1 - 741.2,-,-
1,3,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3,2020-08-18,20,20,5000,-,24,11,10,33.8,58,1.8,North,Sunny,746,-,-
1,3,2020-11-15,20,20,5000,10,10,10,10,31.2,51,1.2,North,Cloudy,757,-,-
1,3,2021-02-15,20,20,5000,10,10,10,10,25.6,80,1.4,North,Cloudy,755,-,-
1,3,2021-05-28,20,20,5000,10,75,30,10,30.8,68,1.6,South,Sunny,739,0.05,10
1,3,2021-08-15,20,20,5000,10,17,10,10,35.1,57,2.1,East,Sunny,749,0.05,10
1,3,2021-10-30,20,20,5000,10,36,17,10,28.8,-,-,East,Cloudy,757,0.05,10
1,3,2022-01-16,20,20,5000,10,17,10,10,26,66,1.1,West,Cloudy,757,0.05,10
1,3,2022-04-23,20,20,5000,10,11,10,10,28,79,1.4,North,Sunny,758,0.05,10
1,3,2022-07-29,20,20,5000,10,39,18,10,31,64,1.7,West,Sunny,757,0.05,10
