user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,4,2015-02-11,20,20,5000,-,10,10,-,29.9,55,0.6,south,sunny,-,-,-
1,4,2015-05-20,20,20,5000,-,13,10,-,30.4,67,1,west,sunny,-,-,-
1,4,2015-09-01,20,20,5000,-,10,10,-,32.8,58,1.4,east,sunny,-,-,-
1,4,2015-11-27,20,20,5000,-,10,10,-,33.4,57,1.3,west,sunny,-,-,-
1,4,2016-03-19,20,20,5000,-,18,10,-,33.1,61,1.7,North,Sunny,758,-,-
1,4,2016-05-27,20,20,5000,-,10,10,-,31.6,60,1.2,North,Sunny,760,-,-
1,4,2016-08-26,20,20,5000,-,10,10,-,31.8,61,1.1,North,Sunny,760,-,-
1,4,2016-12-15,20,20,5000,-,20,10,-,27.8,64,0.9,North,Cloudy,760,-,-
1,4,2017-03-14,20,20,5000,-,10,10,-,28.1,63,0.6,North,Cloudy,760,-,-
1,4,2017-05-11,20,20,5000,-,10,10,-,33.6,59,1.5,North,Sunny,760,-,-
1,4,2017-08-17,20,20,5000,-,10,10,-,33.4,58,1.1,South,Sunny,760,-,-
1,4,2017-10-23,20,20,5000,10,128,10,10,27.6,66,0.3,North,Sunny,760,-,-
1,4,2018-03-08,20,20,5000,10,10,10,10,30.8,64,1.1,East,Sunny,758,-,-
1,4,2018-06-07,20,20,5000,10,43,10,10,34.1,57.6,1.7,North,Sunny,753,-,-
1,4,2018-08-29,20,20,5000,10,48,10,10,34,61,1.8,North,Sunny,753.48,-,-
1,4,2018-11-09,20,20,5000,10,36,10,10,33.7,59,1.4,North,Sunny,753,-,-
1,4,2019-03-05,20,20,5000,10,23,13,10,28.1,70,1.1,North,Cloudy,753,-,-
1,4,2019-05-21,20,20,5000,10,10,10,10,33.5,60,1.6,North,Sunny,753,-,-
1,4,2019-08-24,20,5,100,20,45.3,20.6,10.7,25.0 - 44.0,48.7 - 81.0,1.1 - 4.2,West,Clear,750.0 - 752.0,-,-
1,4,2019-11-23,20,5,100,20,47.3,30.1,10.2,23.9 - 35.3,55.7 - 92.1,0.8 - 3.7,North,Clear - Cloudy - Rainy,741.2 - 753.2,-,-
1,4,2020-02-16,20,5,100,-,41,24.7,8.7,25.0 - 31.1,61.5 - 91.4,1.0 - 2.7,West,Clear - Cloudy - Rainy,751.3 - 753.9,-,-
1,4,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,2020-08-21,20,20,5000,-,16,10,10,34.7,57,1.8,East,Sunny,747,-,-
1,4,2020-11-11,20,20,5000,10,10,10,10,31.6,71,1.1,West,Sunny,760,-,-
1,4,2021-02-24,20,20,5000,10,13,10,10,34.6,56,1.3,South,Sunny,758,-,-
1,4,2021-05-27,20,20,5000,10,10,10,10,30.7,63,1.2,South,Sunny,757,0.05,10
1,4,2021-08-14,20,20,5000,10,10,10,10,34.7,56,1.6,North,Sunny,757,0.05,10
1,4,2021-10-29,20,20,5000,10,29,10,10,28.8,-,-,East,Cloudy,757,0.05,10
1,4,2022-01-21,20,20,5000,10,36,12,10,29,70,1.6,East,Cloudy,758,0.05,10
1,4,2022-04-22,20,20,5000,10,15,10,10,30,78,1.1,North,Sunny,757,0.05,10
1,4,2022-07-31,20,20,5000,10,18,10,10,32,63,1.3,South,Sunny,758,0.05,10
