user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,5,2015-02-12,20,20,5000,-,n/a,n/a,-,34.6,50,1.1,south,sunny,-,-,-
1,5,2015-05-23,20,20,5000,-,10,10,-,29.6,67,1.1,south,cloudy,-,-,-
1,5,2015-08-20,20,20,5000,-,10,10,-,31.1,65,1.7,east,sunny,-,-,-
1,5,2015-11-23,20,20,5000,-,13,10,-,31.6,59,1.1,east,sunny,-,-,-
1,5,2016-03-20,20,20,5000,-,10,10,-,30.5,58,1.3,North,Sunny,759,-,-
1,5,2016-05-24,20,20,5000,-,10,10,-,30.2,60,0.6,North,Sunny,760,-,-
1,5,2016-08-24,20,20,5000,-,10,10,-,31.3,63,1.6,North,Sunny,760,-,-
1,5,2016-12-17,20,20,5000,-,10,10,-,31.1,59,1.1,North,Sunny,760,-,-
1,5,2017-03-17,20,20,5000,-,10,10,-,30.7,59,1.1,North,Sunny,760,-,-
1,5,2017-05-12,20,20,5000,-,10,10,-,30.1,62,1.5,West,Cloudy,760,-,-
1,5,2017-08-19,20,20,5000,-,29,10,-,28.6,63,1.1,North,Cloudy,760,-,-
1,5,2017-10-29,20,20,5000,10,10,10,10,27.2,68,0.2,North,Sunny,760,-,-
1,5,2018-03-09,20,20,5000,10,10,10,10,32.8,52,1.4,North,Sunny,758,-,-
1,5,2018-06-08,20,20,5000,10,16,10,10,33.1,61.8,1.3,East,Sunny,753,-,-
1,5,2018-08-26,20,20,5000,10,11,14,10,33.9,60,1.7,East,Sunny,753.11,-,-
1,5,2018-11-17,20,20,5000,10,10,10,10,28.6,65,1.1,South,Sunny,747,-,-
1,5,2019-03-03,20,20,5000,10,10,10,10,30.2,65,1,North,Cloudy,751,-,-
1,5,2019-05-26,20,20,5000,10,10,10,10,34.1,58,1.1,North,Sunny,754,-,-
1,5,2019-08-29,20,5,100,20,70.5,38.4,20.6,24.7 - 35.1,50.6 - 72.4,1.1 - 4.1,West,Clear,753.2 - 755.9,-,-
1,5,2019-11-30,27,5,100,20,74.9,29,0.1,23.6 - 33.1,67.5 - 90.8,1.5 - 4.4,East,Cloudy - Clear,753.8 - 756.4,-,-
1,5,2020-02-29,20,12,100,-,66.3,21.9,15.2,24.7 - 34.2,59.2 - 90.3,0.5,-,Clear - Cloudy - Rainy,753.2 - 755.6,-,-
1,5,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,2020-08-23,20,20,5000,-,21,10,10,34.2,58,2.2,North,Sunny,754,-,-
1,5,2020-11-21,20,20,5000,10,10,10,10,32.8,58,1.2,West,Cloudy,758,-,-
1,5,2021-02-26,20,20,5000,10,10,10,10,32.6,61,0.9,West,Sunny,758,-,-
1,5,2021-06-02,20,20,5000,10,10,10,10,30.8,56,1.2,South,Sunny,760,0.05,10
1,5,2021-08-22,20,20,5000,10,10,10,10,33.8,57,0.9,East,Sunny,756,0.05,10
1,5,2021-11-07,20,20,5000,10,14,10,10,29.6,59,1.1,East,Sunny,759,0.05,10
1,5,2022-01-23,20,20,5000,10,11,10,10,29.2,64,1.3,North,Sunny,756,0.05,10
1,5,2022-04-29,20,20,5000,10,10,10,10,30,86,1.4,North,Sunny,757,0.05,10
1,5,2022-08-02,20,20,5000,10,10,10,10,31,63,1.3,West,Sunny,758,0.05,10
