user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,6,2015-02-13,20,20,5000,-,n/a,n/a,-,34.8,48,1.8,east,sunny,-,-,-
1,6,2015-05-25,20,20,5000,-,10,10,-,30.8,67,0.7,west,sunny,-,-,-
1,6,2015-08-22,20,20,5000,-,10,10,-,31.7,60,2.1,east,sunny,-,-,-
1,6,2015-11-24,20,20,5000,-,19,10,-,31.8,60,0.6,west,sunny,-,-,-
1,6,2016-03-18,20,20,5000,-,10,10,-,30.5,59,2.1,North,Sunny,760,-,-
1,6,2016-05-25,20,20,5000,-,10,10,-,30.6,59,0.6,East,Sunny,760,-,-
1,6,2016-08-25,20,20,5000,-,10,10,-,30.9,66,1.4,West,Sunny,760,-,-
1,6,2016-12-16,20,20,5000,-,10,10,-,28.3,61,0.6,East,Cloudy,760,-,-
1,6,2017-03-13,20,20,5000,-,10,10,-,31,60,0.7,East,Sunny,760,-,-
1,6,2017-05-08,20,20,5000,-,17,10,-,29.5,62,0.5,East,Sunny,759,-,-
1,6,2017-08-14,20,20,5000,-,10,10,-,31.4,61,1.7,East,Sunny,760,-,-
1,6,2017-10-28,20,20,5000,10,10,10,10,27.1,63,0.6,North,Sunny,760,-,-
1,6,2018-03-13,20,20,5000,10,14,10,10,33.8,64,1.2,North,Sunny,759,-,-
1,6,2018-06-09,20,20,5000,10,26,13,10,33.3,60.8,1.6,North,Sunny,754,-,-
1,6,2018-08-27,20,20,5000,10,27,17,10,33.3,61,1.8,North,Sunny,752.71,-,-
1,6,2018-11-10,20,20,5000,10,19,10,10,32.6,63,1.3,East,Cloudly,754,-,-
1,6,2019-03-04,20,20,5000,10,10,10,10,33.7,62,2.1,North,Sunny,751,-,-
1,6,2019-05-28,20,20,5000,10,10,10,10,34.1,59,1.6,East,Sunny,754,-,-
1,6,2019-08-23,22,5,100,20,47.3,24.9,15.1,25.9 - 31.7,50.9 - 80.3,2.1 - 7.3,North,Clear,741.4 - 753.6,-,-
1,6,2019-11-22,22,5,100,20,43.8,23.3,12,23.1 - 35.1,57.7 - 91.9,ND,ND,Clear - Cloudy,751.6 - 754.0,-,-
1,6,2020-02-17,20,5,100,-,36.9,20.7,9.4,23.0 - 32.2,65.5 - 92.3,1.0 - 2.2,West,Clear,753.0 - 755.2,-,-
1,6,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2020-08-22,20,20,5000,-,45,10,10,33.6,59,1.9,East,Sunny,753,-,-
1,6,2020-11-20,20,20,5000,10,13,10,10,30.6,76,1.4,West,Sunny,760,-,-
1,6,2021-02-25,20,20,5000,10,30,10,10,33.8,58,1.2,South,Sunny,759,-,-
1,6,2021-06-01,20,20,5000,10,28,15,10,30.6,70,1.3,South,Sunny,752,0.05,10
1,6,2021-08-21,20,20,5000,10,39,28,10,26.1,68,0.6,North,Cloudy,758,0.05,10
1,6,2021-11-06,20,20,5000,10,61,10,10,31,63,2.1,North,Sunny,760,0.05,10
1,6,2022-01-22,20,20,5000,10,35,27,10,28.8,65,1.1,North,Sunny,756,0.05,10
1,6,2022-04-28,20,20,5000,10,14,10,10,30.2,68,0.9,North,Sunny,758,0.05,10
1,6,2022-08-01,20,20,5000,10,11,10,10,30,69,0.8,North,Cloudy,759,0.05,10
