user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,8,2015-02-12,20,20,5000,-,18,10,-,31.4,51,1.1,east,sunny,-,-,-
1,8,2015-05-21,20,20,5000,-,10,10,-,30.8,64,0.9,west,sunny,-,-,-
1,8,2015-08-18,20,20,5000,-,10,10,-,30.1,68,1.8,east,sunny,-,-,-
1,8,2015-11-26,20,20,5000,-,10,10,-,33.1,58,1.1,north,sunny,-,-,-
1,8,2016-03-15,20,20,5000,-,10,10,-,33.1,59,1.3,North,Sunny,760,-,-
1,8,2016-05-23,20,20,5000,-,10,10,-,32.4,60,1.2,West,Sunny,650,-,-
1,8,2016-08-18,20,20,5000,-,10,10,-,30.1,68,1.3,North,Sunny,760,-,-
1,8,2016-12-13,20,20,5000,-,10,10,-,27.4,63,0.8,North,Sunny,760,-,-
1,8,2017-03-21,20,20,5000,-,10,10,-,27.6,64,0.7,North,Cloudy,760,-,-
1,8,2017-05-17,20,20,5000,-,10,10,-,31.7,62,1.1,West,Sunny,760,-,-
1,8,2017-08-18,20,20,5000,-,10,10,-,32.7,58,1.3,East,Sunny,760,-,-
1,8,2017-10-24,20,20,5000,-,20,10,-,28.6,68,0.6,South,Cloudy,760,-,-
1,8,2018-03-15,20,20,5000,-,10,10,-,25,66,1.7,East,Cloudy,755,-,-
1,8,2018-06-11,20,20,5000,-,10,10,-,33.6,59.6,1.4,West,Sunny,747,-,-
1,8,2018-09-23,20,20,5000,-,10,10,-,33.7,62,1.6,North,Sunny,744.42,-,-
1,8,2018-11-13,20,20,5000,-,10,10,-,27.1,68,0.8,East,Rain,745,-,-
1,8,2019-02-25,20,20,5000,-,14,10,-,33.3,65,1.8,East,Sunny,753,-,-
1,8,2019-05-23,20,20,5000,-,10,10,-,34.3,59,1.3,East,Sunny,751,-,-
1,8,2019-08-22,20,5,100,-,33.1,10.2,-,25.4 - 32.5,51.1 - 92.8,1.1 - 8.0,North,Clear,742.2 - 745.0,-,-
1,8,2019-11-20,20,5,100,-,30,11.7,-,23.2 - 31.8,68.0 - 92.6,0.5 - 1.4,South,Cloudy - Clear,742.2 - 749.6,-,-
1,8,2020-02-18,20,5,100,-,38.8,14.9,-,23.1 - 33.0,70.1 - 94.6,1,North,Rainy - Clear - Cloudy,743.5 - 757.0,-,-
1,8,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,8,2020-08-12,20,20,5000,10,12,10,10,30.6,68,1.3,North,Sunny,752,-,-
1,8,2020-11-09,20,20,5000,10,10,10,10,31.6,60,1.3,East,Sunny,752,-,-
1,8,2021-02-16,20,20,5000,10,18,10,10,26.3,71,1.6,East,Cloudy,757,-,-
1,8,2021-05-25,20,20,5000,10,10,10,10,30.6,60,1.1,South,Sunny,760,0.05,10
1,8,2021-08-12,20,20,5000,10,18,14,13,33.6,60,1.6,North,Sunny,750,0.05,10
1,8,2021-10-27,20,20,5000,10,28,10,10,32.4,-,-,North,Sunny,758,0.05,10
1,8,2022-01-20,20,20,5000,10,16,10,10,29,73,0.8,South,Cloudy,757,0.05,10
1,8,2022-04-20,20,20,5000,10,11,10,10,28.8,68,1.2,West,Cloudy,756,0.05,10
1,8,2022-07-22,20,20,5000,10,10,10,10,30.5,67,0.8,North,Sunny,757,0.05,10
