user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,9,2015-02-11,20,20,5000,-,n/a,n/a,-,34.6,48,1.9,east,sunny,-,-,-
1,9,2017-05-19,20,20,5000,-,10,10,-,33.8,58,1.8,East,Sunny,760,-,-
1,9,2017-08-15,20,20,5000,-,10,10,-,29.6,62,1.3,West,Cloudy,760,-,-
1,9,2017-10-27,20,20,5000,-,58,10,-,27.6,63,0.3,West,Sunny,760,-,-
1,9,2018-03-17,20,20,5000,-,10,10,-,34.8,57,1.9,East,Sunny,754,-,-
1,9,2018-06-03,20,20,5000,-,10,10,-,30.2,61.8,1.3,South,Sunny,740,-,-
1,9,2018-09-03,20,20,5000,-,10,10,-,34.3,60,2.3,East,Sunny,740.22,-,-
1,9,2018-11-16,20,20,5000,-,27,12,-,27.7,65,0.7,North,Rain,744,-,-
1,9,2019-03-08,20,20,5000,-,32,11,-,31.7,62,1.8,North,Cloudy,744,-,-
1,9,2019-05-30,20,20,5000,-,17,14,-,35.5,58,2.3,East,Sunny,752,-,-
1,9,2019-08-27,20,5,100,-,36.3,16.3,-,21.3 - 33.9,51.1 - 77.5,2.1 - 10.2,North,Clear,733.0 - 736.0,-,-
1,9,2019-11-29,20,5,100,-,34.3,17.6,-,24.1 - 38.8,56.7 - 92.7,1.2 - 2.1,North,Clear - Cloudy - Rainy,734.8 - 738.2,-,-
1,9,2020-02-23,20,6,100,-,31.3,13.6,5.1,22.1 - 34.3,60.0 - 91.6,0.9 - 2.2,West,Clear - Cloudy - Rainy,735.9 - 745.3,-,-
1,9,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,2020-08-17,20,20,5000,10,10,10,10,32.6,65,2.3,East,Sunny,745,-,-
1,9,2020-11-16,20,20,5000,10,10,10,10,28.3,64,0.2,West,Cloudy,747,-,-
1,9,2021-02-23,20,20,5000,10,96,15,10,34.2,58,1.6,South,Sunny,752,-,-
1,9,2021-05-24,20,20,5000,10,10,10,10,30.3,67,0.9,South,Sunny,737,0.05,10
1,9,2021-08-20,20,20,5000,10,13,10,10,33.6,60,1.5,South,Sunny,748,0.05,10
1,9,2021-11-03,20,20,5000,10,18,10,10,31.6,61,1.1,South,Sunny,758,0.05,10
1,9,2022-01-12,20,20,5000,10,43,14,10,29.8,68,1.6,West,Cloudy,757,0.05,10
1,9,2022-04-24,20,20,5000,10,10,10,10,31,67,1.3,North,Sunny,756,0.05,10
1,9,2022-07-26,20,20,5000,10,10,10,10,31.8,66,1.9,West,Sunny,757,0.05,10
