user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,10,2015-02-11,20,20,5000,-,n/a,n/a,-,34.1,48,1.7,west,sunny,-,-,-
1,10,2015-05-26,20,20,5000,-,10,10,-,29.8,68,0.6,east,sunny,-,-,-
1,10,2015-08-30,20,20,5000,-,10,10,-,31.9,60,1.8,east,sunny,-,-,-
1,10,2015-11-21,20,20,5000,-,10,10,-,32.6,60,0.6,south,sunny,-,-,-
1,10,2016-03-15,20,20,5000,-,10,10,-,33.1,58,1.3,North,Sunny,759,-,-
1,10,2016-12-10,20,20,5000,-,10,10,-,28.3,66,0.6,North,Cloudy,760,-,-
1,10,2017-03-25,20,20,5000,-,10,10,-,30.1,63,0.9,North,Sunny,760,-,-
1,10,2018-03-06,20,20,5000,-,10,10,-,26,66,1.1,North,Cloudy,755,-,-
1,10,2018-06-02,20,20,5000,-,13,10,-,24.1,72.3,0.7,East,Rain,741,-,-
1,10,2018-09-01,20,20,5000,-,15,10,-,34.1,61,2.2,East,Sunny,743.02,-,-
1,10,2018-11-11,20,20,5000,-,26,14,-,26.4,70,0.7,West,Cloudy,741,-,-
1,10,2019-03-07,20,20,5000,-,10,10,-,34.5,60,2.1,North,Sunny,744,-,-
1,10,2019-06-01,20,20,5000,-,19,12,-,35.7,55,2.3,East,Sunny,751,-,-
1,10,2019-08-26,20,5,100,-,88.4,43.2,-,21.9 - 44.0,48.7 - 86.0,1.3 - 6.8,East,Clear,734.7 - 756.8,-,-
1,10,2019-11-28,20,5,100,-,77.7,38.7,-,23.0 - 38.8,49.3 - 93.0,1.2 - 1.5,North,Clear - Cloudy - Rainy,735.2 - 749.6,-,-
1,10,2020-02-22,20,5,100,-,71.8,33.5,19.6,22.9 - 36.6,61.9 - 90.4,0.5,-,Rainy - Cloudy - Clear,737.0 - 740.3,-,-
1,10,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,10,2020-08-15,20,20,5000,10,14,12,10,32.6,64,1.6,East,Sunny,741,-,-
1,10,2020-11-13,20,20,5000,10,10,10,10,33.9,56,1,East,Sunny,745,-,-
1,10,2021-02-20,20,20,5000,10,10,10,10,27.3,69,1.1,South,Cloudy,748,-,-
1,10,2021-05-21,20,20,5000,10,11,10,10,31.6,85,0.3,South,Sunny,747,0.05,10
1,10,2021-08-18,20,20,5000,10,25,10,10,31.9,58,1.9,South,Sunny,749,0.05,10
1,10,2021-11-02,20,20,5000,10,81,10,10,31.7,62,1,South,Sunny,757,0.05,10
1,10,2022-01-13,20,20,5000,10,34,18,10,29.5,65,0.8,North,Sunny,757,0.05,10
1,10,2022-04-29,20,20,5000,10,10,10,10,30.5,66,0.8,West,Cloudy,754,0.05,10
1,10,2022-07-24,20,20,5000,10,10,10,10,30.5,73,1.8,South,Sunny,756,0.05,10
