user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,11,2015-05-19,20,20,5000,-,10,10,-,31,60,0.9,west,sunny,-,-,-
1,11,2015-08-31,20,20,5000,-,10,10,-,32,59,1.6,east,sunny,-,-,-
1,11,2015-11-28,20,20,5000,-,10,10,-,30.1,60,0.7,east,cloudy,-,-,-
1,11,2016-03-14,20,20,5000,-,10,10,-,31.3,59,0.3,North,Sunny,790,-,-
1,11,2016-08-20,20,20,5000,-,10,10,-,30.8,66,1.1,North,Sunny,760,-,-
1,11,2016-12-09,20,20,5000,-,10,10,-,30.7,60,0.6,North,Sunny,760,-,-
1,11,2017-03-22,20,20,5000,-,10,10,-,26.9,67,0.8,North,Cloudy,760,-,-
1,11,2017-05-15,20,20,5000,-,10,10,-,27.6,63,0.6,North,Cloudy,760,-,-
1,11,2017-08-11,20,20,5000,-,10,10,-,32.6,58,1.6,East,Sunny,760,-,-
1,11,2017-10-26,20,20,5000,-,113,10,-,27.1,68,0.3,East,Sunny,760,-,-
1,11,2018-03-16,20,20,5000,-,10,10,-,33.8,64,1.6,South,Sunny,758,-,-
1,11,2018-06-13,20,20,5000,-,11,10,-,32.5,61.8,1.3,North,Sunny,750,-,-
1,11,2018-08-24,20,20,5000,-,11,10,-,30.3,68,1.3,North,Cloudy,749.6,-,-
1,11,2018-11-12,20,20,5000,-,13,10,-,29.5,66,1.2,North,Cloudy,742,-,-
1,11,2019-02-27,20,20,5000,-,31,10,-,30.6,70,1.1,East,Cloudy,749,-,-
1,11,2019-05-22,20,20,5000,-,17,10,-,25.3,71,0.8,North,Cloudy,752,-,-
1,11,2019-08-20,20,5,100,-,25.3,10.2,-,23.8 - 31.9,58.4 - 85.3,1.8 - 4.8,East,Clear,745.2 - 747.6,-,-
1,11,2019-11-19,20,5,100,-,27.2,12.7,-,22.8 - 38.8,64.5 -92.6,0.5 - 1.8,South,Clear -  Rainy,743.2 - 747.7,-,-
1,11,2020-02-20,20,5,100,-,23.8,15.7,9.1,22.4 - 28.3,79.2 - 94.6,0.5,-,Rainy - Clear - Cloudy,746.9 - 749.4,-,-
1,11,2020-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,11,2020-08-14,20,20,5000,10,13,10,10,30.4,68,1.2,North,Sunny,748,-,-
1,11,2020-11-12,20,20,5000,10,10,10,10,32.6,71,1.2,South,Sunny,759,-,-
1,11,2021-02-18,20,20,5000,10,10,10,10,25.6,82,0.8,West,Cloudy,754,-,-
1,11,2021-05-22,20,20,5000,10,23,10,10,31.2,84,0.9,South,Sunny,749,0.05,10
1,11,2021-08-11,20,20,5000,10,38,17,10,31.2,66,1.2,South,Sunny,748,0.05,10
1,11,2021-10-26,20,20,5000,10,20,10,10,29.9,-,-,West,Sunny,759,0.05,10
1,11,2022-01-18,20,20,5000,10,40,14,10,29,76,0.8,West,Cloudy,756,0.05,10
1,11,2022-04-19,20,20,5000,10,10,10,10,27.5,76,2.1,North,Sunny,757,0.05,10
1,11,2022-07-23,20,20,5000,10,10,10,10,31.8,65,1.3,South,Sunny,757,0.05,10
