user_id,point_id,date,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,12,2016-05-20,20,20,5000,-,10,10,-,31.4,58,1.4,North,Sunny,680,-,-
1,12,2016-09-14,20,20,5000,-,10,10,-,31.1,54,2.5,North,Sunny,760,-,-
1,12,2016-12-08,20,20,5000,-,31,10,-,28,66,1.1,West,Cloudy,760,-,-
1,12,2017-03-24,20,20,5000,-,10,10,-,32.7,60,1.7,South,Sunny,760,-,-
1,12,2017-05-13,20,20,5000,-,13,10,-,30.4,60,1.3,North,Cloudy,760,-,-
1,12,2017-08-12,20,20,5000,-,10,10,-,32.7,60,2.1,North,Sunny,760,-,-
1,12,2017-10-21,20,20,5000,-,38,10,-,27.6,65,0.2,North,Sunny,760,-,-
1,12,2018-03-12,20,20,5000,-,10,10,-,33.8,61,1.6,West,Sunny,757,-,-
1,12,2018-06-06,20,20,5000,-,10,10,-,34.2,58.6,1.9,South,Sunny,751,-,-
1,12,2018-09-02,20,20,5000,-,10,10,-,33.7,62,2.3,East,Sunny,750.72,-,-
1,12,2018-11-15,20,20,5000,-,18,10,-,27.6,67,1.1,North,Rain,743,-,-
1,12,2019-03-06,20,20,5000,-,15,10,-,34.5,60,2.6,North,Sunny,752,-,-
1,12,2019-05-31,20,20,5000,-,24,17,-,34.5,63,1.9,South,Sunny,754,-,-
1,12,2019-08-25,20,5,100,-,39.4,19.5,-,24.2 - 34.9,49.8 - 77.1,0.7 - 2.7,North,Clear,739.1 - 749.5,-,-
1,12,2019-11-27,20,5,100,-,36.9,13.8,-,23.8 - 34.8,49.3 - 91.0,1.0 - 3.6,South,Clear - Cloudy,736.4 - 749.3,-,-
1,12,2020-02-21,20,5,100,-,34.7,10.1,4,24.3 - 36.6,61.9 - 91.1,0.6 - 2.8,West,Clear - Cloudy - Rainy,749.4 - 752.1,-,-
1,12,2020-08-16,20,20,5000,10,17,10,10,32.8,67,1.8,West,Sunny,748,-,-
1,12,2020-11-14,20,20,5000,10,10,10,10,29.8,66,0.7,North,Cloudy,749,-,-
1,12,2021-02-22,20,20,5000,10,52,11,10,34.3,57,1.3,South,Sunny,756,-,-
1,12,2021-05-23,20,20,5000,10,30,17,10,31.6,85,0.3,South,Sunny,747,0.05,10
1,12,2021-08-19,20,20,5000,10,15,10,10,28.6,69,0.7,North,Cloudy,751,0.05,10
1,12,2021-11-01,20,20,5000,10,95,29,10,28.9,67,1,East,Sunny,759,0.05,10
1,12,2022-01-14,20,20,5000,10,40,19,10,31.5,62,1.3,North,Sunny,758,0.05,10
1,12,2022-04-25,20,20,5000,10,31,10,10,29,74,1.6,North,Sunny,758,0.05,10
1,12,2022-07-25,20,20,5000,10,19,10,10,30.8,64,1.4,South,Sunny,758,0.05,10
