standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
7,1,40,2022-03-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1,40,2022-03-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1,40,2022-03-30,10:28,10:30,35,7.06,7.05,210,849,542,29.7,0.4,39.5,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,Araran Pit,NB/JK,-,-,-,-,-,-
7,1,40,2022-03-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1,40,2022-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1,40,2022-04-02,10:15,10:17,14,6.89,7.9,198,716,458,30.2,0.3,14.4,-,-,Pasang,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araran Pit,NB,-,-,-,-,-,-
7,1,40,2022-04-03,10:44,10:46,8,7.01,8.82,268,787,506,30.2,0.4,8.2,-,-,Surut,Normal,Normal,Ada,Tidak,Tidak,Araran Pit,FP,-,-,-,-,-,-
7,1,40,2022-04-04,9:58,10:00,10,7.49,8.12,238,803,514,29.3,0.4,6.8,-,-,Pasang,Agak Keruh,Normal,Ada,Ada,Tidak,Araran Pit,FP/HM/FR,-,-,-,-,-,-
7,1,40,2022-04-05,9:23,9:25,6,8.07,7.75,240,863,553,30.1,0.4,5.3,-,-,Surut,Normal,Normal,Ada,Tidak,Tidak,Araran Pit,HM/NB,-,-,-,-,-,-
7,1,40,2022-04-06,9:54,9:56,15,7.82,7.68,214,980,628,31.1,0.4,4.7,-,-,Surut,Normal,Normal,Ada,Tidak,Tidak,Araran Pit,FP/FR,-,-,-,-,-,-
7,1,40,2022-04-07,13:01,13:03,11,8.04,7.65,254,838,534,31.4,0.6,8.3,-,-,Surut,Normal,Normal,Ada,Tidak,Tidak,Araran Pit,NB/FP,-,-,-,-,-,-
7,1,40,2022-04-08,8:54,8:56,9,7.02,7.39,312,1140,729,31.3,0.5,9,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Araran Pit,NB/PP,-,-,-,-,-,-
7,1,40,2022-04-09,11:53,11:55,17,8.07,7.83,275,884,574,31.4,0.5,5.4,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Araran Pit,NB/BK,-,-,-,-,-,-
7,1,40,2022-04-10,9:01,9:03,10,7.55,7.56,283,1340,856,32.9,0.6,10.2,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Araran Pit,FP/HM,-,-,-,-,-,-
7,1,40,2022-04-11,10:40,10:42,13,7.16,7.03,228,1530,980,32.9,0.7,16.6,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Araran Pit,FP/FR,-,-,-,-,-,-
7,1,40,2022-04-12,15:16,15:18,26,7.03,7.45,286,1600,1020,34.6,0.5,28.9,-,-,Pasang,Agak Keruh,Normal,Ada,Tidak,Tidak,Araran Pit,FP/HM,-,-,-,-,-,-
7,1,40,2022-04-13,15:25,15:27,22,7.02,7.92,225,1730,1110,33.7,0.7,4.4,-,-,Surut,Normal,Normal,Ada,Tidak,Tidak,Araran Pit,NB/HM,-,-,-,-,-,-
7,1,40,2022-04-14,10:51,10:53,35,6.64,7.76,241,1750,1120,33.8,0.7,10.5,-,-,Surut,Normal,Normal,Ada,Tidak,Tidak,Araran Pit,NB/HM,-,-,-,-,-,-
7,1,40,2022-04-15,8:44,8:46,14,6.77,7.06,242,1870,1180,34.9,0.8,2.4,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Araran Pit,HM/JK,-,-,-,-,-,-
7,1,40,2022-04-16,10:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PIPA OFF
7,1,40,2022-04-17,9:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PIPA OFF
7,1,40,2022-04-18,9:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PIPA OFF
7,1,40,2022-04-19,9:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PIPA OFF
7,1,40,2022-04-20,9:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PIPA OFF
7,1,40,2022-04-21,10:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PIPA OFF
7,1,40,2022-04-22,11:47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PIPA OFF
