id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,2,8,2021-04-27,7,13:35:40,15,19,11,2.286,2.159,1.651,2.42,60.8,Alaskar,Bright,FP/BK,-
1,1,2,8,2021-05-20,7,13:34:49,20,57,51,1.143,1.27,1.524,1.591,51.9,Alaskar,Bright,FP/RT,-
1,1,2,8,2021-05-21,7,11:54:22,24,51,22,2.032,1.905,1.651,2.44,57.2,Alaskar,Bright,FP/FK,-
1,1,2,8,2021-05-25,7,12:13:27,27,20,20,2.286,3.81,2.413,3.877,58.1,Alaskar,Bright,BK/FR,-
1,1,2,8,2021-05-28,7,12:18:13,24,26,14,0.635,0.635,0.889,1.122,52.4,Alaskar,Bright,BK/FK,-
1,1,2,8,2021-05-29,7,11:59:15,26,22,20,3.175,5.08,3.81,5.55,55,Alaskar,Bright,BK/FR,-
1,1,2,8,2021-05-31,7,12:01:10,18,30,20,1.143,1.143,1.524,2.102,53.4,Alaskar,Bright,JK/FP,-
1,1,2,8,2021-06-02,7,12:40:47,39,43,11,1.524,1.524,1.778,1.943,53.7,Alaskar,Bright,JK/BK,-
1,1,2,8,2021-06-05,7,14:05:32,39,23,11,1.27,1.778,2.032,2.304,53.9,Alaskar,Bright,FP/FK,-
1,1,2,8,2021-06-07,7,11:59:05,28,39,11,1.016,0.762,1.143,1.264,52.1,Alaskar,Bright,BK/FP/NB,-
1,1,2,8,2021-06-08,7,12:03:51,13,23,9.3,1.524,2.032,1.27,2.386,51.2,Alaskar,Bright,FP/NB/FR,-
1,1,2,8,2021-06-09,7,11:47:53,24,51,32,2.286,3.937,2.794,5.102,68.7,Alaskar,Bright,FR/RT,GRAFIK HISTOGRAM
1,1,2,8,2021-06-14,7,11:58:03,9.3,30,11,0.508,0.381,0.508,0.648,62.1,Alaskar,Bright,FP/NB,-
1,1,2,8,2021-06-15,7,15:04:05,51,34,28,0.635,0.635,1.143,1.212,62,Alaskar,Bright,FP/NB,-
1,1,2,8,2021-06-17,7,15:15:05,16,23,9.7,1.016,0.508,0.889,1.055,52.7,Alaskar,Bright,BK,Event Report Data Error Date
1,1,2,8,2021-06-21,7,12:08:59,20,43,15,0.635,0.508,0.635,0.783,72.5,Alaskar,Bright,FP/NB,-
1,1,2,8,2021-06-28,7,12:56:00,14,23,26,1.016,1.143,1.016,1.442,62.3,Alaskar,Bright,BK,-
1,1,2,8,2021-07-15,7,12:23:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,NB/JK,-
1,1,2,8,2021-07-20,7,16:00:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,NB/FR,-
1,1,2,8,2021-07-27,7,12:30:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,NB/FR,-
1,1,2,8,2021-08-03,7,12:00:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,2,8,2021-08-04,7,12:00:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,2,8,2021-08-07,7,12:00:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,2,8,2021-08-12,7,12:29:32,6.1,10,20,0.37,0.355,0.575,0.674,54.3,Alaskar,Bright,FP/FK,-
1,1,2,8,2021-08-14,7,12:23:27,7.2,8.8,6.9,1.206,0.481,1.23,1.394,75.5,Alaskar,Bright,BK/FK,-
1,1,2,8,2021-08-18,7,12:07:58,12,13,7.5,1.671,0.733,1.49,1.731,66.4,Alaskar,Bright,BK,-
1,1,2,8,2021-08-20,7,12:29:37,11,9,11,1.592,0.725,1.608,1.778,68.4,Alaskar,Bright,BK,-
1,1,2,8,2021-08-23,7,13:17:08,18,16,16,2.601,1.214,2.845,3.514,66.2,Alaskar,Bright,JK/FK,-
1,1,2,8,2021-08-28,7,13:33:59,20,28,32,1.876,2.491,1.521,2.7,68.2,Alaskar,Bright,FK/JK,-
1,1,2,8,2021-09-01,7,12:42:27,11,17,14,2.01,0.843,1.49,2.254,81.1,Alaskar,Bright,FK,-
1,1,2,8,2021-09-03,7,12:04:20,9.8,9.3,7.5,0.867,0.544,0.906,0.986,71.3,Alaskar,Bright,NB/FK/BK,-
1,1,2,8,2021-09-06,7,12:23:24,23,28,28,3.003,3.373,2.893,3.59,66.9,Alaskar,Bright,FP/FR,-
1,1,2,8,2021-09-07,7,12:00:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,2,8,2021-09-11,7,12:17:23,12,18,6.7,1.868,1.072,2.262,2.727,53.6,Alaskar,Bright,BK,-
1,1,2,8,2021-09-13,7,12:12:05,20,26,19,1.135,0.749,1.096,1.206,58.5,Alaskar,Bright,FP/HM,-
1,1,2,8,2021-09-14,7,12:48:05,11,12,13,2.065,1.001,1.434,2.182,62.2,Alaskar,Bright,FP/HM,-
1,1,2,8,2021-09-16,7,12:13:05,12,17,16,1.75,0.922,1.458,2.066,74.8,Alaskar,Bright,NB/BK,-
1,1,2,8,2021-09-20,7,12:09:01,11,24,15,1.466,0.788,1.08,1.53,58.5,Alaskar,Bright,HM/FP/FR,-
1,1,2,8,2021-09-21,7,12:02:56,10,18,13,1.04,0.323,0.638,1.186,49.5,Alaskar,Bright,FK/PP,-
