id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,5,8,2015-05-07,7,12:28:17,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araen Pit,-,CR/RH,-
1,1,5,8,2015-05-23,7,12:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araren Pit,-,AL,-
1,1,5,8,2015-05-26,7,12:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araren Pit,-,RT/BK,-
1,1,5,8,2015-05-29,7,12:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araren Pit,-,CR,-
1,1,5,8,2015-06-03,7,12:42:05,26.0,17.0,11.0,65.000,81.500,68.600,90.800,105.1,Araren Pit,-,CR,-
1,1,5,8,2015-06-11,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araren Pit,-,AP/CR/AL,-
1,1,5,8,2015-06-16,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araren Pit,-,RH/CR,-
1,1,5,8,2015-06-19,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araren Pit,-,AP/AL,-
1,1,5,8,2015-06-22,7,12:21:13,9.1,13.0,3.9,116.000,170.000,146.000,222.000,90.8,Araren Pit,-,AP/AL,-
1,1,5,8,2015-06-24,7,12:12:35,12.0,11.0,21.0,32.800,12.400,38.200,38.800,100.2,Araren Pit,-,AP/AL,-
1,1,5,8,2015-06-29,7,12:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Araren Pit,-,RT/BK,-
1,1,5,8,2015-07-07,7,12:30:36,13.0,9.1,11.0,N/A,N/A,N/A,N/A,87.6,Araren Pit,-,AL/RH,-
1,1,5,8,2015-07-10,7,12:14:04,7.1,9.0,9.3,out of range,out of range,out of range,N/A,71.1,Araren Pit,-,RH/RT/BK,-
1,1,5,8,2015-07-15,7,12:17:11,18.0,9.5,10.0,55.50,45.10,54.50,64.00,95.0,Araen Pit,Bright,RH/RT/BK,-
1,1,5,8,2015-08-03,7,12:00:00,-,-,-,-,-,-,-,-,Blambangan & Araren Pit,Bright,-,Monitoring at Tinerungan and Pinasungkulan 
1,1,5,8,2015-08-04,7,12:00:00,-,-,-,-,-,-,-,-,Blambangan & Araren Pit,Bright,-,Monitoring at Tinerungan and Pinasungkulan 
1,1,5,8,2015-08-05,7,12:28:12,12.0,16.0,18.0,13.30,5.27,8.18,13.50,91.4,Araren Pit,Bright,-,-
1,1,5,8,2015-08-08,7,12:00:00,-,-,-,-,-,-,-,-,Blambangan & Araren Pit,Bright,-,Monitoring at Tinerungan and kayuwale
1,1,5,8,2015-08-11,7,12:27:06,12.0,13.0,10.0,out of range,out of range,out of range,out of range,96.4,Araren Pit,Bright,AL/RT/BK,-
1,1,5,8,2015-08-14,7,12:43:58,12.0,6.9,8.3,out of range,19.90,out of range,out of range,86.8,Araren Pit,Bright,DA/RT/RH,-
1,1,5,8,2015-08-18,7,12:25:56,17.0,20.0,19.0,5.35,2.87,4.67,5.83,93.2,Araren Pit,Bright,AL/CR/BK,-
