id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,1,8,2021-01-08,7,13:39:08,11,16,9.8,0.615,0.284,0.646,0.813,95.298,-,-,FP/JK,-
1,1,1,8,2021-01-30,7,13:29:44,10.9,17.7,10,0.544,0.323,0.347,0.627,87.9,-,-,FP/JK,-
1,1,1,8,2021-02-05,7,13:45:36,9.6,16.5,9.1,0.694,0.347,1.048,1.079,87.9,-,-,FP/JK,-
1,1,1,8,2021-02-13,7,13:56:53,10.8,14.6,11.1,0.426,0.205,0.552,0.563,87.9,-,-,FP/JK,-
1,1,1,8,2021-02-18,7,13:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,-,-,BK/FP,-
1,1,1,8,2021-02-22,7,13:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,-,-,BK/FP,-
1,1,1,8,2021-02-23,7,13:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,-,-,BK/FP,-
1,1,1,8,2021-03-04,7,17:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,-,-,BK/FP,-
1,1,1,8,2021-03-08,7,17:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,-,-,BK/FP,-
1,1,1,8,2021-03-17,7,13:34:11,5.9,8.7,6.9,2.794,0.889,2.921,3.355,61,Araren Pit Stage 5,-,FP/NB,-
1,1,1,8,2021-03-18,7,13:24:47,9.7,28,8.1,0.762,0.381,0.889,0.976,70.1,Araren Pit Stage 7,-,FP/NB,-
1,1,1,8,2021-04-03,7,13:41:00,20,22,18,0.762,0.508,0.635,0.832,56.8,Araren Pit Stage 7,-,NB/FP,-
1,1,1,8,2021-04-06,7,13:38:30,8.1,15,8.5,1.905,0.762,1.397,2.04,72.2,Araren Pit Stage 5,-,FR,-
1,1,1,8,2021-04-21,7,13:42:16,8.4,12,9.8,1.143,0.635,1.27,1.571,71.2,Araren Pit Stage 5,-,RT/FP,-
1,1,1,8,2021-05-08,7,17:09:17,7,13,7.1,3.81,1.27,3.048,3.894,63.3,Araren Pit Stage 5,-,FR/FK,-
1,1,1,8,2021-05-17,7,14:08:42,8.4,12,6.4,3.937,1.524,5.207,5.546,66.9,Araren Pit Stage 5,-,BK/NB/FP,-
1,1,1,8,2021-05-22,7,13:28:56,8.1,19,13,2.286,1.016,1.905,2.396,81.9,Araren Pit Stage 5,-,RT/FK,-
1,1,1,8,2021-06-01,7,16:03:57,13,24,8.7,0.635,0.381,0.762,0.783,69.6,Araren Pit Stage 5,-,BK/FR,-
1,1,1,8,2021-06-04,7,16:37:37,16,13,7.4,2.286,1.905,3.175,3.391,55.7,Araren Pit Stage 5,-,BK/JK,-
1,1,1,8,2021-06-11,7,16:58:26,6.6,16,7.6,1.651,0.762,1.651,1.809,71.3,Araren Pit Stage 5,-,FR/RT/JK,-
