id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,1,8,2015-05-07,7,12:28:17,23.0,18.0,16.0,0.397,0.349,0.444,0.534,64.1,Araen Pit,Bright,CR/RH,-
1,1,1,8,2015-05-23,7,12:00:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araen Pit,Bright,AL,-
1,1,1,8,2015-05-26,7,12:37:21,13.0,26.0,12.0,1.67,1.02,1.37,1.8,52.0,Araen Pit,Bright,RT/BK,-
1,1,1,8,2015-05-29,7,12:32:20,9.8,21.0,12.0,2.21,1.10,1.56,2.69,59.9,Araen Pit,Bright,CR,-
1,1,1,8,2015-06-03,7,12:40:49,8.1,16.0,10.0,1.76,0.60,0.87,1.78,74.1,Araen Pit,Bright,AP/RH,-
1,1,1,8,2015-06-11,7,12:20:02,15.0,23.0,20.0,0.35,0.52,0.54,0.68,3.8,Araen Pit,Bright,AP/CR/AL,-
1,1,1,8,2015-06-16,7,12:19:51,11.0,22.0,22.0,1.00,0.587,0.968,1.07,60.5,Araen Pit,Bright,-,-
1,1,1,8,2015-06-19,7,12:15:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araen Pit,Bright,AP/AL,-
1,1,1,8,2015-06-22,7,12:19:17,12.0,22.0,15.0,3.64,2.83,2.70,4.26,58.4,Araen Pit,Bright,-,-
1,1,1,8,2015-06-24,7,12:10:34,9.1,27.0,11.0,0.97,0.56,0.48,1.02,67.4,Araen Pit,Bright,-,-
1,1,1,8,2015-06-29,7,12:22:34,11.0,23.0,11.0,1.62,0.889,1.35,1.69,57.6,Araen Pit,Bright,RT/BK,-
1,1,1,8,2015-07-07,7,12:30:32,18.0,19.0,15.0,2.54,3.16,2.00,3.66,59.5,Araen Pit,Bright,AL/RH,-
1,1,1,8,2015-07-10,7,12:13:59,10.0,23.0,12.0,2.06,1.54,1.67,2.14,57.1,Araen Pit,Bright,RH/RT/BK,-
1,1,1,8,2015-07-15,7,12:17:11,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araen Pit,Bright,-,-
1,1,1,8,2015-08-03,7,12:00:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Blambangan & Araren Pit,Bright,-,-
1,1,1,8,2015-08-04,7,12:37:43,12.0,27.0,13.0,1.05,0.730,1.14,1.25,69.3,Blambangan & Araren Pit,Bright,-,-
1,1,1,8,2015-08-05,7,12:27:54,11.0,26.0,11.0,1.10,0.937,0.603,1.15,67.1,Araren Pit,Bright,-,-
1,1,1,8,2015-08-08,7,12:48:59,18.0,17.0,17.0,1.35,0.873,1.46,1.53,64.1,Blambangan & Araren Pit,Bright,RH/RT/BK,-
1,1,1,8,2015-08-11,7,12:26:45,16.0,17.0,14.0,1.87,1.730,2.83,2.86,67.5,Araren Pit,Bright,AL/RT/BK,-
1,1,1,8,2015-08-14,7,12:43:35,14.0,8.1,6.6,1.68,1.170,1.48,1.73,65.3,Araren Pit,Bright,DA/RT/RH,-
1,1,1,8,2015-08-18,7,12:00:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,AL/CR/BK,-
1,1,1,8,2015-08-26,7,12:56:13,16.0,20.0,19.0,1.06,0.635,0.75,1.17,69.4,Araren Pit,Bright,RH/RT/BK,-
1,1,1,8,2015-09-05,7,12:24:47,17.0,17.0,9.3,0.381,0.286,0.302,0.448,59.4,Araren Pit,Bright,-,-
1,1,1,8,2015-09-08,7,11:57:28,14.0,23.0,12.0,1.520,1.290,1.130,1.580,62.8,Araren Pit,Bright,-,-
1,1,1,8,2015-09-11,7,12:32:02,11.0,18.0,19.0,2.380,2.730,2.760,3.440,55.4,Blambangan & Araren Pit,Bright,-,-
1,1,1,8,2015-09-16,7,12:21:17,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,AP/DA,-
1,1,1,8,2015-09-17,7,12:31:44,17.0,20.0,13.0,1.140,1.240,1.570,1.700,59.7,Araren Pit,Bright,AP/AL/CR,-
1,1,1,8,2015-09-19,7,11:59:52,18.0,22.0,10.0,1.570,1.370,2.100,2.190,62.9,Araren Pit,Bright,-,-
1,1,1,8,2015-09-21,7,11:54:22,14.0,24.0,15.0,1.810,1.860,2.400,2.780,57.6,Araren Pit,Bright,RT/RH,-
1,1,1,8,2015-09-22,7,11:57:45,16.0,20.0,18.0,2.710,1.970,2.640,3.820,57.1,Araren Pit,Bright,AL/RH/CR,-
1,1,1,8,2015-09-25,7,12:19:08,17.0,22.0,12.0,0.651,0.873,1.130,1.430,56.3,Araren Pit,Bright,AL/DA,-
1,1,1,8,2015-09-28,7,12:37:05,2.0,21.0,13.0,1.060,0.825,0.905,1.240,66.7,Araren Pit,Bright,DA/RT/BK,-
1,1,1,8,2015-10-02,7,12:26:15,19.0,26.0,14.0,0.571,0.619,0.825,0.853,72.7,Araren Pit,Bright,DA/CR,-
1,1,1,8,2015-10-06,7,12:25:03,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,RT/BK,-
1,1,1,8,2015-10-08,7,12:24:32,>100,73.0,>100,0.476,0.286,0.413,0.483,61.4,Araren Pit,Bright,AL/CR,-
1,1,1,8,2015-10-12,7,12:18:03,17.0,23.0,17.0,0.698,0.730,1.170,1.220,71.9,Araren Pit,Bright,RT/RH,-
1,1,1,8,2015-10-22,7,12:23:22,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,RT/RH,-
1,1,1,8,2015-10-24,7,12:19:55,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,RT/RH,-
1,1,1,8,2015-10-26,7,12:00:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,RT/RH,-
1,1,1,8,2015-10-27,7,12:29:42,13.0,26.0,21.0,2.160,1.020,1.900,2.450,55.3,Araren Pit,Bright,RT/RH/BK,-
1,1,1,8,2015-10-28,7,12:38:26,23.0,30.0,22.0,1.020,1.400,4.520,1.550,68.0,Araren Pit,Bright,AP/RT,-
1,1,1,8,2015-10-29,7,12:38:39,14.0,24.0,21.0,2.670,1.140,1.520,2.690,55.7,Araren Pit,Bright,RH/BK/RT,-
1,1,1,8,2015-10-30,7,12:30:01,15.0,24.0,12.0,1.650,0.765,1.90,1.96,59.7,Araren Pit,Bright,RH/BK,-
1,1,1,8,2015-10-31,7,12:30:07,15.0,23.0,12.0,2.030,1.900,2.67,2.9,59.3,Araren Pit,Bright,RH/BK,-
1,1,1,8,2015-11-02,7,12:00:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,AP/AL/CR,-
1,1,1,8,2015-11-04,7,12:00:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,RT/CR,-
1,1,1,8,2015-11-09,7,12:00:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,AL/CR,-
1,1,1,8,2015-11-13,7,12:29:35,23.0,34.0,20.0,0.635,0.635,0.762,0.813,57.5,Araren Pit,Bright,RH/BK,-
1,1,1,8,2015-11-14,7,12:24:38,21.0,32.0,22.0,0.635,0.889,0.889,1,62.6,Araren Pit,Bright,RH/RT/BK,-
1,1,1,8,2015-11-16,7,12:24:42,23.0,32.0,37.0,0.762,0.508,0.508,0.813,61.5,Araren Pit,Bright,DA/AL,-
1,1,1,8,2015-11-17,7,12:27:22,32.0,39.0,26.0,0.508,0.508,0.508,0.762,55.2,Araren Pit,Bright,AL/RT/RH,-
1,1,1,8,2015-11-18,7,12:30:22,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,AL/CR,-
1,1,1,8,2015-11-19,7,12:30:00,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,AL/CR,-
1,1,1,8,2015-11-21,7,12:26:09,18.0,12.0,26.0,762.000,762.000,762,0.95,74.7,Araren Pit,Bright,RT/RH/BK,-
1,1,1,8,2015-11-23,7,12:23:29,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Not Trigered,Araren Pit,Bright,AL/CR,-
1,1,1,8,2015-11-24,7,12:25:27,14.0,34.0,19.0,0.635,0.508,1.02,1.09,54.0,Araren Pit,Bright,RT/BK/RH,-
