id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,9,8,2013-10-14,7,12:15:17,10.0,18.0,12.0,0.778,0.492,1.41,1.43,56.7,Blambangan,Bright,AP/RH,-
1,1,9,8,2013-10-18,7,12:28:41,14.0,18.0,15.0,0.587,0.365,1.05,1.09,56.9,Blambangan,Bright,RH/CR,-
1,1,9,8,2013-10-25,7,12:47:43,10.0,24.0,14.0,0.333,0.238,0.56,0.576,76.9,Blambangan,Cloudy,DA/RH,-
1,1,9,8,2013-10-28,7,12:29:50,14.0,16.0,10.0,1.510,0.619,1.56,1.630,76.6,Blambangan,Rain,DA/CR,-
1,1,9,8,2013-10-31,7,12:29:30,12.0,21.0,12.0,1.97,0.810,1.46,2.02,74.0,Blambangan,Cloudy,DA/CR,-
1,1,9,8,2013-11-01,7,12:31:04,22.0,17.0,7.4,2.35,1.67,1.76,2.87,82.0,Blambangan,Cloudy,DA/AL,-
1,1,9,8,2013-11-06,7,12:30:03,15.0,23.0,14.0,1.86,0.937,1.70,1.95,82.5,Blambangan,Bright,FB/CA,-
1,1,9,8,2013-11-11,7,12:30:50,12.0,22.0,9.5,2.41,1.21,2.87,3.61,89.5,Blambangan,Bright,AL/SM,-
1,1,9,8,2013-11-13,7,12:29:56,14.0,14.0,17.0,1.16,1.03,1.51,1.55,69.8,Blambangan,Rain,DA/OS,-
1,1,9,8,2013-11-18,7,12:32:07,10.0,14.0,11.0,6.51,2.71,4.41,6.65,72.4,Blambangan,Rain,FB/AL,-
1,1,9,8,2013-11-20,7,12:32:31,11.0,17.0,14.0,2.49,1.87,2.73,3.12,70.2,Blambangan,Bright,AP/OS,-
1,1,9,8,2013-11-22,7,12:28:49,12.0,26.0,14.0,1.10,0.905,1.68,1.74,65.5,Blambangan,Bright,AL/CR,-
1,1,9,8,2013-11-23,7,12:29:15,9.1,18.0,10.0,3.37,1.65,3.06,3.49,56.8,Blambangan,Bright,AP/CR,-
1,1,9,8,2013-11-25,7,12:33:15,10.0,17.0,10.0,2.40,1.13,3.54,3.72,58.0,Blambangan,Bright,AP/AL,-
1,1,9,8,2013-12-02,7,17:15:51,22.0,11.0,15.0,1.140,0.873,1.460,1.730,60.3,Kopra Pit,Bright,AL,-
1,1,9,8,2013-12-07,7,12:28:59,11.0,22.0,9.7,2.08,2.14,4.65,4.70,60.6,Blambangan,Bright,AP/CR,-
1,1,9,8,2013-12-14,7,16:59:31,11.0,17.0,9.5,2.52,1.94,2.02,2.86,75.5,Blambangan,Bright,CR,-
