id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,4,8,2013-10-14,7,12:15:14,8.3,12.0,9.0,0.190,0.206,0.333,0.343,54.8,Blambangan,Bright,AP/RH,-
1,1,4,8,2013-10-18,7,12:28:41,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Bright,RH/CR,-
1,1,4,8,2013-10-25,7,12:47:43,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Cloudy,DA/RH,-
1,1,4,8,2013-10-28,7,12:29:46,12.0,17.0,9.7,0.286,0.302,0.508,0.525,69.7,Blambangan,Rain,DA/CR,-
1,1,4,8,2013-10-31,7,12:29:25,8.8,16.0,12.0,0.222,0.238,0.349,0.354,66.8,Blambangan,Cloudy,DA/CR,-
1,1,4,8,2013-11-01,7,12:30:59,14.0,16.0,9.5,0.476,0.397,0.524,0.621,76.2,Blambangan,Cloudy,DA/AL,-
1,1,4,8,2013-11-06,7,12:30:02,7.4,15.0,6.5,0.286,0.222,0.413,0.432,80.9,Blambangan,Bright,FB/CA,-
1,1,4,8,2013-11-11,7,12:30:47,10.0,16.0,10.0,0.841,0.397,0.603,0.994,79.0,Blambangan,Bright,AL/SM,-
1,1,4,8,2013-11-13,7,12:29:53,17.0,17.0,14.0,0.429,0.286,0.651,0.661,61.9,Blambangan,Rain,DA/OS,-
1,1,4,8,2013-11-18,7,12:32:00,9.1,13.0,8.4,1.710,1.050,2.250,2.430,69.0,Blambangan,Rain,FB/AL,-
1,1,4,8,2013-11-20,7,12:32:24,13.0,12.0,13.0,0.603,0.429,0.746,0.796,64.2,Blambangan,Bright,AP/OS,-
1,1,4,8,2013-11-22,7,12:28:41,8.7,19.0,9.3,0.571,0.286,0.556,0.590,65.1,Blambangan,Bright,AL/CR,-
1,1,4,8,2013-11-23,7,12:29:06,9.0,13.0,9.3,0.619,0.349,0.810,0.850,64.6,Blambangan,Bright,AP/CR,-
1,1,4,8,2013-11-25,7,12:33:05,7.0,11.0,9.5,0.524,0.302,0.556,0.639,54.7,Blambangan,Bright,AP/AL,-
1,1,4,8,2013-12-02,7,17:15:51,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Kopra Pit,Bright,AL,-
1,1,4,8,2013-12-07,7,12:28:43,10.0,13.0,11.0,1.620,0.619,0.889,1.770,55.7,Blambangan,Bright,AP/CR,-
