user_id,point_id,date,conductivity,tds,tss,turbidity,hardness,color,odor,taste,ph,chloride,fluoride,residual_chlorine,sulphate,sulphite,free_cyanide,total_cyanide,wad_cyanide,ammonia_nh4,ammonia_nnh3,nitrate_no3,nitrate_no2,phosphate_po4,aluminium_al,arsenic_as,barium_ba,cadmium_cd,chromium_cr,chromium_hexavalent,cobalt_co,copper_cu,iron_fe,lead_pb,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,zinc_zn,fecal_coliform,c_coli,total_coliform_bacteria,permanganate_number_as_kmno4,surfactant,benzene,total_pesticides_as_organo_chlorine_pesticides
1,1,2011-09-08," 1,500 ", 888 , 7 , - , - , - , - , - , 5.57 , 18.7 , 0.57 , 0.05 , 501 , 0.02 , - , 0.042 , - , 4.540 , - , 2.26 , 3.980 , 0.052 , 0.04 , 0.005 , - , 0.0001 , - , 0.010 , 0.098 , 0.005 , 0.060 , 0.001 , 0.005 , 0.00002 , - , - , - , 0.022 , - , 2 , 10 , - , 0.010 , - , - 
1,1,2013-09-12, - , 418 , 1 , - , 229 , - , - , - , 7.60 , 10.0 , 0.20 , - , 252 , - , - , 0.010 , - , - , 0.20 , 1.90 , 0.010 , - , 0.10 , 0.002 , - , 0.0010 , 0.02 , - , - , 0.040 , 0.100 , - , 0.050 , - , - , 0.008 , - , 0.050 , - , 1 , 1 , - , - , - , - 
1,1,2013-10-03, - , 412 , 1 , - , 273 , - , - , - , 7.70 , 10.0 , 0.20 , - , 208 , - , - , 0.010 , - , - , 0.10 , 0.73 , 0.010 , - , 0.20 , 0.002 , - , 0.0010 , 0.02 , - , - , 0.020 , 0.100 , - , 0.050 , - , - , 0.007 , - , 0.050 , - , 23 , 1 , - , - , - , - 
1,1,2013-11-07, - , 510 , 3 , - , 292 , - , - , - , 6.80 , 14.0 , 0.50 , - , 366 , - , - , 0.010 , - , - , 3.00 , 4.70 , 0.010 , - , 0.20 , 0.001 , - , 0.0010 , 0.10 , - , - , 0.160 , 0.100 , - , 0.890 , - , - , 0.013 , - , 0.060 , - , 1 , 1 , - , - , - , - 
1,1,2013-12-04, - , 457 , 4 , - , 332 , - , - , - , 7.50 , 5.0 , 0.20 , - , 248 , - , - , 0.010 , - , - , 0.10 , 0.05 , 0.010 , - , 0.10 , 0.001 , - , 0.0010 , 0.02 , - , - , 0.100 , 0.100 , - , 0.070 , - , - , 0.004 , - , 0.050 , - , 1 , 54 , - , - , - , - 
1,1,2014-01-08, - , 578 , 1 , - , 456 , - , - , - , 7.90 , 5.0 , 0.10 , - , 426 , - , - , 0.010 , - , - , 0.10 , 0.10 , 0.430 , - , 0.10 , 0.001 , - , 0.0010 , 0.02 , - , - , 0.010 , 0.100 , - , 0.050 , - , - , 0.001 , - , 0.050 , - , 25 ," 2,420 ", - , - , - , - 
1,1,2014-02-05, - , 610 , 2 , - , 523 , - , - , - , 7.80 , 5.0 , 0.20 , - , 48 , - , - , 0.010 , - , - , 0.10 , 0.66 , 0.010 , - , 0.10 , 0.001 , - , 0.0010 , 0.02 , - , - , 0.010 , 0.100 , - , 0.090 , - , - , 0.001 , - , 0.050 , - , 1 , 1 , - , - , - , - 
1,1,2014-03-11, - , 440 , 21 , - , 211 , - , - , - , 7.10 , 10.0 , 0.20 , - , 214 , - , - , 0.010 , - , - , 3.20 , 0.60 , 0.180 , - , 0.10 , 0.003 , - , 0.0010 , 0.02 , - , - , 0.630 , 0.200 , - , 0.560 , - , - , 0.001 , - , 0.070 , - , 1 ," 1,730 ", - , - , - , - 
1,1,2014-04-02, - , 260 , 8 , - , 129 , - , - , - , 7.10 , 6.0 , 0.50 , - , 5 , - , - , 0.010 , - , - , 0.10 , 0.80 , 0.010 , - , 0.70 , 0.002 , - , 0.0010 , 0.02 , - , - , 0.220 , 0.100 , - , 0.100 , - , - , 0.006 , - , 0.060 , - , 1 , 1 , - , - , - , - 
1,1,2014-05-06, - , 83 , 4 , - , 190 , - , - , - , 7.10 , 5.0 , 0.20 , - , 175 , - , - , 0.010 , - , - , 0.10 , 0.91 , 0.010 , - , 0.10 , 0.002 , - , 0.0010 , 0.02 , - , - , 0.030 , 0.100 , - , 0.230 , - , - , 0.002 , - , 0.050 , - , 1 , 6 , - , - , - , - 
1,1,2014-06-02, - , 650 , 1 , - , 473 , - , - , - , 7.90 , 5.0 , 0.20 , - , 439 , - , - , 0.010 , - , - , 0.10 , 0.19 , 0.010 , - , 0.10 , 0.001 , - , 0.0010 , 0.02 , - , - , 0.010 , 0.100 , - , 0.050 , - , - , 0.001 , - , 0.050 , - , 1 , 12 , - , - , - , - 
1,1,2014-07-01, - , 335 , 1 , - , 510 , - , - , - , 7.70 , 5.0 , 0.20 , - , 412 , - , - , 0.010 , - , - , 0.10 , 0.25 , 0.010 , - , 0.10 , 0.002 , - , 0.0010 , 0.02 , - , - , 0.010 , 0.100 , - , 0.050 , - , - , 0.001 , - , 0.050 , - , 1 , 44 , - , - , - , - 
1,1,2014-08-06, - , 660 , 2 , - , 471 , - , - , - , 7.80 , 5.0 , 0.20 , - , 491 , - , - , 0.010 , - , - , 0.10 , 0.10 , 0.010 , - , 0.10 , 0.001 , - , 0.0010 , 0.02 , - , - , 0.010 , 0.100 , - , 0.050 , - , - , 0.001 , - , 0.050 , - , 1 , 4 , - , - , - , - 
1,1,2014-09-03, - , 380 , 3 , - , 234 , - , - , - , 7.80 , 12.0 , 0.20 , - , 182 , - , - , 0.010 , - , - , 0.10 , 0.15 , 0.010 , - , 0.10 , 0.001 , - , 0.0010 , 0.02 , - , - , 0.020 , 0.100 , - , 0.110 , - , - , 0.001 , - , 0.050 , - , 1 , 326 , - , - , - , - 
