user_id,codedust_id,date_in,date_out,m4,m3,m6,m5,total_solid,no_insect,vb_dirt,vb_algae,area_observation,observer,volume_filtrat,total_vlm_water,remarks
1,7,2008-07-25,2008-08-25,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,2008-08-25,2008-09-24,0.3005,0.276,-,-,1.43,-,-,-,-,-,-,-,-
1,7,2008-09-24,2008-10-25,1.0562,1.0036,-,-,2.88,2,Yes,No,-,Onlie&Rodie,-,-,-
1,7,2008-10-25,2008-11-25,1.0989,1.0666,-,-,1.77,2,Yes,No,grass cutting 2 weeks ago,Onlie&Rodie,-,-,-
1,7,2008-11-25,2008-12-24,0.2532,0.225,-,-,1.65,20,-,-,grass cutting 2 weeks ago,Onlie&Rodie,-,-,-
1,7,2008-12-24,2009-01-24,1.237,1.2034,-,-,1.84,11,No,No,No activity,Harjoko,-,-,-
1,7,2009-01-24,2009-02-25,0.275,0.2651,-,-,0.53,2,No,No,-,Jelly & Fanno,-,-,-
1,7,2009-02-25,2009-03-25,0.5039,0.4886,-,-,0.93,7,No,No,-,Jelly & Royke,-,-,-
1,7,2009-03-25,2009-04-24,0.4309,0.4159,-,-,0.85,3,No,No,-,Jelly & Fanno,-,-,-
1,7,2009-04-24,2009-05-20,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,Jelly & Fanno,-,-,dust gauge bottle loss
1,7,2009-05-20,2009-06-22,0.4179,0.4054,-,-,0.64,2,No,No,"grass high, no bushfire arround",Harjoko,-,-,-
1,7,2009-06-22,2009-07-23,0.3383,0.3283,-,-,0.55,2,No,No,Burning Gardening,Jelly & Roddy,-,-,-
1,7,2009-07-23,2009-08-21,0.0865,0.082,-,-,0.26,2,No,No,No activity,Jelly & Roddy,-,-,-
1,7,2009-08-21,2009-09-22,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,-,-,dust gauge bottle loss
1,7,2009-09-22,2009-10-21,0.4393,0.4147,-,-,1.44,4,Yes,No,Burning Area,Jelly & Royke,-,-,-
1,7,2009-10-21,2009-11-22,1.4581,1.4401,-,-,0.96,4,No,No,Farmer Activity,JM,-,5450,-
1,7,2009-11-22,2009-12-20,0.5985,0.594,-,-,0.27,27,No,No,Farmer Activity,Rolke,-,5400,-
1,7,2009-12-20,2010-01-20,1.101,1.0931,-,-,0.43,6,No,Yes,Farmer Activity,Jelly & Royke,-,3700,-
1,7,2010-01-20,2010-02-20,0.9059,0.8975,-,-,0.46,10,No,No,No activity,Fanno & Mahmud,-,5250,-
1,7,2010-02-20,2010-03-22,0.8335,0.8259,-,-,0.43,7,No,No,Farmer Activity,Onlie,-,450,-
1,7,2010-03-22,2010-04-20,1.5714,1.5537,-,-,1.04,16,Yes,No,Alang-alang area,JM & Rolke,-,5700,-
