user_id,codedust_id,date_in,date_out,m4,m3,m6,m5,total_solid,no_insect,vb_dirt,vb_algae,area_observation,observer,volume_filtrat,total_vlm_water,remarks
1,11,2008-09-24,2008-10-25,0.385,0.3685,-,-,0.9,2,Yes,No,local community daily activity,Onlie&Rodie,-,-,-
1,11,2008-10-25,2008-11-25,0.8683,0.8504,-,-,0.98,2,Yes,No,local community daily activity,Onlie&Rodie,-,-,-
1,11,2008-11-25,2008-12-24,0.1527,0.146,-,-,0.39,20,-,-,local community daily activity,Onlie&Rodie,-,-,-
1,11,2008-12-24,2009-01-24,0.2381,0.2289,-,-,0.5,3,No,No,local community daily activity,Harjoko,-,-,-
1,11,2009-01-24,2009-02-25,0.2604,0.2505,-,-,0.53,3,No,No,local community daily activity,Jelly & Fanno,-,-,-
1,11,2009-02-25,2009-03-25,0.257,0.2485,-,-,0.52,2,No,No,local community daily activity,Jelly & Royke,-,-,-
1,11,2009-03-25,2009-04-24,0.3344,0.322,-,-,0.7,8,No,No,local community daily activity,Jelly & Fanno,-,-,-
1,11,2009-04-24,2009-05-20,0.1788,0.1662,-,-,0.82,2,No,No,local community daily activity,-,-,-,-
1,11,2009-05-20,2009-06-22,0.3411,0.3232,-,-,0.92,2,No,No,local community daily activity,Harjoko,-,-,-
1,11,2009-06-22,2009-07-23,0.2554,0.2398,-,-,0.85,0,No,No,local community daily activity,Jelly & Roddy,-,-,-
1,11,2009-07-23,2009-08-21,0.1805,0.1657,-,-,0.87,0,No,No,local community daily activity,Jelly & Roddy,-,-,-
1,11,2009-08-21,2009-09-22,0.697,0.6405,-,-,3,0,Yes,No,Community activity. Close the road (small),Jelly & Roddy,-,-,-
1,11,2009-09-22,2009-10-21,1.7844,1.5039,-,-,16.43,4,Yes,No,Community Activity.,Jelly & Royke,-,-,-
1,11,2009-10-21,2009-11-22,0.5195,0.5104,-,-,0.48,9,No,No,Community Activity,JM,-,8360,-
1,11,2009-11-22,2009-12-20,0.515,0.5117,-,-,0.2,5,No,No,Community activity,Rolke,-,5250,-
1,11,2009-12-20,2010-01-20,0.9426,0.9385,-,-,0.22,8,No,No,"Community activity, near school",Jelly & Royke,-,4200,-
1,11,2010-01-20,2010-02-20,0.5814,0.5718,-,-,0.53,9,No,No,"Community activity, near school",Fanno & Mahmud,-,5100,-
1,11,2010-02-20,2010-03-22,0.6614,0.6558,-,-,0.32,11,No,No,"Community activity, near school",Onlie,-,325,-
1,11,2010-03-22,2010-04-20,1.1625,1.1478,-,-,0.86,6,No,No,"Community activity, near school",JM & Rolke,-,6750,-
1,11,2010-04-20,2010-05-20,0.7856,0.7724,-,-,0.75,7,No,No,"Community activity, near school",Onlie & Rolke,-,4250,-
1,11,2010-05-20,2010-06-20,0.8016,0.7971,-,-,0.25,3,No,No,"Community activity, near school",Onlie & Nus,-,3010,-
1,11,2010-06-20,2010-07-20,0.7977,0.7939,-,-,0.22,6,No,No,Community activity,JM/OS,-,2850,-
1,11,2010-07-20,2010-08-20,1.6325,1.5845,-,-,2.63,2,Yes,No,Community activity,RDC/Robby.N,-,4650,There was a lizard
1,11,2010-08-20,2010-09-20,1.573,1.5486,-,-,1.34,5,Yes,No,Community activity,OS/MW,-,2370,-
1,11,2010-09-20,2010-10-20,0.7815,0.771,-,-,0.59,0,No,No,Community activity,OS/MW,-,2890,-
1,11,2010-10-20,2010-11-23,0.8216,0.793,-,-,1.43,8,Yes,No,Community activity,RDC/AL,-,7300,There was a lizard
1,11,2010-11-23,2010-12-20,0.8206,0.8152,-,-,0.34,0,No,No,Community activity,OS/AL,-,4400,-
1,11,2010-12-20,2011-01-20,0.8257,0.8145,-,-,0.61,3,Yes,No,Community activity,OS,-,2930,-
1,11,2011-01-20,2011-02-20,0.7451,0.7415,-,-,0.2,0,No,No,Community activity,OS/MW,-,8050,-
1,11,2011-02-20,2011-03-20,0.7986,0.7834,-,-,0.92,1,No,No,"Community activity, front of community house",OS/MW,-,4100,-
1,11,2011-03-20,2011-04-21,0.8248,0.8232,-,-,0.08,3,No,No,"Community activity, front of community house, near school",OS,-,5900,-
1,11,2011-04-21,2011-05-21,0.8094,0.7905,-,-,1.07,0,No,No,"Community activity, front of community house, near school",OS/MW,-,4550,-
1,11,2011-05-21,2011-06-21,0.8085,0.7966,-,-,0.65,1,Yes,No,"Community activity, front of community house, near school",OS,-,5950,-
1,11,2011-06-21,2011-07-20,0.8393,0.7759,-,-,3.47,1,Yes,No,"Community activity, front of community house, near school",OS,-,200,-
1,11,2011-07-20,2011-08-20,0.8764,0.7753,-,-,5.54,0,Yes,No,"Community activity, front of community house, near school",OS/MW,-,2350,Have a lizard in the bottle
1,11,2011-08-20,2011-09-20,0.8012,0.7541,-,-,2.58,0,Yes,No,"Community activity, front of community house, near school",FB/OL,-,1250,-
1,11,2011-09-20,2011-10-21,0.8159,0.782,-,-,1.86,0,Yes,No,"Community activity, front of community house, near school",Novry/Anita,-,1700,-
1,11,2011-10-21,2011-11-21,0.8377,0.8123,-,-,1.39,6,Yes,No,"Community activity, front of community house, near school",Andrias/Anita,-,3725,-
1,11,2011-11-21,2011-12-22,0.8365,0.8243,-,-,0.65,2,Yes,No,"Community activity, front of community house, near school",Mahmud/Arter,-,5000,-
1,11,2011-12-22,2012-01-20,0.8499,0.8313,-,-,1.09,1,No,No,"Community activity, front of community house, near school",OS/OA,-,3600,-
1,11,2012-01-20,2012-02-20,0.8218,0.7969,-,-,1.36,3,No,No,"Community activity, front of community house, near the school",Onlie,-,5500,-
1,11,2012-02-20,2012-03-20,0.8257,0.8144,-,-,0.64,3,No,No,"Community activity, front of community house, near the school",Andrias.L,-,9500,-
1,11,2012-03-20,2012-04-20,0.7821,0.7724,-,-,0.55,1,Yes,No,"community act,house keeping,Traffic act",FB/NR,-,3300,-
1,11,2012-04-20,2012-05-20,0.8218,0.7939,-,-,1.58,5,Yes,No,"community act,house keeping,Traffic act",RH,-,11500,Have a spider in the bottle
1,11,2012-05-20,2012-06-20,0.7881,0.7754,-,-,0.72,2,No,No,community activity,AL/RH,-,2300,-
1,11,2012-06-20,2012-07-20,0.8185,0.8087,-,-,0.55,3,No,No,community activity,AP/RH,-,1000,-
1,11,2012-07-20,2012-08-22,0.8377,0.7945,-,-,2.45,2,Yes,No,Community activity,AL/TL,-,425,-
1,11,2012-08-22,2012-09-20,0.823,0.8151,-,-,0.46,0,Yes,No,Community act (carbon of waste combustion),DA/TL,-,2400,-
1,11,2012-09-20,2012-10-20,0.8877,0.8346,-,-,3.01,0,Yes,No,"Community activity, Road activity",CA/AL,-,750,-
1,11,2012-10-20,2012-11-20,0.873,0.7902,-,-,4.69,3,No,No,community act,RH/SM,-,7725,-
1,11,2012-11-20,2012-12-20,0.7972,0.789,-,-,0.46,0,No,No,community act,AL/JK,-,4000,-
1,11,2012-12-20,2013-01-21,0.8139,0.8118,-,-,0.11,0,No,No,"Community activity, Road activity",DA/SM,-,9990,-
1,11,2013-01-21,2013-02-20,0.81,0.808,-,-,0.11,4,No,No,Community act,AL/AP,-,9000,-
1,11,2013-02-20,2013-03-20,0.8015,0.7959,-,-,0.34,0,No,No,"Community activity, traffic activity",FB/CR,-,2800,-
1,11,2013-03-21,2013-04-20,0.8024,0.8016,-,-,0.05,0,No,No,"Community activity, traffic activity",DA/CR,-,3500,-
1,11,2013-04-20,2013-05-20,0.7715,0.771,-,-,0.03,3,Yes,No,"Community activity, traffic activity",DA/RH,-,4050,-
1,11,2013-05-20,2013-06-22,0.7988,0.7984,-,-,0.02,2,No,No,"Community activity, traffic activity",AL,-,3600,-
1,11,2013-06-21,2013-07-20,0.7779,0.7742,-,-,0.22,3,No,No,"Community activity, traffic activity",AP/CR,-,3750,-
1,11,2013-07-20,2013-08-20,0.7439,0.7282,-,-,0.86,1,No,No,"Community activity, traffic activity",DA/AL,-,3000,-
1,11,2013-08-20,2013-09-20,0.8067,0.8032,-,-,0.19,0,No,No,"Community activity, traffic activity",DA/RH,-,600,-
1,11,2013-09-20,2013-10-20,0.8686,0.7744,-,-,5.16,2,No,No,"Community activity, traffic activity",RH/CR,-,3200,-
