standard_id,user_id,point_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
1,1,2,2016-01-01,9:55 AM,10:00 AM,9,7.79,7.1,100,910,592,29.2,0,0,0,0,Surut,Normal,Normal,Tidak,Tidak,Tidak,toka sediment pond,DA/MU,<0.03,0.5,0,0.026,2246.4,-
1,1,2,2016-01-02,9:10 AM,9:12 AM,10,7.9,7.2,159,921,584,29.7,0,0,0,0,Surut,Normal,Normal,Ada,Tidak,Tidak,toka sediment pond,AP/CR,<0.03,0.5,0,0.019,1641.6,-
1,1,2,2016-01-03,10:01 AM,10:03 AM,8,7.66,7.08,148,925,597,28.5,0,0,0,0,Surut,Normal,Normal,Ada,Tidak,Tidak,toka sediment pond,AP/BK,<0.03,0.49,0,0.008,691.2,-
1,1,2,2016-01-04,10:20 AM,10:23 AM,5,7.07,7.01,101,874,569,29.7,0,0,0,0,Surut,Normal,Normal,Ada,Tidak,Tidak,toka sediment pond,DA/RT/BK,<0.03,0.48,0,0.01,864,-
1,1,2,2016-01-05,3:40 PM,3:50 PM,5,6.8,6.93,155,894,555,29.6,0,0,0,0,Pasang,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,AP/RT/CR,<0.03,0.5,0,0.026,2246.4,-
1,1,2,2016-01-06,7:49 AM,7:51 AM,7,7.29,6.97,160,939,615,26.8,0,0,0,0,Surut,Agak keruh,Normal,Ada,Ada,Tidak,toka sediment pond,RT,<0.03,0.52,0,0.036,3110.4,-
1,1,2,2016-01-07,9:35 AM,9:37 AM,4,7,6.98,109,867,563,30.4,0,0,0,0,Surut,Normal,Normal,Tidak,Tidak,Tidak,toka sediment pond,AP/BK,<0.03,0.52,0,0.036,3110.4,-
1,1,2,2016-01-08,11:04 AM,11:06 AM,7,7.08,7.21,124,918,592,30.6,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AL/CR,<0.03,0.48,0,0.022,1900.8,-
1,1,2,2016-01-09,10:14 AM,10:16 AM,8,7.2,7.22,141,896,577,30,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AP/AL/CR,<0.03,0.5,0,0.014,1209.6,-
1,1,2,2016-01-10,10:17 AM,10:19 AM,5,7.07,7.1,151,966,579,29.4,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AP/BK/RT,<0.03,0.47,0,0.012,1036.8,-
1,1,2,2016-01-11,10:31 AM,10:33 AM,4,7.4,7.14,167,935,608,29.2,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AP/RT,<0.03,0.48,0,0.004,345.6,-
1,1,2,2016-01-12,9:57 AM,9:59 AM,7,7.31,7.12,160,912,592,28.3,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,BK/RT,"<0,03",0.47,0,0.002,172.8,-
1,1,2,2016-01-13,10:24 AM,10:26 AM,4,7.16,7.08,159,912,592,30.4,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,BK/CR/RT,<0.03,0.48,0,0.002,172.8,-
1,1,2,2016-01-14,10:09 AM,10:11 AM,9,7.2,7.02,161,915,594,29.2,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,CR/RT,<0.03,0.48,0,0.004,345.6,-
1,1,2,2016-01-15,10:13 AM,10:15 AM,11,7.21,7.26,158,926,598,30.5,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,CR/AL,<0.03,0.49,0,0.011,950.4,-
1,1,2,2016-01-16,10:21 AM,10:23 AM,9,7.22,7.28,132,890,574,31.3,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AP/CR/AL,"<0,03",0.51,0,0.016,1382.4,-
1,1,2,2016-01-17,10:02 AM,10:04 AM,6,7.1,7.16,143,926,601,25.1,0,0,0,0,Surut,Agak keruh,Normal,Ada,Ada,Tidak,toka sediment pond,RT/BK,"<0,03",0.62,0,0.089,7689.6,-
1,1,2,2016-01-18,10:13 AM,10:15 AM,6,7.19,7.03,134,912,588,30,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RT/BK,<0.03,0.61,0,0.154,13305.6,-
1,1,2,2016-01-19,12:09 PM,12:11 PM,7,7.23,7.23,122,906,588,31.8,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,AL/BK,<0.03,0.6,0,0.135,11664,-
1,1,2,2016-01-20,10:18 AM,10:20 AM,9,7.3,7.21,134,942,609,30,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,AL,<0.03,0.62,0,0.129,11145.6,-
1,1,2,2016-01-21,10:03 AM,10:05 AM,10,6.99,7.23,141,811,523,29,0,0,0,0,Surut,Agak keruh,Normal,Ada,Ada,Tidak,toka sediment pond,AL/BK,<0.03,1.06,0,0.629,54345.6,-
1,1,2,2016-01-22,10:20 AM,10:22 AM,19,6.72,7.3,126,853,551,27.8,0,0,0,0,Surut,Agak keruh,Normal,Ada,Ada,Tidak,toka sediment pond,AP/AL,<0.03,0.96,0,1.123,97027.2,-
1,1,2,2016-01-23,10:14 AM,10:16 AM,23,7.12,7.26,141,811,525,28.9,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,AL/CR,<0.03,0.76,0,0.661,57110.4,-
1,1,2,2016-01-24,8:12 AM,8:14 AM,12,7.16,6.93,169,637,414,27.6,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RT,<0.03,0.65,0,0.286,24710.4,-
1,1,2,2016-01-25,10:20 AM,10:22 AM,9,7.01,7.12,145,631,413,27.7,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RT/BK,<0.03,0.63,0,0.173,14947.2,-
1,1,2,2016-01-26,10:23 AM,10:25 AM,8,6.9,7.1,189,549,357,27.7,0,0,0,0,Surut,Agak keruh,Normal,Ada,Ada,Tidak,toka sediment pond,AL/CR/RT/BK,<0.03,0.61,0,0.202,17452.8,-
1,1,2,2016-01-27,10:21 AM,10:23 AM,7,6.99,7,184,566,368,29.1,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RT/CR/BK,<0.03,0.64,0,0.245,21168,-
1,1,2,2016-01-28,8:42 AM,8:44 AM,6,7.08,7.13,234,549,354,27.3,0,0,0,0,Surut,Agak keruh,Normal,Ada,Ada,Tidak,toka sediment pond,AL/CR/RT,<0.03,0.64,0,0.191,16502.4,-
1,1,2,2016-01-29,10:19 AM,10:21 AM,8,7.18,7.2,187,596,383,29.4,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,AL/CR,<0.03,0.62,0,0.192,16588.8,-
1,1,2,2016-01-30,10:00 AM,10:02 AM,10,7.2,7.19,169,543,352,30,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AL/CR,<0.03,0.59,0,0.152,13132.8,-
1,1,2,2016-01-31,10:25 AM,10:27 AM,11,7.28,7.14,137,581,390,30.9,0,0,0,0,Pasang,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,DA/RT,<0.03,0.55,0,0.098,8467.2,-
1,1,2,2016-02-01,9:45 AM,9:47 AM,10,7.3,7.16,140,586,397,30.3,0,0,0,0,Surut,Normal,Normal,Tidak,Tidak,Tidak,toka sediment pond,DA/RT,<0.03,0.54,0,0.054,4665.6,-
1,1,2,2016-02-02,8:05 AM,8:07 AM,9,6.93,7.43,295,562,365,27.1,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,DA/RT,<0.03,0.52,0,0.027,2332.8,-
1,1,2,2016-02-03,9:47 AM,9:54 AM,10,6.91,7.72,153,709,460,29.8,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,RH/RT/CR,<0.03,0.49,0,0.014,1209.6,-
1,1,2,2016-02-04,10:14 AM,10:16 AM,10,7.1,7.16,166,716,465,39.3,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,RH/RT/CR,<0.03,0.47,0,0.006,518.4,-
1,1,2,2016-02-05,9:34 AM,9:36 AM,11,7.38,7.2,149,585,380,30.6,0,0,0,0,Surut,Normal,Normal,Tidak,Tidak,Tidak,toka sediment pond,CR,<0.03,0.48,0,0.003,259.2,-
1,1,2,2016-02-06,9:43 AM,9:45 AM,7,7.3,7.22,144,586,381,30.1,0,0,0,0,Surut,Normal,Normal,Ada,Tidak,Tidak,toka sediment pond,CR,<0.03,0.48,0,0.002,172.8,-
1,1,2,2016-02-09,10:09 AM,10:11 AM,5,7.42,6.85,153,683,443,29.9,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RT/BK,<0.03,0.48,0,0.002,172.8,-
1,1,2,2016-02-10,10:53 AM,10:55 AM,5,7.43,7.36,141,704,457,29.5,0,0,0,0,Surut,Agak keruh,Normal,Ada,Ada,Tidak,toka sediment pond,RT,<0.03,0.87,0,0.221,19094.4,-
1,1,2,2016-02-11,8:46 AM,8:48 AM,10,6.81,7.34,276,580,376,28.4,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,DA/RT,<0.03,0.79,0,0.69,59616,-
1,1,2,2016-02-12,10:00 AM,10:02 AM,10,7.16,7.32,270,428,310,28.3,0,0,0,0,Pasang,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,AP/CR,<0.03,0.64,0,0.335,28944,-
1,1,2,2016-02-13,8:25 AM,8:26 AM,9,7.2,7.26,274,430,316,28,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,AP/AL,<0.03,0.57,0,0.151,13046.4,-
1,1,2,2016-02-14,10:03 AM,10:05 AM,9,6.85,7.3,271,583,378,28,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AP/RH/RT/BK,<0.03,0.56,0,0.08,6912,-
1,1,2,2016-02-15,11:37 AM,11:39 AM,8,6.87,7.12,265,581,377,30.6,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,AP/RT/RH/BK,<0.03,0.49,0,0.072,6220.8,-
1,1,2,2016-02-16,10:19 AM,10:21 AM,6,7.31,7.18,211,587,381,31.1,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,CR/BK,<0.03,0.48,0,0.004,345.6,-
1,1,2,2016-02-23,9:57 AM,9:59 AM,8,7.16,6.81,178,564,362,29.4,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RT/CR/RH,<0.03,0.8,0,0.38,32832,-
1,1,2,2016-02-24,9:47 AM,9:49 AM,12,7.4,7.18,199,586,377,29.9,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,CR/AL,<0.03,0.65,0,0.377,32572.8,-
1,1,2,2016-02-25,8:52 AM,8:54 AM,9,7.43,7.12,197,582,378,27.6,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,toka sediment pond,CR/RH/BK,<0.03,0.59,0,0.168,14515.2,-
1,1,2,2016-02-26,10:08 AM,10:10 AM,10,7.37,7.19,156,616,396,29.9,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RT/BK,<0.03,0.53,0,0.064,5529.6,-
1,1,2,2016-02-27,9:48 AM,9:50 AM,5,7.57,7.26,160,618,394,30.8,0,0,0,0,Surut,Agak keruh,Normal,Ada,Tidak,Tidak,toka sediment pond,RH/RT/BK,<0.03,0.51,0,0.037,3196.8,-
