standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
1,1,3,2016-12-19,9:29 AM,9:34 AM,6,7.60,7.00,180,1960.0,1129.0,31.4,-,-,-,-,surut,Normal,Normal,tidak,Tidak,Tidak,PSP,AP/AL,-,0.06,-,0.001252236,108.1931552,Monthly
1,1,3,2016-12-20,11:23 AM,11:25 AM,7,7.52,7.10,169,1948.0,1246.0,31.0,-,-,-,-,surut,Normal,Normal,tidak,Tidak,Tidak,PSP,RH/RT,-,0.1,-,0.004418003,381.7154297,-
1,1,3,2016-12-21,8:34 AM,8:36 AM,5,7.63,7.24,161,1153.0,749.0,30.6,-,-,-,-,surut,Normal,Normal,tidak,Tidak,Tidak,PSP,AP/RT,-,0.15,-,0.012168387,1051.348632,-
1,1,3,2016-12-22,9:36 AM,9:38 AM,7,7.52,7.10,158,1145.0,740.0,30.3,-,-,-,-,surut,Normal,Normal,tidak,Tidak,Tidak,PSP,RH/RT,-,0.17,-,0.016691434,1442.13986,-
1,1,3,2016-12-23,7:43 AM,7:45 AM,5,7.64,7.20,164,1160.0,754.0,28.9,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RT,-,0.18,-,0.019296573,1667.223865,-
1,1,3,2016-12-24,9:31 AM,9:33 AM,5,7.63,7.23,170,1169.0,759.0,30.8,-,-,-,-,surut,Normal,Normal,tidak,Tidak,Tidak,PSP,BK,-,0.19,-,0.022144238,1913.26214,-
1,1,3,2016-12-25,8:58 AM,9:00 AM,9,7.51,7.29,159,2318.0,1344.0,31.0,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,AP/AL,-,0.19,-,0.022144238,1913.26214,-
1,1,3,2016-12-26,8:43 AM,8:45 AM,6,7.27,7.22,171,2378.0,1536.0,30.6,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,AL,-,0.2,-,0.025244822,2181.152609,-
1,1,3,2016-12-27,9:08 AM,9:10 AM,7,7.40,7.24,164,2386.0,1550.0,30.1,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,AL/CR/RT,-,0.21,-,0.028608994,2471.817053,-
1,1,3,2016-12-28,9:14 AM,9:16 AM,6,7.40,7.30,156,2106.0,1368.0,30.6,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RT,-,0.2,-,0.025244822,2181.152609,-
1,1,3,2016-12-29,1:38 PM,1:40 PM,7,7.55,7.18,160,2105.0,1192.0,29.3,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RH/RT,-,0.26,-,0.049779279,4300.929681,-
1,1,3,2016-12-30,9:10 AM,9:12 AM,12,7.63,6.99,212,2450.0,1432.0,29.2,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,AP,-,0.32,-,0.086403963,7465.302386,-
1,1,3,2016-12-31,8:55 AM,8:57 AM,11,7.44,7.29,180,2481.0,1441.0,30.2,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,AL/AP,-,0.36,-,0.119043441,10285.35327,-
1,1,3,2017-01-01,1:20 PM,1:22 PM,13,7.40,7.21,155,1351.0,832.0,30.0,-,-,-,-,surut,Agak Keruh,Normal,ada,Ada,Tidak,PSP,AP,-,0.37,-,0.128379176,11091.96078,-
1,1,3,2017-01-02,9:43 AM,9:47 AM,11,7.68,7.33,151,2429.0,1450.0,33.0,-,-,-,-,Pasang,Normal,Normal,ada,Tidak,Tidak,PSP,AP/DA/BK,-,0.35,-,0.110195358,9520.87892,Monthly
1,1,3,2017-01-03,9:45 AM,9:47 AM,10,7.68,7.14,159,2477.0,1610.0,27.9,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,BK/RT,-,0.31,-,0.079336074,6854.636771,-
1,1,3,2017-01-04,10:30 AM,10:32 AM,7,7.36,7.16,187,2470.0,1345.0,30.2,-,-,-,-,Pasang,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,RH/RT/BK,-,0.33,-,0.093892391,8112.302594,-
1,1,3,2017-01-05,6:16 AM,6:18 AM,10,7.40,7.41,183,2329.0,1513.0,28.2,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,RT,-,0.23,-,0.036172297,3125.286498,-
1,1,3,2017-01-06,9:30 AM,9:32 AM,9,7.76,7.30,160,2460.0,1421.0,30.8,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,RH/CR,-,0.3,-,0.072673231,6278.967167,-
1,1,3,2017-01-07,9:30 AM,9:32 AM,10,7.40,7.20,180,2471.0,1606.0,30.3,-,-,-,-,Pasang,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,CR,-,0.3,-,0.072673231,6278.967167,-
1,1,3,2017-01-08,3:09 PM,3:10 PM,14,7.39,7.21,160,2406.0,1393.0,31.3,-,-,-,-,Pasang,Agak Keruh,Normal,ada,Ada,Tidak,PSP,RT,-,0.3,-,0.072673231,6278.967167,-
1,1,3,2017-01-09,1:17 PM,1:19 PM,37,7.31,7.10,140,2300.0,1495.0,30.5,-,-,-,-,Pasang,Agak Keruh,Normal,ada,Ada,Tidak,PSP,RT/RH,-,0.31,-,0.079336074,6854.636771,-
1,1,3,2017-01-10,10:13 AM,10:15 AM,8,7.44,7.29,170,2198.0,1427.0,30.7,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,AL/BK/CR,-,0.3,-,0.072673231,6278.967167,-
1,1,3,2017-01-11,9:45 AM,9:46 AM,6,7.30,7.14,189,2550.0,1460.0,31.1,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,AL/CR/BK,-,0.3,-,0.072673231,6278.967167,-
1,1,3,2017-01-12,1:18 PM,1:20 PM,8,7.94,7.15,232,2610.0,1500.0,31.9,-,-,-,-,surut,Normal,Normal,tidak,Tidak,Tidak,PSP,BK/CR,-,0.31,-,0.079336074,6854.636771,-
1,1,3,2017-01-13,7:50 AM,7:52 AM,7,7.28,7.18,209,2730.0,1580.0,31.0,-,-,-,-,Pasang,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,AL,-,0.32,-,0.086403963,7465.302386,-
1,1,3,2017-01-14,8:16 AM,8:18 AM,7,7.17,7.11,231,2780.0,1610.0,30.6,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,AL,-,0.32,-,0.086403963,7465.302386,-
1,1,3,2017-01-15,9:41 AM,9:43 AM,5,7.26,7.16,200,2830.0,1811.0,30.3,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RH/RT/BK,-,0.29,-,0.066400431,5736.997205,-
1,1,3,2017-01-16,9:01 AM,9:03 AM,7,7.29,6.97,207,2800.0,1580.0,30.1,-,-,-,-,surut,Normal,Normal,tidak,Tidak,Tidak,PSP,RH/RT/BK,-,0.28,-,0.060503143,5227.471551,-
1,1,3,2017-01-17,9:34 AM,9:36 AM,5,7.60,7.16,176,2830.0,1660.0,30.2,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RH/RT/BK,-,0.29,-,0.066400431,5736.997205,-
1,1,3,2017-01-18,8:47 AM,8:49 AM,8,7.54,7.11,170,2810.0,1820.0,28.4,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RT,-,0.29,-,0.066400431,5736.997205,-
1,1,3,2017-01-19,9:43 AM,9:45 AM,8,7.61,7.17,177,3049.0,2089.0,30.0,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,BK/CR,-,0.28,-,0.060503143,5227.471551,-
1,1,3,2017-01-20,8:39 AM,8:41 AM,7,7.18,7.20,148,3249.0,2055.0,30.9,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,AL/CR,-,0.29,-,0.066400431,5736.997205,-
1,1,3,2017-01-21,9:15 AM,9:17 AM,7,7.28,7.24,136,3452.0,2353.0,31.2,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,AP/AL,-,0.32,-,0.086403963,7465.302386,-
1,1,3,2017-01-22,8:50 AM,8:52 AM,6,7.26,7.29,131,3311.0,2262.0,30.8,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,RT/RH,-,0.38,-,0.138220687,11942.26739,-
1,1,3,2017-01-23,9:12 AM,9:14 AM,6,7.30,7.20,216,3365.0,2066.0,31.0,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RT/RH/BK,-,0.4,-,0.159496358,13780.48531,-
1,1,3,2017-01-24,9:18 AM,4:48 AM,5,7.16,7.18,106,2973.0,2032.0,30.0,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RT/AL,-,0.37,-,0.128379176,11091.96078,-
1,1,3,2017-01-25,9:26 AM,9:28 AM,6,7.31,7.30,137,2875.0,1963.0,30.3,-,-,-,-,surut,Agak Keruh,Normal,tidak,Tidak,Tidak,PSP,RT/RH,-,0.35,-,0.110195358,9520.87892,-
1,1,3,2017-01-26,10:23 AM,10:25 AM,25,7.48,7.21,164,2188.0,1377.0,29.7,-,-,-,-,Pasang,Agak Keruh,Normal,ada,Ada,Tidak,PSP,AP/CA,-,0.83,-,1.52428757,131698.4461,-
1,1,3,2017-01-27,9:33 AM,9:35 AM,20,7.52,7.31,176,2265.0,1526.0,29.5,-,-,-,-,surut,Agak Keruh,Normal,ada,Tidak,Tidak,PSP,ap/cr/al,-,0.55,-,0.403356112,34849.96812,-
