user_id,point_id,date,conductivity,tds,tss,turbidity,hardness,color,odor,taste,ph,chloride,fluoride,residual_chlorine,sulphate,sulphite,free_cyanide,total_cyanide,wad_cyanide,ammonia_nh4,ammonia_nnh3,nitrate_no3,nitrate_no2,phosphate_po4,aluminium_al,arsenic_as,barium_ba,cadmium_cd,chromium_cr,chromium_hexavalent,cobalt_co,copper_cu,iron_fe,lead_pb,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,zinc_zn,fecal_coliform,c_coli,total_coliform_bacteria
1,1,2013-09-03,-,12,1,-,68.22244,-,-,-,7.4,5,0.1,-,5,-,-,0.01,-,-,0.2,0.2,0.01,-,0.1,0.001,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1600
1,1,2013-10-03,-,121,1,-,79.70528,-,-,-,7.4,5,0.1,-,5,-,-,0.01,-,-,0.1,0.31,0.01,-,0.2,0.001,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1
1,1,2013-11-07,-,127,2,-,67.05106,-,-,-,7.3,5,0.2,-,5,-,-,0.01,-,-,0.1,0.18,0.01,-,0.2,0.001,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1
1,1,2013-12-04,-,99,2,-,50.81942,-,-,-,7.1,5,0.4,-,5,-,-,0.01,-,-,0.1,0.05,0.01,-,0.2,0.003,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1
1,1,2014-01-08,-,93,1,-,43.1,-,-,-,7.1,5,0.3,-,5,-,-,0.01,-,-,0.1,0.13,0.01,-,0.1,0.002,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,117
1,1,2014-02-05,-,100,1,-,46,-,-,-,7.1,5,0.4,-,5,-,-,0.01,-,-,0.1,0.1,0.66,-,0.1,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1
1,1,2014-03-11,-,100,1,-,46,-,-,-,7,5,0.2,-,5,-,-,0.01,-,-,0.1,0.75,0.01,-,0.1,0.003,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,146
1,1,2014-04-02,-,93,1,-,46.16796,-,-,-,7,5,0.6,-,5,-,-,0.01,-,-,0.1,0.76,0.01,-,0.1,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,6
1,1,2014-05-06,-,330,1,-,47.99822,-,-,-,7.3,5,0.3,-,5,-,-,0.01,-,-,0.1,0.57,0.01,-,0.1,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,2
1,1,2014-06-04,-,110,1,-,46.80662,-,-,-,7.4,5,0.4,-,4,-,-,0.01,-,-,0.1,0.71,0.01,-,0.1,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1
1,1,2014-07-01,-,104,1,-,50.02652,-,-,-,6.9,5,0.4,-,5,-,-,0.01,-,-,0.1,0.75,0.01,-,0.1,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,8
1,1,2014-08-06,-,99,1,-,42,-,-,-,6.9,5,0.4,-,5,-,-,0.01,-,-,0.1,0.67,0.01,-,0.2,0.004,-,0.001,0.02,-,-,0.01,0.1,-,0.05,-,-,0.001,-,0.05,-,1,1
1,1,2014-09-03,-,530,2,-,389.0202,-,-,-,7.7,7,0.2,-,385,-,-,0.01,-,-,0.1,0.14,0.01,-,2.1,0.001,-,0.001,0.02,-,-,0.02,0.1,-,0.09,-,-,0.002,-,0.13,-,1,9
