user_id,point_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,alkalinity,temperature,salinity,dissolved_oxygen_do,colour,odour,taste,ph,chloride_cl,fluoride_f,residual_chlorine,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,chromium_cr,chromium_hexavalent_cr6,cobalt_co,copper_cu,iron_fe,manganese_mn,lead_pb,mercury_hg,nickel_ni,selenium_se,silver_ag,zinc_zn,aluminium_t_al,arsenic_t_as,cadmium_t_cd,chromium_hexavalent_t_cr6,chromium_t_cr,cobalt_t_co,copper_t_cu,lead_t_pb,selenium_t_se,mercury_t_hg,nickel_t_ni,zinc_t_zn,bod,cod,oil_and_grease,phenols,permanganate_number_as_kmno4,surfactant_mbas,benzene,chloroform,2_4_6_trichloropenol,2_4_d,pentachlorophenol,total_pesticides,chlordane_total_isomer,dieldrin,aldrin,fecal_coliform,e_coli,total_coliform_bacteria
1,2,6,2012-06-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,-,-
1,2,6,2014-11-11,695,400,5,-,-,192,29.4,-,-,-,-,-,7.1,9,0.6,-,129,0.002,0.01,0.01,0.01,0.1,-,0.01,0,0.01,0.6,-,0.002,-,0.001,-,0.02,0.1,0.01,7.2,2.75,0.01,0.0005,-,0.001,0.02,0.05,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.001,-,-,-,-,-,-,-,-,-,-,-,2,-,30
1,2,6,2014-12-07,441,232,-,4.5,151,-,28.9,-,-,5,Odourless,Tasteless,6.85,2.7,0.04,-,11,-,-,0.005,-,-,-,0.071,0.001,-,-,-,0.0005,-,0.0001,-,0.005,-,-,0.21,0.186,0.01,0.00005,-,0.002,-,0.015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,2420
1,2,6,2015-01-02,430,328,-,2.3,119,-,30.1,-,-,5,Odourless,Tasteless,6.77,2.6,0.05,-,11,-,-,0.005,-,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,0.005,-,-,0.06,0.141,0.01,0.00005,-,0.003,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,2420
1,2,6,2015-02-14,436,325,-,7.2,190,-,29.2,-,-,5,Odourless,Tasteless,7.33,3.4,0.09,-,9,-,-,0.005,-,-,-,0.041,0.001,-,-,-,0.0005,-,0.0001,-,0.005,-,-,0.09,0.258,0.009,0.00005,-,0.0033,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,10,1990
1,2,6,2015-03-02,466,189,-,10,182,-,29,-,-,5,Odourless,Tasteless,6.94,2.3,0.05,-,9,-,-,0.005,-,-,-,0.031,0.001,-,-,-,0.0005,-,0.0001,-,0.005,-,-,0.02,0.24,0.008,0.00005,-,0.003,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,36
1,2,6,2015-04-02,449,319,-,9.7,211,-,28.9,-,-,5,Odourless,Tasteless,6.96,3.5,0.06,-,8,-,-,0.005,-,-,-,0.005,0.001,-,-,-,0.005,-,0.001,-,0.005,-,-,0.05,0.231,0.006,0.00005,-,0.005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,340
1,2,6,2015-05-05,450,226,-,24.4,18,-,28.3,-,-,5,Odourless,Tasteless,7.26,3.4,0.18,-,10,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.0005,-,0.0001,-,0.005,-,-,0.02,0.01,0.005,0.00005,-,0.0005,-,0.006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00028,0.00001,0.00001,0.00001,-,7,2420
1,2,6,2015-06-05,441,298,-,25.9,289,-,29.3,-,-,5,Odourless,Tasteless,7.11,2.7,0.33,-,9,-,-,0.005,-,-,-,0.017,0.001,-,-,-,0.0005,-,0.0001,-,0.005,-,-,0.02,0.162,0.001,0.00005,-,0.0006,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,2420
1,2,6,2015-07-02,438,302,-,43.7,10,-,29.1,-,-,5,Odourless,Tasteless,7.12,3.5,0.02,-,13,-,0.005,0.005,0.005,-,-,0.005,0.001,-,-,-,0.002,-,0.0001,-,0.005,-,-,0.02,0.219,0.001,0.00005,-,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.01,0.001,0.001,0.001,0.001,0.001,0.00001,0.00001,0.00001,0.00001,-,1,490
