user_id,point_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,alkalinity,temperature,salinity,dissolved_oxygen_do,colour,odour,taste,ph,chloride_cl,fluoride_f,residual_chlorine,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,chromium_cr,chromium_hexavalent_cr6,cobalt_co,copper_cu,iron_fe,manganese_mn,lead_pb,mercury_hg,nickel_ni,selenium_se,silver_ag,zinc_zn,aluminium_t_al,arsenic_t_as,cadmium_t_cd,chromium_hexavalent_t_cr6,chromium_t_cr,cobalt_t_co,copper_t_cu,lead_t_pb,selenium_t_se,mercury_t_hg,nickel_t_ni,zinc_t_zn,bod,cod,oil_and_grease,phenols,permanganate_number_as_kmno4,surfactant_mbas,benzene,chloroform,2_4_6_trichloropenol,2_4_d,pentachlorophenol,total_pesticides,chlordane_total_isomer,dieldrin,aldrin,fecal_coliform,e_coli,total_coliform_bacteria
1,3,6,2011-09-30,332,232,604,-,-,-,27.3,-,-,-,-,-,6.75,2.3,0.08,-,4,0.02,0.005,0.005,0.005,0.49,-,0.031,0.001,0.179,0.086,-,0.0008,-,0.0001,-,0.01,0.003,0.005,0.38,0.178,0.001,0.00,-,0.0011,0.0001,0.017,-,-,-,-,-,-,-,-,-,-,-,-,210,575,5,0.005,-,-,-,-,-,-,-,-,-,-,-,-,620,4840
1,3,6,2011-11-16,427,299,1240,-,-,-,25.1,-,-,-,-,-,6.78,5.2,0.14,0.01,7,0.02,0.005,0.005,0.005,1.02,-,0.005,0.001,0.653,0.095,-,0.0005,-,0.0001,0.001,0.01,0.002,0.005,0.12,0.347,0.001,0.00005,-,0.0005,0.0001,0.012,-,-,-,-,-,-,-,-,-,-,-,-,229,436,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,26,4840
1,3,6,2011-11-16,419,293,6800,-,-,-,25.1,-,-,-,-,-,6.68,5.2,0.14,0.01,7,0.02,0.005,0.005,0.005,0.36,-,0.084,0.008,0.177,0.227,-,0.0005,-,0.0001,0.001,0.01,0.003,0.005,1.14,0.317,0.001,0.00005,-,0.0005,0.0001,0.008,-,-,-,-,-,-,-,-,-,-,-,-,241,402,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,20,4840
1,3,6,2011-12-15,407,285,111,-,-,-,29.4,-,-,-,-,-,6.75,3.4,0.13,0.04,2,0.02,0.005,0.005,0.005,0.71,-,0.016,0.001,0.276,0.010,-,0.0005,-,0.0001,0.001,0.01,0.002,0.005,3.49,0.262,0.001,0.00005,-,0.0005,0.0001,0.010,-,-,-,-,-,-,-,-,-,-,-,-,51,87,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,620,4840
1,3,6,2011-12-15,407,285,118,-,-,-,29.4,-,-,-,-,-,6.81,3.0,0.13,0.02,3,0.02,0.005,0.005,0.005,0.75,-,0.007,0.001,0.423,0.005,-,0.0005,-,0.0001,0.001,0.01,0.002,0.005,2.54,0.256,0.001,0.00005,-,0.0005,0.0001,0.007,-,-,-,-,-,-,-,-,-,-,-,-,43,87,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,680,4840
1,3,6,2012-01-06,391,274,4410,-,-,-,30.7,-,-,-,-,-,6.90,3.8,0.14,0.02,6,0.02,0.005,0.005,0.005,0.83,-,0.017,0.002,0.320,0.034,-,0.0005,-,0.0001,0.001,0.01,0.001,0.005,0.38,0.401,0.001,0.00005,-,0.0005,0.0001,0.008,-,-,-,-,-,-,-,-,-,-,-,-,23,77,5,0.001,-,2.22,-,-,-,-,-,-,-,-,-,-,280,4840
1,3,6,2012-01-06,393,275,2360,-,-,-,30.7,-,-,-,-,-,6.84,6.2,0.10,0.03,4,0.02,0.005,0.005,0.005,0.80,-,0.017,0.002,0.598,0.033,-,0.0005,-,0.0001,0.001,0.01,0.001,0.005,0.17,0.405,0.001,0.00005,-,0.0005,0.0001,0.008,-,-,-,-,-,-,-,-,-,-,-,-,35,71,5,0.001,-,1.35,-,-,-,-,-,-,-,-,-,-,220,4840
1,3,6,2012-02-18,391,274,1380,-,-,-,25.1,-,-,-,-,-,6.93,2.8,0.11,-,2,0.02,0.005,0.005,0.005,0.25,-,0.028,0.001,0.025,0.005,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.02,0.25,0.001,0.00005,-,0.0005,0.001,0.016,-,-,-,-,-,-,-,-,-,-,-,-,16,26,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,6,4840
1,3,6,2012-02-18,388,271,1480,-,-,-,25.1,-,-,-,-,-,6.85,3.4,0.12,2,0.02,-,0.005,0.005,0.005,0.22,-,0.011,0.001,0.116,0.005,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.03,0.24,0.001,0.00005,-,0.0005,0.001,0.015,-,-,-,-,-,-,-,-,-,-,-,-,16,23,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2,4840
1,3,6,2012-03-17,329,230,97,-,-,-,35.5,-,-,-,-,-,6.87,0.5,0.11,-,2,0.02,0.005,0.005,0.005,-,0.26,0.052,0.003,0.83,0.060,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.56,0.26,0.00,0.000,-,0.00050,0.001,0.019,-,-,-,-,-,-,-,-,-,-,-,-,17,22,5,0.001,-,0.12,-,-,-,-,-,-,-,-,-,-,6,4840
1,3,6,2012-03-17,339,237,113,-,-,-,35.5,-,-,-,-,-,6.89,0.5,0.11,-,2,0.02,0.005,0.005,0.005,-,0.19,0.085,0.005,1.75,0.013,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.35,0.26,0.00,0.000,-,0.00050,0.001,0.016,-,-,-,-,-,-,-,-,-,-,-,-,17,29,5,0.001,-,0.18,-,-,-,-,-,-,-,-,-,-,2,4840
1,3,6,2012-04-13,322,226,28,-,-,-,NA,-,-,-,-,-,7.04,1.3,0.13,-,2,0.02,0.005,0.005,0.005,-,0.56,0.018,0.001,0.150,0.005,-,0.0007,-,0.0001,-,0.01,0.001,0.005,0.02,0.325,0.001,0.00005,-,0.00050,0.0001,0.019,-,-,-,-,-,-,-,-,-,-,-,-,3,28,5,0.001,-,0.61,-,-,-,-,-,-,-,-,-,-,10,2400
1,3,6,2012-04-13,308,216,26,-,-,-,NA,-,-,-,-,-,7.00,2.4,0.13,-,2,0.02,0.005,0.005,0.005,-,0.58,0.011,0.001,0.350,0.005,-,0.0005,-,0.0001,-,0.01,0.001,0.005,0.02,0.305,0.001,0.00005,-,0.00050,0.0001,0.021,-,-,-,-,-,-,-,-,-,-,-,-,5,30,5,0.001,-,0.62,-,-,-,-,-,-,-,-,-,-,12,1840
1,3,6,2012-05-12,-,215,46,-,-,-,NA,-,8.41,-,-,-,6.48,3.5,0.16,-,5,0.02,0.005,0.005,0.005,-,0.38,0.010,0.001,0.310,0.005,-,0.0005,-,0.0001,-,0.01,0.001,0.005,0.02,0.229,0.001,0.00005,-,0.00050,0.0001,0.007,-,-,-,-,-,-,-,-,-,-,-,-,6,31,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2,1100
1,3,6,2012-06-07,318,223,21,-,-,-,NA,-,-,-,-,-,7.05,2.1,0.14,-,2,0.02,0.005,0.005,0.005,0.31,-,0.035,0.001,0.066,0.005,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.02,0.14,0.001,0.00005,-,0.00050,0.001,0.014,-,-,-,-,-,-,-,-,-,-,-,-,7,10.000,5,0.001,-,0.14,-,-,-,-,-,-,-,-,-,-,5,2420
1,3,6,2012-07-05,319,191,49,-,-,-,NA,-,-,-,-,-,6.33,2.0,0.15,-,2,0.02,0.005,0.005,0.005,-,0.29,0.027,0.001,0.330,0.050,-,0.0005,-,0.0001,-,0.01,0.001,0.005,1.35,0.203,0.001,0.00005,-,0.00050,0.00010,0.005,-,-,-,-,-,-,-,-,-,-,-,-,4,10.000,5.000,0.001,-,0.38,-,-,-,-,-,-,-,-,-,-,2.000,320
1,3,6,2012-07-09,306,214,25,-,-,-,29.2,-,-,-,-,-,6.43,2.1,0.12,-,2,0.02,0.005,0.005,0.005,-,0.31,0.023,0.001,0.353,0.005,-,0.0005,-,0.0001,-,0.01,0.001,0.005,0.25,0.136,0.001,0.00005,-,0.00050,0.00010,0.007,-,-,-,-,-,-,-,-,-,-,-,-,3,13,5.000,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2.000,2020
1,3,6,2012-08-03,322,225,20,-,-,-,30.4,-,-,-,-,-,6.76,1.1,0.17,-,2,0.02,0.005,0.005,0.005,-,0.26,0.013,0.001,0.392,0.005,-,0.0005,-,0.0001,-,0.01,0.001,0.005,0.24,0.005,0.001,0.00005,-,0.00050,0.00010,0.005,-,-,-,-,-,-,-,-,-,-,-,-,4,10,5.000,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2.000,20
1,3,6,2012-09-05,304,213,22,-,-,-,28.9,-,-,-,-,-,6.41,2.3,0.16,-,2,0.02,0.005,0.005,0.005,-,0.34,0.068,0.002,0.416,0.005,-,0.0005,-,0.0001,-,0.01,0.001,0.005,0.02,0.005,0.001,0.00005,-,0.0005,0.0001,0.005,-,-,-,-,-,-,-,-,-,-,-,-,5,10,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2,4
1,3,6,2012-10-05,308,216,21,-,-,-,27.4,-,-,-,-,-,6.76,2.5,0.15,-,2,0.02,0.005,0.005,0.005,-,0.37,0.060,0.002,0.575,0.005,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.36,0.099,0.001,0.00005,-,0.0005,0.001,0.005,-,-,-,-,-,-,-,-,-,-,-,-,5,10,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2,2
1,3,6,2012-11-05,295,207,25,-,-,-,30,-,-,-,-,-,7.59,2,0.13,-,2,0.02,0.005,0.005,0.005,-,0.33,0.022,0.001,0.418,0.013,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.87,0.16,0.001,0.00005,-,0.0005,0.001,0.012,-,-,-,-,-,-,-,-,-,-,-,-,7,44,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,6,2240
1,3,6,2012-12-06,285,200,36,-,-,-,24.8,-,-,-,-,-,6.64,1.2,0.15,-,2,0.23,0.005,0.005,0.005,-,0.52,0.010,0.001,0.443,0.005,-,0.001,-,0.0001,-,0.01,0.001,0.005,0.04,0.17,0.001,0.00005,-,-,0.001,0.011,-,-,-,-,-,-,-,-,-,-,-,-,2,24,5,0.001,-,-,-,-,-,-,-,-,-,-,-,-,2,1160
