id,user_id,codesamplettn_id,date,gwtablestandard_id,start_time,stop_time,well,well_water,h,water_volume,temperatur,ph,conductivity,tds,redox,do,salinity,turbidity,water_color,odor,rain_before_sampling,rain_during_sampling,oil_layer,source_pollution,sampler,remarks
1,1,3,2016-11-08,1,9:30,9:45,8,4,4,7065,30.2,6.98,967,634,178,2.86,-,-,Normal,no,yes,no,no,Community Activity,AP/AL/CR/FR/HM,-
1,1,3,2017-05-31,1,9:21,9:26,8,4,4,7065,28.5,7.13,461,249,217,3.95,-,-,Normal,no,no,no,no,Community Activity,AL/RH/NL,-
1,1,3,2017-11-28,1,9:30,9:42,8,4,4,7065,30.1,7.8,554,301,265,3.5,-,-,Normal,no,no,no,no,Community Activity,AL/RH/MW/HM,-
1,1,3,2018-06-26,1,9:30,10:00,8,4,4,7065,28.6,7.6,677,433,229,5.49,-,-,Normal,no,no,no,no,Community Activity,RT/RH/AL/RK/OS/MW/HM,-
1,1,3,2018-11-27,1,10:14,10:21,8,2,6,10597.5,29.5,7.06,478,311,227,3.27,-,-,Normal,no,no,no,no,Community Activity,AL/AP/RH/RKM,-
1,1,3,2019-03-05,1,9:44,9:51,8,2,6,10597.5,28.9,7.13,489,318,244,3.66,-,-,Normal,no,no,no,no,Community Activity,OS/AL/BK,-
1,1,3,2020-12-08,1,8:45,8:55,8,7,1,1766.25,28.4,7.01,720,360,98,6.84,0.3,-,Normal,no,no,no,no,Community Activity,RT/OS/BK,-
1,1,3,2021-05-18,1,9:55,10:03,8,8,0,0,27.9,7.05,551,353,242,4.48,0.3,-,Normal,no,no,no,no,Community Activity,RT/BK/FR,-
1,1,3,2021-10-19,1,10:24,10:36,8,5,3,5298.75,30.5,7.67,527,337,204,4.4,0.25,-,Normal,no,no,no,no,Community Activity,BK/NB/HM/FR,-
1,1,3,2022-05-12,1,9:45,9:54,8,3,5,8831.25,31.1,6.28,520,333,260,4.24,0.2,-,Normal,no,no,no,no,Community Activity,BK/FR/HM,-
1,1,3,2022-09-16,1,9:34,9:44,8,2,6,10597.5,29.5,7.05,516,330,224,3.89,0.2,-,Normal,no,no,no,no,Community Activity,BK/HM/NB,-
