standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
7,1,42,2017-09-26,15:00,15:02,-,7.3,6.65,262,5780,3430,49,Sal : 3.2,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,AL,-,-,-,-,-,-
7,1,42,2017-09-27,10:22,10:24,-,8.06,6.9,137,5800,3480,49.5,Sal : 3.25,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AL/BK,-,-,-,-,-,-
7,1,42,2017-09-28,10:30,10:32,-,7.99,6.81,231,5860,3530,49,Sal : 3.33,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AL/BK,-,-,-,-,-,-
7,1,42,2017-09-29,10:43,10:45,-,8.06,6.89,284,5370,3230,49,Sal : 3.47,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,BK,-,-,-,-,-,-
7,1,42,2017-09-30,8:40,8:42,-,7.9,6.93,260,5870,3540,49,Sal : 3.40,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,BK,-,-,-,-,-,-
7,1,42,2017-10-01,9:42,9:44,-,7.51,7.21,276,5610,3702,53,Sal : 3.10,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-10-02,11:30,11:32,-,8.06,7.1,251,5570,3670,32,Sal : 3.33,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-10-03,10:32,10:34,-,7.74,7.17,275,5890,3550,52,Sal : 3.18,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-10-04,10:33,10:35,-,8.08,7.2,235,5840,3530,53,Sal : 3.22,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-10-05,9:42,9:44,-,8.05,7.03,263,5550,3350,52,Sal : 3.24,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/RH,-,-,-,-,-,-
7,1,42,2017-10-06,8:21,8:23,-,8.11,7.25,250,5500,3280,53,SaL : 3.21,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/MW/HM/RH,-,-,-,-,-,-
7,1,42,2017-10-07,9:20,9:22,-,8.14,7.2,258,5530,3370,52,Sal : 3.23,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,BK/MW,-,-,-,-,-,-
7,1,42,2017-10-08,9:20,9:22,-,8.21,7.3,265,5480,3290,54,Sal : 3.22,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/RH,-,-,-,-,-,-
7,1,42,2017-10-09,7:47,7:49,-,8.26,7.21,250,5530,3640,54,Sal : 3.23,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-10-10,9:20,9:22,-,8.28,7.26,254,5510,3300,53,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,BK/RH/RT,-,-,-,-,-,-
7,1,42,2017-10-11,9:20,9:22,-,7.94,7.14,270,5610,3380,53,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/BK,-,-,-,-,-,-
7,1,42,2017-10-12,9:32,9:34,-,8.14,7.08,240,5610,3370,52,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/BK,-,-,-,-,-,-
7,1,42,2017-10-13,9:27,9:29,-,7.3,6.96,321,5240,3130,53,Sal : 3.33,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,AL/BK,-,-,-,-,-,-
7,1,42,2017-10-14,8:29,8:31,-,7.51,6.4,276,5510,3300,53,Sal : 3.28,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AL/BK,-,-,-,-,-,-
7,1,42,2017-10-15,7:42,7:44,-,7.56,6.56,270,5480,3240,53,Sal : 3.25,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-10-16,9:41,9:43,-,7.72,7.18,251,5540,3650,53,Sal : 3.21,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,RT/RH,-,-,-,-,-,-
7,1,42,2017-10-17,10:27,10:29,-,8.04,7.01,246,5000,2980,52,Sal : 3.24,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/BK,-,-,-,-,-,-
7,1,42,2017-10-18,9:36,9:38,-,8.23,7.04,254,5540,3520,53,3.21,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,bk/rt/rh,-,-,-,-,-,-
7,1,42,2017-10-19,10:12,10:14,-,8.2,6.98,255,5570,3340,54,Sal : 3.24,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RH/BK,-,-,-,-,-,-
7,1,42,2017-10-20,9:09,9:11,-,8.33,6.7,230,5610,3360,53,3.28,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AL,-,-,-,-,-,-
7,1,42,2017-10-21,10:17,10:19,-,8.29,6.25,242,5740,3440,53,3.36,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AL/BK,-,-,-,-,-,-
7,1,42,2017-10-22,9:28,9:30,-,8.2,6.2,240,5743,3444,54,3.37,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AP/RH,-,-,-,-,-,-
7,1,42,2017-10-23,9:47,9:49,-,8.19,6.19,242,5750,3450,54,3.29,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AP/RH,-,-,-,-,-,-
7,1,42,2017-10-24,8:47,8:49,-,7.89,6.51,254,5910,3550,53,3.28,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,AL,-,-,-,-,-,-
7,1,42,2017-10-25,9:42,9:44,-,7.7,6.89,298,5960,3580,53,3.55,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AL/BK,-,-,-,-,-,-
7,1,42,2017-10-26,9:30,9:32,-,8.16,7.04,248,5816,3530,51,3.47,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/BK,-,-,-,-,-,-
7,1,42,2017-10-27,9:42,9:44,-,8.2,7.01,255,5870,3520,51,3.39,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/BK,-,-,-,-,-,-
7,1,42,2017-10-28,8:10,8:12,-,8.21,7.13,231,5660,3430,51,3.41,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-10-29,8:40,8:42,-,7.29,6.72,232,5820,3480,53,3.22,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AL,-,-,-,-,-,-
7,1,42,2017-10-30,9:23,9:25,-,7.5,6.9,233,5810,3490,53,3.39,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,AL/BK,-,-,-,-,-,-
7,1,42,2017-10-31,9:30,9:32,-,7.49,6.79,240,5730,3520,50,3.35,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/RH,-,-,-,-,-,-
7,1,42,2017-11-01,7:40,7:42,-,7.3,7,230,5818,3470,53,3.37,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,AP/RT,-,-,-,-,-,-
7,1,42,2017-11-02,9:40,9:42,-,7.7,7.24,231,5730,3420,51,3.41,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,RT/RH/BK,-,-,-,-,-,-
7,1,42,2017-11-03,6:29,6:31,-,7.63,7.04,221,5810,3800,52,3.33,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT,-,-,-,-,-,-
7,1,42,2017-11-04,10:00,10:02,-,7.72,7,239,5630,3660,51,3.39,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,RT/RH,-,-,-,-,-,-
7,1,42,2017-11-05,10:00,10:02,-,7.28,6.87,296,5620,3370,56,3.37,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren,BK,-,-,-,-,-,-
7,1,42,2017-11-06,9:21,9:23,-,7.31,6.93,279,5640,3380,56,-,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,BK/HM,-,-,-,-,-,-
7,1,42,2017-11-07,13:18,13:20,-,7.46,7.01,245,5760,3460,55,-,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,BK/RH/RT,-,-,-,-,-,-
7,1,42,2017-11-08,9:51,9:53,-,7.53,7.06,235,5850,3510,56,-,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren,BK/RH/RTY,-,-,-,-,-,-
