id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,3,8,2021-01-04,7,16:08:00,10,11,11,0.591,0.229,0.473,0.608,94.3,Kopra Pit 2,Bright,AP/BK,-
1,1,3,8,2021-01-05,7,13:39:33,11,12,9,0.835,0.386,1.001,1.078,105.5,Kopra Pit 2,Bright,AP/BK,-
1,1,3,8,2021-01-06,7,13:24:36,9.1,10,7.9,0.386,0.221,0.725,0.739,98.8,Kopra Pit 2,Bright,AP/BK,-
1,1,3,8,2021-01-07,7,13:20:27,15,8.7,13,0.749,0.426,0.638,0.785,95.1,Kopra Pit 2,Bright,AP/BK,-
1,1,3,8,2021-01-09,7,17:10:08,8.4,7.9,8.3,0.828,0.512,1.261,1.344,111.8,Kopra Pit 2,Bright,AP/BK,-
1,1,3,8,2021-01-11,7,13:30:38,8.3,10,9.8,0.78,0.41,0.717,0.799,104.4,Kopra Pit 2,Bright,AP/BK,-
1,1,3,8,2021-01-12,7,13:36:44,7.2,8,7.3,2.388,1.056,2.136,2.665,110.4,Kopra Pit 2,Bright,AP/BK,-
1,1,3,8,2021-01-13,7,15:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Kopra Pit 2,Bright,FP/NB,-
1,1,3,8,2021-01-14,7,15:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Kopra Pit 2,Bright,BK/NB,-
1,1,3,8,2021-01-18,7,15:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Kopra Pit 2,Bright,FP/JK,-
1,1,3,8,2021-01-20,7,13:51:04,7,8.3,7,1.616,0.804,1.198,1.701,101.4,Kopra Pit 2,Bright,FP/JK,-
1,1,3,8,2021-01-21,7,13:36:57,6.6,9.4,7.8,3.137,1.088,1.876,3.271,92.2,Kopra Pit 2,Bright,FP/JK,-
1,1,3,8,2021-01-23,7,17:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Kopra Pit 2,Bright,FR,-
1,1,3,8,2021-01-25,7,17:21:53,11.6,15.3,10.4,0.56,0.355,0.441,0.611,96.7,Kopra Pit 2,Bright,NB/FP,-
1,1,3,8,2021-01-27,7,15:00:00,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Not triggered,Kopra Pit 2,Bright,NB/FP,-
