id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,8,8,2012-09-25,7,12:14:20,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Kopra Pit,Bright,AP,-
1,1,8,8,2012-10-12,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Kopra Pit,Bright,DA/AL,-
1,1,8,8,2012-10-25,7,16:55:01,26.00,20.00,16.0,0.444,0.429,0.478,0.58,64.100,Kopra Pit,Cloudy,DA/CA,-
1,1,8,8,2012-10-29,7,12:10:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Kopra Pit,Bright,DA/RK,-
1,1,8,8,2012-11-15,7,12:13:06,-,-,-,-,-,-,-,-,Kopra Pit,Bright,-,-
1,1,8,8,2013-01-08,7,16:57:15,8.0,16.0,9.3,1.62,0.89,1.14,1.70,81.6,Kopra Pit,Rain,JM/FB,-
1,1,8,8,2013-01-19,7,16:55:57,11.0,11.0,6.8,0.651,0.413,0.524,0.71,60.6,Kopra Pit,-,DA/CA,-
1,1,8,8,2013-01-22,7,16:58:37,13.0,8.8,7.5,0.857,0.667,1.190,1.48,66.6,Kopra Pit,-,DA/RK,-
1,1,8,8,2013-01-29,7,16:58:28,13.0,21.0,6.4,2.59,1.75,2.41,3.35,63.4,Kopra Pit,-,FB/RK,-
1,1,8,8,2013-02-04,7,16:58:06,20,22,30.0,0.794,0.492,0.603,0.93,65.1,Kopra Pit,-,FB/RK,-
1,1,8,8,2013-02-10,7,16:57:59,16,16,15.0,0.984,0.476,0.984,1.26,74.4,Kopra Pit,-,AP/AL,-
1,1,8,8,2013-02-27,7,16:53:59,18,19,21.0,0.413,0.270,0.381,0.49,61.0,Kopra Pit,Bright,DA/CA,-
1,1,8,8,2013-04-18,7,12:12:01,27,15,5.0,0.476,0.508,0.698,0.76,64.2,Kopra Pit,Bright,AP/RH,-
1,1,8,8,2013-04-20,7,16:55:56,18,16,16.0,0.698,0.524,0.794,0.89,68.5,Kopra Pit,Bright,DA/RK,-
1,1,8,8,2013-04-22,7,16:55:39,22,30,14.0,0.571,0.254,0.365,0.58,62.4,Kopra Pit,Bright,FB,-
1,1,8,8,2013-04-24,7,12:10:35,8.7,10.0,9.8,1.840,1.320,2.67,2.93,79.6,Kopra Pit,Bright,AP/RH,-
1,1,8,8,2013-05-05,7,16:55:47,17.0,13.0,8.5,0.873,0.571,1.00,1.12,60.2,Kopra Pit,Bright,AP/AL,-
1,1,8,8,2013-05-09,7,17:00:14,11.0,14.0,10.0,1.940,1.920,1.68,2.44,86.0,Kopra Pit,Bright,DA/CA,-
1,1,8,8,2013-05-11,7,12:09:45,13.0,7.3,11.0,0.556,0.397,0.651,0.75,56.8,Kopra Pit,Bright,DA/CA,-
1,1,8,8,2013-05-17,7,16:55:06,10.0,17.0,18.0,5.11,5.03,3.25,6.66,88.4,Kopra Pit,Bright,CR,-
1,1,8,8,2013-05-21,7,17:06:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Kopra Pit,Bright,DA/CA,-
1,1,8,8,2013-05-24,7,12:08:55,17.0,20.0,14.0,1.350,1.060,0.968,1.48,68.7,Kopra Pit,Bright,RK,-
1,1,8,8,2013-05-27,7,12:06:39,8.3,11.0,10.0,2.570,1.620,1.710,3.14,61.5,Kopra Pit,Bright,DA/RK,-
1,1,8,8,2013-05-28,7,16:53:27,16.0,23.0,17.0,0.381,0.270,0.667,0.69,56.6,Kopra Pit,Bright,DA/RK,-
1,1,8,8,2013-06-11,7,16:55:20,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Kopra Pit,Bright,CA/RK,-
1,1,8,8,2013-06-13,7,16:59:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Kopra Pit,Bright,DK,-
1,1,8,8,2013-06-21,7,16:55:07,8.4,8.0,15.0,0.667,0.556,0.635,0.72,79.40,Kopra Pit,Bright,AP,-
1,1,8,8,2013-06-24,7,16:55:14,9.3,10.0,11.0,0.556,0.365,0.556,0.65,67.00,Kopra Pit,Bright,AP,-
