user_id,point_id,date,ph,ph_h2o,total_organic_carbon,total_nitrogen,cn,calsium,magnesium,pottasium,sodium,jumlah,p2o5_hcl_25,k2o_hcl_25,p2o5_olsen,kapasitas_tukar_kation,kb_kejenuhan_basa,al__tukar,_h__tukar,pasir,debu,lempung,bulk_density,moisture_content,ruang_pori_total,pd,sangat_cepat,cepat,lambat,air_tersedia,permeabilitas,pf_1,pf_2,pf_2_54,pf_4_2,laboratorium
1,1,2013-11-22,5.6,5.9,2.8,0.5,-,3040,2170,444,326,-,32,27,10,10.33,-,0,0.06,61,12,27,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,2014-03-23,5.7,5.8,0.5,0.5,-,5660,3110,565,1400,-,30,30,10,19.6,-,0,0.06,54,22,24,1.22,36.4,52.2,-,-,10.3,5.6,16,6.19,-,-,-,-,-
1,1,2014-09-09,5.7,5.8,1.4,0.5,-,7.72,2.78,0.66,0.47,11.63,33,33,5.8,11.42,-,0,0.04,63,17,20,0.88,-,49,-,-,10.5,3.7,15.9,3.17,-,-,-,-,-
1,1,2015-04-01,5.24,6.21,2.16,0.21,-,4920,272,2400,829,-,34.65,15,12,17.24,-,0.02,0.08,20,57,23,1.27,-,60.1,-,-,12,5.3,16.9,5.92,-,-,-,-,-
1,1,2015-09-29,4.85,5.18,1.33,0.12,-,3780,1800,376,515,-,5,8,9.42,16.29,-,0.12,0.27,16,49,35,1.02,36.88,48.4,-,-,9.5,3.6,7.6,1.27,-,-,-,-,-
1,1,2016-04-26,5.86,6.12,1.23,0.14,-,3890,2080,411,419,-,4,6,9.73,14,-,0,0,23,59,18,1.13,-,57,-,-,17.3,5.5,11.7,4.02,53.43,39.7,34.2,22.5,-
1,1,2016-10-13,4.43,4.93,1.23,0.14,-,4500,4390,301,717,-,4,6,7.25,15.71,-,3.62,1.32,28,55,17,1.03,-,52.5,2.38,-,12.6,4.8,13.2,2.86,-,-,-,-,-
1,1,2017-01-16,4.32,5.76,1.41,0.25,-,4160,2780,257,653,-,4,6,15.26,12.82,-,2.37,0.38,19,57,24,1.03,-,57.3,2.41,-,14.6,7,15,7.82,-,-,-,-,-
1,1,2017-07-19,4.63,6.48,1.22,0.13,9,2880,2300,362,399,-,4,7,9.76,11.42,-,2.32,0.27,34,42,24,1.08,-,56,2.34,-,16.2,5.7,14.7,3.82,-,-,-,-,-
1,1,2018-01-24,5.12,7,1.48,0.22,7,4030,2930,300,684,-,12,15,21.35,23.18,-,0.52,0.05,18,49,33,1.07,-,54.6,2.38,-,14.4,7,14.9,1.83,-,-,-,-,-
1,1,2018-07-14,5.12,6.44,1.22,0.19,6,5000,310,3080,1220,-,4,6,16.74,20,-,1.15,0.12,17,59,24,1.22,-,53.3,2.29,-,12.9,4.7,15.6,1.22,-,-,-,-,-
1,1,2019-02-21,6.57,7.62,1.02,0.12,-,4150,3050,339,144,-,8,-,15.74,-,-,2.43,1.27,24,55,21,0.96,-,49.6,-,-,16.9,7.2,12.4,1.65,-,-,-,-,WLN
1,1,2019-07-31,5.82,6.1,0.35,-,-,9.1,2.6,0.6,0.1,-,0.6,0.3,7.05,-,-,-,-,-,-,-,1.15,-,52.5,-,-,13,4.4,9.2,9.44,-,-,-,-,IT
1,1,2020-03-26,6.32,5.73,0.46,0.06,-,1.7,0.7,0.2,0.1,-,1.2,0.171,0.11,4.7,-,0.04,1,15.8,23.6,60.6,1.09,-,43.6,-,-,9.1,9.7,9,0.82,-,-,-,-,IT
1,1,2020-10-12,5.94,7.01,0.44,0.17,-,7.65,0.93,1.04,0.5,-,168.75,232.4,82.74,47.97,21.09,tr,0.12,46.45,39.3,14.25,-,-,58.78,-,9.44,6.75,10.67,9.54,15.03,-,-,-,-,WLN
1,1,2021-04-21,5.54,6.82,0.9,0.18,-,9.85,4.66,0.93,0.54,-,168,477.6,76.1,17.63,90.65,tr,0.11,60.32,9.17,30.5,1.24,-,-,-,-,-,-,-,-,-,-,-,-,WLN
1,1,2021-09-23,4.78,5.39,0.46,0.12,-,8,6.73,1.18,1.03,-,273.3,448.1,8.5,34.97,48.45,tr,0.57,61.11,25.48,13.41,1.28,-,53.3,-,13.11,8.72,5.16,8.33,26.17,-,-,-,-,WLN
1,1,2022-03-22,4.68,6.06,1.35,0.11,-,9.09,7.76,1.13,0.07,-,37.2,712.8,6.7,27.62,65.4,tr,0.08,61.86,11.88,26.26,-,-,51.68,-,9.61,10.78,7.17,8.9,21.71,-,-,-,-,WLN
