user_id,biota_id,location_id,date,taxa_richness,species_density,diversity_index,evenness_value,dominance_index
1,1,13,2012-02-08,3,15,1.530124965,0.965401367,0.36
1,1,13,2012-06-30,4,744,1.054186169,0.527093084,0.586104607
1,1,13,2012-09-24,4,77.8,1.27,0.92,0.08
1,1,13,2012-12-14,0,0,0,0,0
1,1,13,2013-03-09,-,-,-,-,-
1,1,13,2013-05-30,-,-,-,-,-
1,1,13,2013-10-01,6,110,2.321928095,0.898244402,0.24
1,1,13,2014-02-21,3,33,1.584962501,1,0.333333333
1,1,13,2014-08-01,2,60,1,1,0.5
1,1,13,2015-03-18,0,0,-,-,-
1,1,13,2015-09-11,5,627,1.191,0.513,0.612
1,1,13,2016-02-14,4,30,1.922,0.961,0.28
1,1,13,2016-07-14,9,858,2.294863614,0.723948867,0.256410256
1,1,13,2017-03-08,4,704,1.617189573,0.808594786,0.388429752
1,1,13,2017-08-29,2,90,0.721928095,0.721928095,0.68
1,1,13,2018-05-22,6,132,1.986,0.768,0.326
1,1,13,2018-09-19,4,204,1.367,0.684,0.455
1,1,13,2019-03-28,8,120,2.828,0.943,0.155
1,1,13,2019-09-17,-,-,-,-,-
1,1,13,2020-05-20,4,120,2,1,0.25
1,1,13,2020-10-10,2,16,1,1,0.5
1,1,13,2021-04-22,3,40,1.370950594,0.864973521,0.44
1,1,13,2021-08-31,2,32,0.811278124,0.811278124,0.625
1,1,13,2022-05-31,3,64,1.561278124,0.985056822,0.34375
1,1,13,2022-07-12,5,56,2.235926351,0.962961065,0.224489796
1,2,13,2012-02-08,21,598164,1.977068821,0.649385531,0.263442311
1,2,13,2012-06-30,12,968544,1.954601133,0.786589361,0.203139428
1,2,13,2012-09-24,15,8100,2.53,0.93,0.07
1,2,13,2012-12-14,4,82880,2.585,0.721,0.657
1,2,13,2013-03-09,3,36.96,1435,0.893,0.595
1,2,13,2013-05-30,3,15120,1.392,0.889,0.593
1,2,13,2013-10-01,10,484409,1.253337133,0.544317401,0.367964193
1,2,13,2014-02-21,14,113752,1.903751364,0.721375524,0.232041987
1,2,13,2014-08-01,10,1039998,1.420817377,0.617053146,0.360710398
1,2,13,2015-03-18,8,897222,1.46,0.7,0.27
1,2,13,2015-09-11,11,581160,0.851,0.355,0.65
1,2,13,2016-02-14,7,105210,1.196,0.615,0.371
1,2,13,2016-07-14,10,446939,1.296293841,0.562973262,0.377063499
1,2,13,2017-03-08,18,17714268,1.666599877,0.576603986,0.29863279
1,2,13,2017-08-29,13,5689074,1.203233191,0.469106023,0.38617305
1,2,13,2018-05-22,14,1613864,1.769,0.67,0.273
1,2,13,2018-09-19,15,1078820,1.394,0.515,0.431
1,2,13,2019-03-28,4,54275,1.233,0.889,0.334
1,2,13,2019-09-17,19,2273036,1.97,0.67,0.21
1,2,13,2020-05-20,15,225045,2,0.74,0.22
1,2,13,2020-10-10,13,354146,2.009,0.783,0.17
1,2,13,2021-04-22,8,2571156,1.088585977,0.523499197,0.405401092
1,2,13,2021-08-31,12,857052,2.212513153,0.890380793,0.129099552
1,2,13,2022-05-31,16,2213810,2.04005636,0.735794799,0.178383766
1,2,13,2022-07-12,11,2088500,1.43026605,0.596467271,0.337608
1,3,13,2012-02-08,2,402,0.693147181,1,0.5
1,3,13,2012-06-30,2,651,0.636514168,0.918295834,0.555555556
1,3,13,2012-09-24,1,100,1,0,1
1,3,13,2012-12-14,-,-,-,-,-
1,3,13,2013-03-09,1,1.68,0,0,0
1,3,13,2013-05-30,-,-,-,-,-
1,3,13,2013-10-01,5,2273,1.203573627,0.747822341,0.397863053
1,3,13,2014-02-21,8,12673,1.866593831,0.897641888,0.179066378
1,3,13,2014-08-01,5,1504,1.194272163,0.742043016,0.413473645
1,3,13,2015-03-18,5,3492,1.52,0.94,0.24
1,3,13,2015-09-11,2,1503,0.637,0.918,0.556
1,3,13,2016-02-14,2,1002,0.693,1,0.5
1,3,13,2016-07-14,1,4177,0,0,1
1,3,13,2017-03-08,4,238095,1.33217904,0.960964047,0.28
1,3,13,2017-08-29,2,12531,0.636514168,0.918295834,0.555555556
1,3,13,2018-05-22,5,65228,1.498,0.931,0.247
1,3,13,2018-09-19,4,10020,1.33,0.959,0.278
1,3,13,2019-03-28,1,2505,0,0,1
1,3,13,2019-09-17,4,8340,1.33,0.96,0.28
1,3,13,2020-05-20,4,13336,1.32,0.95,0.28
1,3,13,2020-10-10,5,26728,1.494,0.928,0.25
1,3,13,2021-04-22,4,25060,1.33217904,0.960964047,0.28
1,3,13,2021-08-31,4,30072,1.329661349,0.959147917,0.277777778
1,3,13,2022-05-31,7,116956,1.809514256,0.929906377,0.183673469
1,3,13,2022-07-12,4,62655,1.17105987,0.844741134,0.351111111
1,4,13,2012-02-08,9,1505422,0.086163927,0.039214893,0.973684228
1,4,13,2012-06-30,11,2413,1.773291651,0.739520058,0.194299286
1,4,13,2012-09-24,8,16400,2.03,0.9,0.08
1,4,13,2012-12-14,7,103040,2.807,0.736,0.714
1,4,13,2013-03-09,3,23.52,1287,0.781,0.52
1,4,13,2013-05-30,4,5200,1.157,0.835,0.165
1,4,13,2013-10-01,12,764192,1.263960842,0.508655261,0.337854225
1,4,13,2014-02-21,8,12072900,0.119790575,0.057607089,0.96261232
1,4,13,2014-08-01,12,2036906665,1.22774251,0.494079932,0.404973728
1,4,13,2015-03-18,10,2279909,0.04,0.02,0.99
1,4,13,2015-09-11,20,11768,2.251,0.751,0.171
1,4,13,2016-02-14,16,6372,1.759,0.634,0.263
1,4,13,2016-07-14,11,327200,1.294201056,0.539723761,0.409000424
1,4,13,2017-03-08,17,509200,0.947430727,0.334401477,0.592539226
1,4,13,2017-08-29,15,938800,0.718163924,0.265195942,0.703310339
1,4,13,2018-05-22,15,447600,1.481,0.547,0.312
1,4,13,2018-09-19,16,1912400,1.355,0.498,0.368
1,4,13,2019-03-28,6,194800,0.893,0.498,0.598
1,4,13,2019-09-17,21,5720,2.04,0.67,0.2
1,4,13,2020-05-20,21,16330,0.96,0.32,0.65
1,4,13,2020-10-10,14,316000,1.658,0.628,0.231
1,4,13,2021-04-22,11,253600,0.935765522,0.390244533,0.620331579
1,4,13,2021-08-31,14,422800,1.250027997,0.473664586,0.475817835
1,4,13,2022-05-31,21,969200,1.627983263,0.534725329,0.25796207
1,4,13,2022-07-12,13,254000,1.659323538,0.646922534,0.269107818
1,5,13,2012-02-08,2,2,0.693147181,1,0.5
1,5,13,2012-06-30,4,6,1.242453325,0.896240625,0.333333333
1,5,13,2012-09-24,-,-,-,-,-
1,5,13,2012-12-14,-,-,-,-,-
1,5,13,2013-03-09,2,8.4,0.971,0.96,0.48
1,5,13,2013-05-30,1,800,-,-,1
1,5,13,2013-10-01,4,20,1.205628232,0.869676936,0.325
1,5,13,2014-02-21,8,102,1.556796044,0.748660644,0.285467128
1,5,13,2014-08-01,8,705763,1.755919128,0.844418606,0.220703994
1,5,13,2015-03-18,5,617544,1.22,0.76,0.37
1,5,13,2015-09-11,1,8,0,0,1
1,5,13,2016-02-14,1,24,0,0,1
1,5,13,2016-07-14,3,1600,1.039720771,0.94639463,0.375
1,5,13,2017-03-08,4,2400,1.329661349,0.959147917,0.277777778
1,5,13,2017-08-29,2,1200,0.636514168,0.918295834,0.555555556
1,5,13,2018-05-22,0,0,0,0,0
1,5,13,2018-09-19,5,3600,1.427,0.887,0.284
1,5,13,2019-03-28,2,800,0.693,1,0.5
1,5,13,2019-09-17,3,15,1.1,1,0.33
1,5,13,2020-05-20,3,940,0.21,0.19,0.91
1,5,13,2020-10-10,4,3200,1.213,0.875,0.34
1,5,13,2021-04-22,5,6000,1.263479494,0.785043949,0.342222222
1,5,13,2021-08-31,3,2000,1.054920168,0.960229718,0.36
1,5,13,2022-05-31,7,8000,1.652590223,0.849263376,0.24
1,5,13,2022-07-12,5,6800,1.466907105,0.91144063,0.252595156
