user_id,biota_id,location_id,date,taxa_richness,species_density,diversity_index,evenness_value,dominance_index
1,1,24,2012-02-04,6,133,2.521640636,0.975503759,0.183673469
1,1,24,2012-10-25,1,28.8,0,0,1
1,1,24,2013-05-31,2,1871.5,0.6659,0.9607,0.03929
1,1,24,2013-10-25,5,55,2.321928095,1,0.2
1,1,24,2014-02-26,3,33,1.584962501,1,0.333333333
1,1,24,2014-08-19,4,44,2,1,0.25
1,1,24,2015-03-27,0,0,-,-,-
1,1,24,2015-09-15,6,88,2.5,0.967,0.188
1,1,24,2016-02-18,2,12,1,1,0.5
1,1,24,2016-08-11,5,30,2.321928095,1,0.2
1,1,24,2017-03-15,8,136,2.748940047,0.916313349,0.169550173
1,1,24,2017-11-14,4,208,0.536,0.268,0.18
1,1,24,2018-05-16,7,72,2.689,0.958,0.167
1,1,24,2018-09-21,4,24,2,1,0.25
1,1,24,2019-04-04,7,54,2.725,0.971,0.16
1,1,24,2019-09-26,1,225,0,0,1
1,1,24,2020-06-17,5,114,2.25,0.97,0.22
1,1,24,2020-10-01,1,44,0,0,1
1,1,24,2021-04-13,2,132,0.918295834,0.918295834,0.555555556
1,1,24,2021-09-27,1,44,0,0,1
1,1,24,2022-03-29,2,132,0.918295834,0.918295834,0.555555556
1,1,24,2022-08-08,3,264,1.251629167,0.789690082,0.5
1,2,24,2012-02-04,29,2537517,1.689844218,0.501840142,0.316182128
1,2,24,2012-10-25,9,3100,3.17,0.974,0.889
1,2,24,2013-05-31,3,38640,1.149,0.692,0.461
1,2,24,2013-10-25,13,1502220,1.488917239,0.580486018,0.306765428
1,2,24,2014-02-26,25,46512,1.924036402,0.597735516,0.326312334
1,2,24,2014-08-19,16,42439,1.951952192,0.704017937,0.178508542
1,2,24,2015-03-27,6,2457,1.549206953,0.864628863,0.25170068
1,2,24,2015-09-15,17,308115,1.643,0.58,0.283
1,2,24,2016-02-18,7,603705,0.133,0.068,0.956
1,2,24,2016-08-11,11,465429,0.751372033,0.313346476,0.659775144
1,2,24,2017-03-15,16,8469340,1.322420356,0.476962322,0.478741542
1,2,24,2017-11-14,15,3512857,1.23,0.454,0.476
1,2,24,2018-05-16,11,353205,1.242,0.518,0.463
1,2,24,2018-09-21,20,1474610,1.505,0.502,0.392
1,2,24,2019-04-04,7,308950,0.7,0.36,0.709
1,2,24,2019-09-26,19,1562000,1.81,0.61,0.25
1,2,24,2020-06-17,10,3725745,0.18,0.08,0.94
1,2,24,2020-10-01,5,3558165,0.215,0.134,0.923
1,2,24,2021-04-13,6,1371070,0.71285469,0.397851778,0.553371382
1,2,24,2021-09-27,15,571808,1.048074935,0.387021974,0.587687789
1,2,24,2022-03-29,15,102,1.075221988,0.397046549,0.605728566
1,2,24,2022-08-08,11,194,1.491585022,0.622039269,0.310447444
1,3,24,2012-02-04,7,939,1.288716771,0.662269413,0.415431866
1,3,24,2012-10-25,0,0,0,0,0
1,3,24,2013-05-31,-,-,-,-,-
1,3,24,2013-10-25,6,2004,1.583258459,0.883633371,0.25
1,3,24,2014-02-26,6,3207,1.490902133,0.832088323,0.284735245
1,3,24,2014-08-19,3,836,0.944010262,0.859275171,0.419713377
1,3,24,2015-03-27,4,585,1.33217904,0.960964047,0.28
1,3,24,2015-09-15,6,7515,1.677,0.936,0.21
1,3,24,2016-02-18,3,3507,0.956,0.87,0.429
1,3,24,2016-08-11,4,2004,1.386294361,1,0.25
1,3,24,2017-03-15,7,247280,1.906154747,0.979569765,0.15625
1,3,24,2017-11-14,6,392638,0.577,0.322,0.749
1,3,24,2018-05-16,2,1670,0.693,1,0.5
1,3,24,2018-09-21,4,16700,1.089,0.785,0.42
1,3,24,2019-04-04,2,2505,0.637,0.918,0.556
1,3,24,2019-09-26,7,47500,1.69,0.87,0.22
1,3,24,2020-06-17,3,10002,1.01,0.92,0.39
1,3,24,2020-10-01,6,33410,1.498,0.836,0.3
1,3,24,2021-04-13,7,28390,1.731535408,0.889833176,0.211072664
1,3,24,2021-09-27,10,25384,1.751073417,0.760481522,0.267313019
1,3,24,2022-03-29,4,11356,0.916068137,0.660803479,0.529411765
1,3,24,2022-08-08,4,35084,1.277034259,0.921185497,0.306122449
