user_id,point_id,date,ph,ph_h2o,total_organic_carbon,total_nitrogen,cn,calsium,magnesium,pottasium,sodium,jumlah,p2o5_hcl_25,k2o_hcl_25,p2o5_olsen,kapasitas_tukar_kation,kb_kejenuhan_basa,al__tukar,_h__tukar,pasir,debu,lempung,bulk_density,moisture_content,ruang_pori_total,pd,sangat_cepat,cepat,lambat,air_tersedia,permeabilitas,pf_1,pf_2,pf_2_54,pf_4_2,laboratorium
1,1,2014-03-23,5.8,5.6,0.9,<0.5,-,6940,3780,875,1000,-,52,22,17,31.7,-,0,0.04,58,8,34,1.10,53.2,-,-,13,5.1,8.0,2.36,-,-,-,-,-,-
1,1,2014-09-09,5,5.2,1.5,<0.5,-,12.15,3.93,0.87,0.71,-,32,44,10.8,19.34,-,0.16,0.17,63,16,21,1.01,57.3,-,-,13.1,6.8,20.4,17.73,-,-,-,-,-,-
1,1,2015-04-01,5.25,6.35,1.05,0.13,-,2460,240,1510,259,-,6,15,9.54,13.84,-,0.00,0,16,45,39,1.11,53.9,-,-,12.3,3.9,8.5,1.37,-,-,-,-,-,-
1,1,2015-09-29,4.9,5.28,1.11,0.06,-,4950,2400,550,752,-,4,7,8.61,12.51,-,0.15,0.32,23,49,28,1.22,51.6,-,-,12.8,4.6,11.8,1.81,-,-,-,-,-,-
1,1,2016-04-26,5.98,6.34,0.93,0.11,-,3600,2330,435,474,-,12,11,19.73,17,-,0.00,0.00,19,49,32,1.04,56.3,2.38,-,11.6,3.2,12.8,0.52,-,"52,7",44.7,41.5,28.7,-
1,1,2016-10-13,6.19,6.51,1.22,0.11,-,3370,2750,311,520,-,5,6,9.65,13.45,-,0.00,0.00,38,48,14,1.22,48.5,2.37,-,17.4,5.8,6.5,5.28,-,-,-,-,-,-
1,1,2017-01-16,5.73,7.11,1.25,0.14,-,3960,2200,412,656,-,4,6,13.44,29.55,-,0.00,0.00,17,58,25,1.19,50.6,2.41,-,11.6,4.4,15.3,1.86,-,-,-,-,-,-
1,1,2017-07-19,5.27,6.9,1.28,0.17,8,3510,2420,327,567,-,8,7,19.42,15.08,-,0.00,0.18,28,53,19,1.09,53.2,2.33,-,16.5,4.8,15,2.63,-,-,-,-,-,-
1,1,2018-01-24,5.72,6.9,1.32,0.16,8,3400,2240,426,513,-,10,14,20.53,20.27,-,0,0,18,57,25,1.10,53.4,2.36,-,13.3,7.2,15.2,1.92,-,-,-,-,-,-
1,1,2018-07-14,5.74,7.04,1.46 ,0.27 ,5,4240,311,2020,806,-,5,7,18.42,22,-,1.17,0.15,27,52,21,1.11,53.2,2.37,-,11.4,4.9,11.8,1.06,-,-,-,-,-,-
1,1,2019-02-21,6.39,7.12,1.51,0.14 ,-,3730,2580,330,161,-,4,-,17.54,17.22,-,3.11,2.24,27,45,28,1.27,49.4,-,-,15.5,6.8,13.6,1.36,-,-,-,-,-,IT
1,1,2019-07-31,6.51,5.62,1.88,0.07,-,6.5,3.1,1.0,<0.1,-,0.5,0.3,19.5,22.3,-,<0.02,<1,74.1,11.5,14.3,1.02,48.1,-,-,8.20,11.7,8.60,8.88,-,-,-,-,-,IT
1,1,2020-03-26,5.65,6.75,1.32,0.1,-,5.7,3.7,0.4,<0.1,-,12.6,0.246,0.13,6.5,-,<0.02,<1,24.1,11.8,64.1,1.21,43.7,-,-,7.3,12.1,5.6,0.88,-,-,-,-,-,IT
1,1,2020-10-12,5.57,6.47,2.05,1.8,-,14.3,1.47,1.27,0.66,-,119.89,340.37,32.43,35.28,50.18,tr,0.12,67.75,10.82,21.44,1.15,56.7,-,10.55,8.16,4.59,11.8,6.34,-,-,-,-,-,WLN
1,1,2021-04-21,6.27,7.07,1.24,0.15,-,6.6,2.62,1.34,0.62,-,297.6,607.2,83.7,13.6,95.37,tr,0.11,77.43,8.54,14.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,2021-09-23,5.08,5.6,0.61,0.11,-,4.83,2.23,1.33,0.58,-,399.4,558.4,8.7,9.07,98.86,tr,0.22,79.3,11.48,9.22,1.19,54.97,-,10.04,12.47,6.85,11.93,39.31,-,-,-,-,-,-
1,1,2022-03-22,5.86,6.71,1.22,0.14,-,4.95,2.43,1.05,0.07,-,37.4,727.4,5.3,8.35,101.8,tr,0.08,73.29,6.81,19.9,1.31,50.43,-,8.46,5.16,14.45,8.73,20.12,-,-,-,-,-,-
