user_id,locationresume,date ,l1,l2,l3,l4,l5,l6,l7,ls,lm,lsm
1,1,2020-01-01, 44.55 , 43.63 , 46.17 , 44.07 , 43.51 , 43.08 , 43.53 , 43.80 , 43.36 , 44.00 
1,1,2020-02-01, 52.10 , 49.40 , 51.00 , 54.80 , 54.50 , 53.20 , 54.30 , 52.02 , 53.97 , 53.00 
1,1,2020-03-01, 56.30 , 47.90 , 54.50 , 49.40 , 49.90 , 46.80 , 49.80 , 52.25 , 48.93 , 51.00 
1,1,2020-04-01, - , - , - , - , - , - , - , - , - , - 
1,1,2020-05-01, - , - , - , - , - , - , - , - , - , - 
1,1,2020-06-01, 43.41 , 49.25 , 48.12 , 49.81 , 49.82 , 45.80 , 44.45 , 47.54 , 46.87 , 47.00 
1,1,2020-07-01, 45.26 , 44.92 , 49.44 , 45.91 , 45.52 , 45.90 , 43.65 , 45.89 , 45.08 , 46.00 
1,1,2020-08-01, 43.57 , 43.66 , 44.01 , 43.36 , 42.87 , 42.32 , 42.51 , 42.72 , 42.53 , 43.00 
1,1,2020-09-01, 49.70 , 49.00 , 46.00 , 53.10 , 50.90 , 50.80 , 50.00 , 49.94 , 50.54 , 50.00 
1,1,2020-10-01, 45.07 , 47.99 , 48.16 , 48.66 , 48.87 , 48.67 , 48.79 , 46.91 , 48.77 , 48.00 
1,1,2020-11-01, 50.38 , 49.90 , 50.39 , 48.94 , 48.09 , 48.15 , 47.93 , 48.90 , 48.06 , 49.00 
1,1,2020-12-01, 49.87 , 54.07 , 53.38 , 57.33 , 55.59 , 56.81 , 56.80 , 54.53 , 56.75 , 55.00 
1,1,2021-01-01, 49.08 , 50.34 , 50.38 , 50.22 , 50.35 , 50.24 , 50.31 , 49.14 , 50.29 , 50.00 
1,1,2021-02-01, 52.00 , 52.00 , 57.00 , 54.00 , 53.00 , 53.00 , 53.00 , 54.00 , 53.00 , 56.00 
1,1,2021-03-01, 56.83 , 55.97 , 52.29 , 57.37 , 54.52 , 48.33 , 48.76 , 53.54 , 50.95 , 54.00 
1,1,2021-04-01, 53.30 , 53.51 , 53.41 , 50.10 , 50.40 , 50.49 , 50.76 , 51.50 , 50.57 , 51.00 
1,1,2021-05-01, 50.00 , 50.00 , 50.00 , 50.00 , 49.00 , 49.00 , 49.00 , 50.00 , 49.00 , 52.00 
1,1,2021-06-01, 47.21 , 47.55 , 48.32 , 49.11 , 49.07 , 48.61 , 46.18 , 47.42 , 47.99 , 48.00 
1,1,2021-07-01, 50.78 , 47.39 , 48.63 , 50.97 , 50.35 , 50.15 , 50.04 , 49.14 , 50.16 , 50.00 
1,1,2021-08-01, 53.75 , 53.29 , 55.94 , 57.39 , 52.69 , 52.52 , 55.04 , 55.00 , 53.68 , 55.00 
1,1,2021-09-01, 52.60 , 56.70 , 58.10 , 47.20 , 65.40 , 49.50 , 54.10 , 53.62 , 59.99 , 57.00 
1,1,2021-10-01, 61.39 , 59.40 , 60.26 , 57.63 , 57.24 , 57.70 , 57.60 , 58.73 , 57.55 , 58.00 
1,1,2021-11-01, 55.02 , 52.88 , 56.81 , 51.62 , 50.46 , 49.60 , 48.59 , 53.40 , 49.50 , 52.00 
1,1,2021-12-01, 57.36 , 49.59 , 53.62 , 61.35 , 51.01 , 50.74 , 50.74 , 57.66 , 50.81 , 56.00 
1,1,2022-01-01, 62.79 , 61.39 , 59.25 , 62.98 , 62.31 , 61.86 , 61.86 , 61.16 , 61.98 , 61.00 
1,1,2022-02-01, 54.95 , 55.39 , 55.14 , 56.49 , 56.13 , 55.58 , 55.60 , 54.81 , 55.73 , 55.00 
1,1,2022-03-01, 55.53 , 55.17 , 57.46 , 54.94 , 54.63 , 54.78 , 54.82 , 54.91 , 54.76 , 55.00 
1,1,2022-04-01, 55.45 , 55.32 , 54.81 , 55.56 , 55.30 , 55.58 , 55.51 , 54.43 , 55.48 , 55.00 
1,1,2022-05-01, 50.47 , 48.90 , 52.54 , 53.37 , 52.95 , 53.28 , 52.92 , 51.21 , 53.07 , 52.00 
1,1,2022-06-01, 49.22 , 47.49 , 50.17 , 50.22 , 49.74 , 49.04 , 49.38 , 48.75 , 49.35 , 49.00 
