standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
7,1,44,2017-09-07,8:10,8:12,45,8.34,6.63,159,5820,3500,46,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AP/AL,-,-,-,-,-,-
7,1,44,2017-09-08,9:46,9:48,41,8.55,6.49,245,5010,3000,45.5,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/DS,-,-,-,-,-,-
7,1,44,2017-09-09,8:05,8:07,46,8.49,6.89,233,5100,3060,45,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AP,-,-,-,-,-,-
7,1,44,2017-09-10,10:02,10:04,42,8.45,7.25,250,5130,3080,48,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,RH,-,-,-,-,-,-
7,1,44,2017-09-11,7:20,7:22,40,8.4,7.21,249,5114,3060,49,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AP,-,-,-,-,-,-
7,1,44,2017-09-12,8:25,8:27,41,8.44,7.09,242,5110,2960,48,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/BK,-,-,-,-,-,-
7,1,44,2017-09-13,9:29,9:31,37,7.7,7.03,187,6210,3760,49.6,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/MW,-,-,-,-,-,-
7,1,44,2017-09-14,9:40,9:42,19,7.65,7.08,182,6250,3620,48,-,-,-,-,Surut,Agak Keruh,Normal,Ada,ada,Tidak,Araren Pit,BK/HM,-,-,-,-,-,-
7,1,44,2017-09-15,9:56,9:58,39,7.97,7.11,219,6380,3710,48,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL,-,-,-,-,-,-
7,1,44,2017-09-16,9:13,9:15,40,7.88,7.2,221,6290,3630,49,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL,-,-,-,-,-,-
7,1,44,2017-09-17,9:19,9:21,37,7.76,6.98,228,6240,3430,48,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,BK,-,-,-,-,-,-
7,1,44,2017-09-18,10:03,10:05,34,7.38,7.08,210,6290,3790,45,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL,-,-,-,-,-,-
7,1,44,2017-09-19,8:27,8:30,31,7.92,6.97,236,6182,3398,47,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/BK,-,-,-,-,-,-
7,1,44,2017-09-20,9:34,9:36,15,7.97,6.97,218,5160,3080,42,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,BK,-,-,-,-,-,-
7,1,44,2017-09-21,9:03,9:05,17,7.88,6.93,213,5130,2820,44,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/BK,-,-,-,-,-,-
7,1,44,2017-09-22,9:04,9:06,21,7.8,6.8,288,4720,2830,47,-,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren Pit,AL,-,-,-,-,-,-
7,1,44,2017-09-23,8:48,8:50,24,7.92,6.93,220,6110,3810,44,-,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren Pit,BK,-,-,-,-,-,-
7,1,44,2017-09-24,8:19,8:21,24,7.96,6.91,221,6140,3630,46,-,-,-,-,Surut,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren Pit,BK,-,-,-,-,-,-
7,1,44,2017-09-25,8:06,8:08,27,7.89,6.83,219,6090,3280,47,-,-,-,-,Pasang,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren Pit,BK,-,-,-,-,-,-
7,1,44,2017-09-26,8:49,8:51,29,7.97,6.45,207,6300,3770,48,-,-,-,-,Pasang,Agak Keruh,Normal,Ada,Tidak,Tidak,Araren Pit,AL,-,-,-,-,-,-
7,1,44,2017-09-27,10:32,10:34,28,8.02,6.62,175,5860,3510,48,3.24,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/BK,-,-,-,-,-,-
