user_id,locationresume,date ,l1,l2,l3,l4,l5,l6,l7,ls,lm,lsm
1,5,2020-01-01,48.7,48.2,43.5,42.6,42.4,42.9,42.6,45.1,42.7,44
1,5,2020-02-01,40,40,40,42,41,41,40,40,41,43
1,5,2020-03-01,53,51.3,44.7,46.1,48.7,54.4,48.6,48.6,51.7,50
1,5,2020-04-01,42.6,36.9,38.1,59.5,58.6,57.3,39.6,54.5,55.9,55
1,5,2020-05-01,43,45,44,41,41,41,42,44,41,45
1,5,2020-06-01,46.6,49.7,50.2,43.7,43.6,43,43.7,46.7,43.5,46
1,5,2020-07-01,50.2,45.9,40.6,44.1,44.1,42.9,42.2,45.4,43,45
1,5,2020-08-01,53.1,60,49.4,48,49.4,48.2,51.5,53,50,52
1,5,2020-09-01,40.6,43.6,43.4,50.5,46.1,43.9,43.8,46.4,44.6,46
1,5,2020-10-01,42.9,43.5,43.7,42.6,42.3,41.4,40.5,42.2,41.3,42
1,5,2020-11-01,41,45.9,41.2,46.5,43.7,43.9,44.7,43.7,44.2,44
1,5,2020-12-01,53.5,45.9,46,45.7,44,44,43.6,48.2,43.9,47
1,5,2021-01-01,41.3,40.2,40.2,43.5,44.1,41.5,41.7,41.1,42.3,42
1,5,2021-02-01,43,45,48,46,44,44,42,46,43,47
1,5,2021-03-01,46.4,46,46.8,42.5,43.9,43.9,43,44.4,43.6,44
1,5,2021-04-01,43.2,39.9,40.8,42.6,42.7,41.7,41.6,41.2,41.9,41
1,5,2021-05-01,46.4,46.1,45.5,49,40.7,40.3,40.1,46.5,40.3,45
1,5,2021-06-01,46.2,46.9,47.4,51.4,42.8,42.7,42.8,48.3,42.7,47
1,5,2021-07-01,40.8,39.2,45.1,50.9,49.4,47.1,45,46.8,47.2,47
1,5,2021-08-01,43.5,43.3,47.8,44,43.3,40.9,40.9,44.2,41.6,43
1,5,2021-09-01,47.7,43,45,46.5,47.6,47.8,46.8,45.2,47.4,46
1,5,2021-10-01,42.4,46.5,46.7,46.3,45.7,45.4,45.5,44.9,45.5,45
1,5,2021-11-01,40.8,42.2,43.8,40.9,40.8,40.7,40.8,41,40.8,41
1,5,2021-12-01,46.3,45.7,45.2,43.3,43.7,44.1,43.8,44.1,43.9,44
1,5,2022-01-01,51.2,49.2,48.4,40.8,47.4,44.2,43.3,47.2,45,47
1,5,2022-02-01,41.3,50.2,46.5,46,44.3,44.5,44.2,45.6,44.4,45
1,5,2022-03-01,44.4,40.8,37.6,38.5,38.4,38.7,38.7,40,38.6,40
1,5,2022-04-01,42.2,42.3,40.4,40.4,40.5,40.4,41.5,40.3,40.9,41
1,5,2022-05-01,45.4,36.4,37.9,39.8,38,37.7,38.5,40.5,38.1,40
1,5,2022-06-01,39.6,39.4,40.5,41.7,42,41.3,41.4,39.8,41.5,40
