codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
46,3,2010-04-06,155,108,24,53,-,27.5,-,0,-,-,-,-,-,7.63,3.4,-,0.17,8,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.067,0.003,0.09,-,-,-,<0.0005,-,-,-,<0.0001,-,-,-,<0.005,0.53,<0.001,-,0.011,<0.00002,<0.001,-,<0.0001,-,<0.005,0.605,-,<0.0001,<0.01,-,<0.001,-,-,-,<0.0005,<0.00002,-,-,<5,27,<5,0.001,<0.01,-,-,-,-,3980,>4840
46,3,2010-05-04,152,106,70,28.1,-,27.6,-,0,-,-,-,-,-,6.99,3.1,-,0.13,3,<0.02,<0.005,<0.005,<0.005,0.03,-,0.069,0.004,0.038,-,-,-,<0.0005,-,-,-,<0.0001,-,-,-,<0.005,0.61,<0.001,-,<0.005,<0.00002,<0.001,-,<0.0001,-,<0.005,2.42,-,<0.0001,<0.01,-,<0.001,-,-,-,<0.0005,<0.00002,-,-,<5,<10,<5,<0.001,<0.01,-,-,-,-,220,>4840
46,3,2010-06-02,178,125,4,7.2,-,31,-,0,-,-,-,-,-,7.77,1.6,-,0.18,2,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.047,0.002,0.102,-,-,-,<0.0005,-,-,-,<0.0001,-,-,-,<0.005,<0.02,<0.001,-,<0.005,<0.00002,<0.001,-,<0.0001,-,<0.005,0.1,-,<0.0001,<0.01,-,<0.001,-,-,-,0.0005,<0.00002,-,-,<5,10,<5,<0.001,<0.01,-,-,-,-,3460,>4840
46,3,2010-07-06,176,123,23,35.1,-,27.9,-,0,-,-,-,-,-,7.52,1.3,-,0.15,6,<0.02,<0.005,<0.005,<0.005,0.02,-,0.115,0.002,0.08,-,-,-,<0.0005,-,-,-,<0.0001,-,-,-,<0.005,0.08,<0.001,-,0.015,<0.00002,<0.001,-,<0.0001,-,0.018,0.12,-,0.0001,<0.01,-,<0.001,-,-,-,<0.0005,<0.00002,-,-,<5,25,<5,<0.001,<0.01,-,-,-,-,>4840,>4840
46,3,2010-08-04,187,95,13,17.2,-,27.3,-,0,-,-,-,-,-,7.21,2.7,-,0.15,3,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.05,0.002,0.04,-,-,-,<0.0005,-,-,-,<0.0001,-,-,-,<0.005,0.23,<0.001,-,<0.005,<0.00002,<0.001,-,<0.0001,-,<0.005,1.06,-,<0.0001,<0.01,-,<0.001,-,-,-,<0.0005,<0.00002,-,-,<5,<10,<5,<0.001,<0.01,-,-,-,-,620,>4840
46,3,2010-09-07,181,127,<1,5.7,-,29.4,-,0,-,-,-,-,-,7.81,2,-,0.16,4,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.062,0.001,0.043,-,-,-,<0.001,-,-,-,<0.0001,-,-,-,<0.005,0.33,<0.001,-,0.085,<0.00002,<0.001,-,<0.001,-,<0.01,0.033,-,<0.0001,<0.01,-,<0.001,-,-,-,<0.001,0.00004,-,-,<2,<10,<5,<0.001,<0.01,-,-,-,-,880,>4840
46,3,2010-10-05,176,123,52,81.7,-,29.7,-,0,-,-,-,-,-,7.54,2.6,-,0.14,5,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.026,0.003,0.062,-,-,-,<0.001,-,-,-,<0.0001,-,-,-,<0.005,0.17,<0.001,-,0.046,<0.00002,<0.001,-,<0.001,-,<0.01,6.89,-,0.0003,<0.01,-,<0.002,-,-,-,<0.002,<0.00002,-,-,<2,<10,<5,<0.001,<0.01,-,-,-,-,1540,>4840
46,3,2010-11-02,183,128,88,177,-,25.4,-,0,-,-,-,-,-,7.26,2,-,0.15,6,<0.02,<0.005,<0.005,<0.005,0.03,-,0.027,0.002,0.086,-,-,-,<0.001,-,-,-,<0.0001,-,-,-,<0.005,0.12,<0.001,-,0.12,<0.00002,<0.001,-,<0.001,-,<0.01,9.2,-,<0.0002,<0.01,-,0.002,-,-,-,<0.002,<0.00002,-,-,<2,<10,<5,<0.001,<0.01,-,-,-,-,1380,>4840
46,3,2010-12-02,187,131,4,8.7,-,27.3,-,0,-,4.14,-,-,-,7.31,<0.5,-,0.15,3,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.05,0.001,0.035,-,-,-,<0.0005,-,-,-,<0.0001,-,-,-,<0.005,0.1,<0.001,-,<0.005,<0.00002,<0.001,-,<0.0001,-,<0.005,0.741,-,0.0002,<0.01,-,<0.002,-,-,-,<0.001,<0.00002,-,-,<2,<10,<5,<0.001,0.01,-,-,-,-,280,>4840
46,3,2011-01-04,188,131,4,6.6,-,26.1,-,0,-,4.38,-,-,-,7.38,3,-,0.17,3,<0.02,<0.005,<0.005,<0.005,0.02,-,0.059,0.001,0.052,-,-,-,<0.001,-,-,-,<0.0001,-,-,-,<0.005,0.12,<0.001,-,0.032,<0.00002,<0.001,-,<0.001,-,<0.01,0.88,-,0.0008,<0.01,-,<0.002,-,-,-,<0.002,<0.00002,-,-,<2,<10,<5,<0.001,<0.01,-,-,-,-,360,>4840
