standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
7,1,45,2021-10-07,8:52,8:54,79,7.72,7.35,126,252,164,25.2,0.1,96.1,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",FP/NB/FR,-,-,-,-,-,-
7,1,45,2021-10-08,9:02,9:04,-,7.96,7.21,180,275,178,26.3,0.3,1000,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",FP/HM,-,-,-,-,-,-
7,1,45,2021-10-09,8:30,8:32,-,7.65,7.08,125,264,172,26,0.1,264,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",FP/NB,-,-,-,-,-,-
7,1,45,2021-10-10,8:37,8:39,152,7.34,7.14,158,241,156,26.8,0.1,168,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",NB/BK,-,-,-,-,-,-
7,1,45,2021-10-11,9:34,9:36,106,7.39,7.24,102,268,174,27.6,0.1,144,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",BK/JK/NB,-,-,-,-,-,-
7,1,45,2021-10-12,8:40,8:42,79,7.63,7.15,115,270,176,27.3,0.1,130,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",NB/HM,-,-,-,-,-,-
7,1,45,2021-10-13,8:29,8:31,178,7.6,7.08,130,255,165,26.8,0.1,118,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",NB,-,-,-,-,-,-
7,1,45,2021-10-14,9:41,9:43,37,8.4,7.3,136,273,177,28.2,0.1,40.9,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",BK/JK,-,-,-,-,-,-
7,1,45,2021-10-15,9:31,9:33,61,7.8,7.64,105,287,187,28.2,0.1,64.6,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",FP/HM/FR,-,-,-,-,-,-
7,1,45,2021-10-16,8:32,8:34,46,8.24,7.13,124,305,198,26.4,0.1,42.4,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,Tidak,"WQ14A, WQ14B, Mining Act",FP/HM,-,-,-,-,-,-
