standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
1,1,35,2016-03-10,11:39 AM,11:41 AM,-,7.61,6.37,172,699,456,33.2,-,-,-,-,Surut,Agak keruh,Normal,tidak,tidak,tidak,Mining Toka,AP/BK,-,-,-,-,-,-
1,1,35,2016-04-05,10:03 AM,10:05 AM,20,7.40,7.19,134,769,499,32.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,35,2018-09-10,11:19 AM,11:21 AM,11,4.50,7.18,230,1100,700,30.0,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,RH/RT,-,-,-,-,-,-
1,1,35,2018-09-17,10:53 AM,10:55 AM,10,7.04,7.10,175,1030,661,29.3,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,RH/FP,-,-,-,-,-,-
1,1,35,2018-09-18,10:16 AM,10:18 AM,8,7.54,7.24,144,1030,658,29.0,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,BK/FP,-,-,-,-,-,-
1,1,35,2018-09-19,10:45 AM,10:47 AM,23,9.28,7.41,83,1100,703,29.4,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,BK/FP/HM,-,-,-,-,-,-
1,1,35,2018-09-20,2:30 PM,2:32 PM,4,8.60,7.40,115,985,632,29.6,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,BK/FP,-,-,-,-,-,-
1,1,35,2018-09-21,2:35 PM,2:37 PM,5,8.77,7.32,126,998,638,29.0,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,BK/FP,-,-,-,-,-,-
1,1,35,2018-09-22,8:51 AM,8:53 AM,11,8.47,7.94,142,998,636,28.4,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,BK/FP,-,-,-,-,-,-
1,1,35,2018-09-23,1:40 PM,1:42 PM,10,8.58,7.58,154,1002,631,30.4,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,tidak,Mining act,RT,-,-,-,-,-,-
1,1,35,2018-09-24,10:20 AM,10:22 AM,13,9.35,7.17,84,1120,717,29.4,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,tidak,Mining act,RT/FP,-,-,-,-,-,-
1,1,35,2018-09-25,9:08 AM,9:10 AM,13,9.32,7.02,123,1020,653,29.0,-,-,-,-,Surut,Normal,Normal,Tidak,Tidak,tidak,Mining act,BK/FP,-,-,-,-,-,-
1,1,35,2018-09-26,8:00 AM,8:02 AM,20,8.40,7.06,122,987,631,27.5,-,-,-,-,Surut,Agak Keruh,Normal,Tidak,Tidak,tidak,Mining act,BK/HM,-,-,-,-,-,-
