user_id,biota_id,location_id,date,taxa_richness,species_density,diversity_index,evenness_value,dominance_index
1,1,21,2019-03-27,0,0,0,0,0
1,1,21,2019-09-18,-,-,-,-,-
1,1,21,2020-06-03,0,0,0,0,0
1,1,21,2020-09-26,2,24,0.918,0.918,0.556
1,1,21,2021-03-12,1,7,0,0,1
1,1,21,2021-08-27,1,8,0,0,1
1,1,21,2022-04-27,1,8,0,0,1
1,1,21,2022-07-11,2,24,1,1,1
1,2,21,2019-03-27,11,242150,1.012,0.422,0.575
1,2,21,2019-09-18,-,-,-,-,-
1,2,21,2020-06-03,12,168367,1.91,0.77,0.23
1,2,21,2020-09-26,6,2178332,1.088,0.607,0.39
1,2,21,2021-03-12,7,2577209,0.964481353,0.495645369,0.470785865
1,2,21,2021-08-27,9,3889312,0.766986051,0.349070395,0.611781273
1,2,21,2022-04-27,5,3700822,1.018865823,0.633056929,0.411940953
1,2,21,2022-07-11,11,6275024,1.596138393,0.665641411,0.254574151
1,3,21,2019-03-27,3,3340,1.04,0.946,0.375
1,3,21,2019-09-18,-,-,-,-,-
1,3,21,2020-06-03,1,1667,0,0,1
1,3,21,2020-09-26,4,63479,0.61,0.44,0.717
1,3,21,2021-03-12,2,12531,0.636514168,0.918295834,0.555555556
1,3,21,2021-08-27,3,30072,0.867563228,0.789690082,0.5
1,3,21,2022-04-27,4,359222,1.26668072,0.913716996,0.312060573
1,3,21,2022-07-11,4,100240,1.235346812,0.891114359,0.325
1,4,21,2019-03-27,-,-,-,-,-
1,4,21,2019-09-18,-,-,-,-,-
1,4,21,2020-06-03,-,-,-,-,-
1,4,21,2020-09-26,-,-,-,-,-
1,4,21,2021-03-12,-,-,-,-,-
1,4,21,2021-08-27,13,144800,1.65444924,0.645022185,0.270748756
1,4,21,2022-04-27,8,401600,1.370800616,0.65921575,0.311824415
1,4,21,2022-07-11,17,206800,2.109995346,0.744735779,0.163848868
1,5,21,2019-03-27,-,-,-,-,-
1,5,21,2019-09-18,-,-,-,-,-
1,5,21,2020-06-03,-,-,-,-,-
1,5,21,2020-09-26,-,-,-,-,-
1,5,21,2021-03-12,-,-,-,-,-
1,5,21,2021-08-27,4,2400,1.242453325,0.896240625,0.333333333
1,5,21,2022-04-27,4,3600,1.149059697,0.828871363,0.382716049
1,5,21,2022-07-11,5,5600,1.437701444,0.893294132,0.275510204
