user_id,point_id,date,antimony ,arsenic ,barium ,beryllium ,boron ,cadmium ,hexavalent ,chromium_cr ,copper ,iodide ,lead ,mercury ,molybdenum ,nickel ,selenium ,silver ,tributyl ,zinc_zn ,chloride_cl ,free_cyanide ,total_cyanide ,fluoride ,nitrite_no2 ,nitrate ,aldrin ,dieldrin ,benzene ,benzo_a_pyrene ,tetrachloride ,chlordane ,chlorobenzene ,chlorophenol2 ,chloroform ,o_cresol ,m_cresol ,p_cresol ,total_cresol ,ethylhexylphthalate ,d ,dichlorobenzene2 ,dichlorobenzene4 ,dichloroethane1 ,dichloroethylene ,dichloroethene2 ,dichloroethene3 ,dichloromethane ,dichlorophenol ,dinitrotoluene ,ethyl_benzene ,thylenediaminetetraacetic ,formaldehyde ,hexachloro ,endrin ,heptachlor ,hexachlorobenzene ,hexachlorobutadiene ,hexachloroethane ,total_phenols ,lindane ,methoxychlor1 ,ketone ,parathion1 ,nitrobenzene ,styrene ,tetrachloroethane1 ,tetrachloroethane2 ,nitriloacetic ,pentachlorophenol ,pyridine ,toxaphene1 ,parathion ,total_chlor ,tetrachloroethene ,toluene ,trichlorobenzene ,methoxychlor2 ,trichloroethane1 ,trichloroethene2 ,toxaphene2 ,trichloroethylene ,trihalomethanes ,trichlorophenol5 ,trichlorophenol6 ,tp_silvex ,vinyl_chloride ,xylenes_total ,ddt_ddd_dde ,dichlorophenoxyacetic ,tom
1,1,2013-05-05,-,1,1,-,1,0.5,-,1,1,-,1,0.05,-,-,1,1,-,1,-,20,-,2,1,10,0.01,-,0.005,-,0.005,0.005,0.005,-,0.02,0.005,0.005,0.005,0.005,-,0.005,-,0.005,0.005,0.005,-,-,-,-,0.005,-,-,-,-,0.005,0.005,0.005,0.005,0.005,-,0.005,0.005,0.05,0.005,0.005,-,-,-,0.005,0.01,0.005,-,0.005,0.001,0.005,-,-,-,-,-,0.005,0.005,0.005,0.005,0.005,0.005,0.05,-,-,-,-
1,1,2013-10-20,-,1,1,-,1,0.5,-,1,1,-,1,0.05,-,-,1,1,-,1,-,20,-,2,1,10,0.01,-,0.005,-,0.005,0.005,0.005,-,0.02,0.005,0.005,0.005,0.005,-,0.005,-,0.005,0.005,0.005,-,-,-,-,0.005,-,-,-,-,0.005,0.005,0.005,0.005,0.005,-,0.005,0.005,0.05,0.005,0.005,-,-,-,0.005,0.01,0.005,-,0.005,0.001,0.005,-,-,-,-,-,0.005,0.005,0.005,0.005,0.005,0.005,0.05,-,-,-,-
1,1,2014-02-28,-,1,1,-,1,0.5,-,1,1,-,1,0.05,-,-,1,1,-,1,-,20,-,2,1,10,"0,01",-,"0,005",-,"0,005","0,005","0,005",-,"0,02","0,005","0,005","0,005","0,005",-,"0,005",-,"0,005","0,005","0,005",-,-,-,-,"0,005",-,-,-,-,"0,005","0,005","0,005","0,005","0,005",-,"0,005","0,005","0,05","0,005","0,005",-,-,-,"0,005","0,01","0,005",-,"0,005","0,001","0,005",-,-,-,-,-,"0,005","0,005","0,005","0,005","0,005","0,005","0,05",-,-,-,-
1,1,2014-08-21,-,1,1,-,1,0.5,-,1,1,-,1,0.05,-,-,1,1,-,1,-,20,-,2,1,10,0.01,-,0.005,-,0.005,0.005,0.005,-,0.02,0.005,0.005,0.005,0.005,-,0.005,-,0.005,0.005,0.005,-,-,-,-,0.005,-,-,-,-,0.005,0.005,0.005,0.005,0.005,-,0.005,0.005,0.05,0.005,0.005,-,-,-,0.005,0.01,0.005,-,0.005,0.001,0.005,-,-,-,-,-,0.005,0.005,0.005,0.005,0.005,0.005,0.05,-,-,-,-
1,1,2015-03-09,-,0.5,5,-,2,0.1,-,0.1,1,-,0.1,0.005,-,-,0.5,1,-,0.5,-,0.5,-,2,0.1,0.5,0.00001,-,0.001,-,0.001,0.00001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,0.001,-,0.001,0.001,0.001,-,-,-,-,0.001,-,-,-,-,0.00001,0.00001,0.001,0.001,0.001,-,0.00001,0.00001,0.001,0.001,0.001,-,-,-,0.001,0.001,0.001,-,0.001,0.00001,0.001,-,-,-,-,-,0.001,0.001,0.001,0.001,0.001,-,0.001,-,-,-,-
1,1,2015-10-02,-,0.5,5,-,2,0.1,-,0.1,1,-,0.1,0.009,-,-,0.5,1,-,0.5,-,1.6,-,2,0.1,0.7,0.001,0.001,0.001,-,0.001,0.01,0.001,-,0.001,0.001,0.001,0.001,0.001,-,0.001,-,0.001,0.001,0.001,-,-,-,-,0.001,-,-,-,-,0.01,0.001,0.001,0.001,0.001,-,0.01,0.01,0.001,0.001,0.001,-,-,-,0.001,0.001,0.001,-,0.001,0.001,0.001,-,-,-,-,-,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-,-,-,-
1,1,2016-04-18,-,0.5,0.5,-,0.5,0.1,-,0.1,0.5,-,0.1,0.005,-,-,0.5,0.01,-,0.5,-,0.8,-,2,0.2,0.7,0.001,0.001,0.001,-,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,0.001,-,0.001,0.001,0.001,-,-,-,-,0.001,-,-,-,-,0.001,0.001,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,-,-,0.001,0.001,0.001,-,0.001,0.001,0.001,-,-,-,-,-,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-,-,-,-
1,1,2016-09-28,-,0.5,0.5,-,0.5,0.01,-,0.1,0.5,-,0.1,0.005,-,-,0.5,0.01,-,0.5,-,0.5,-,2,0.2,0.5,0.001,0.001,0.001,-,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,0.001,-,0.001,0.001,0.001,-,-,-,-,0.001,-,-,-,-,0.001,0.001,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,-,-,0.001,0.001,0.001,-,0.001,0.001,0.001,-,-,-,-,-,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-,-,-,-
1,1,2017-02-25,-,0.5,0.5,-,0.5,0.01,-,0.1,0.5,-,0.1,0.005,-,-,0.5,0.01,-,0.5,-,0.5,-,2,0.1,0.5,0.001,0.001,0.001,-,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,0.001,-,0.001,0.001,0.001,-,-,-,-,0.001,-,-,-,-,0.001,0.001,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,-,-,0.001,0.001,0.001,-,0.001,0.001,0.001,-,-,-,-,-,0.001,0.001,0.001,0.001,2,0.001,0.001,-,-,-,-
1,1,2017-07-13,-,0.5,0.9,-,0.5,0.01,-,0.1,0.5,-,0.1,0.005,-,-,0.5,0.01,-,0.5,-,0.5,-,2,0.1,0.5,0.001,0.001,0.001,-,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,0.001,-,0.001,0.001,0.001,-,-,-,-,0.001,-,-,-,-,0.001,0.001,0.001,0.001,0.001,-,0.001,0.001,0.001,0.001,0.001,-,-,-,0.001,0.001,0.001,-,0.001,0.001,0.001,-,-,-,-,-,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-,-,-,-
