id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,18,8,2011-12-02,7,17:14:08,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-04,7,17:12:44,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-06,7,17:13:06,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-07,7,12:16:36,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-08,7,12:15:51,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-09,7,12:27:17,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-10,7,17:11:36,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-12,7,12:12:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-13,7,12:12:02,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-15,7,17:08:17,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-16,7,12:09:14,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-17,7,12:07:42,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-19,7,17:18:38,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-22,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-23,7,12:11:59,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-24,7,17:22:17,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-27,7,17:14:31,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
1,1,18,8,2011-12-28,7,17:24:36,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Toka pit 1,-,-,-
