id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,7,8,2021-01-03,7,12:31:16,8.4,4.6,9.8,3.184,2.751,3.507,4.453,137.6,Toka 5,-,JK/FR,-
1,1,7,8,2021-01-05,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka 6,-,JK/FR,-
1,1,7,8,2021-01-07,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka 6,-,JK/FR,-
1,1,7,8,2021-01-09,7,12:21:36,7.4,8.5,7.5,3.334,4.146,3.397,4.489,227.4,Toka 6,-,JK/FR,-
1,1,7,8,2021-01-10,7,13:40:26,11,4.9,7.4,5.273,3.618,5.029,6.433,192.4,Toka 6,-,JK/FR,-
1,1,7,8,2021-01-12,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka 6,-,JK/FR,-
1,1,7,8,2021-01-13,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka 4,-,JK/FR,-
1,1,7,8,2021-01-14,7,17:00:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka 4,-,JK/FR,-
1,1,7,8,2021-01-15,7,17:11:10,6.2,6.1,6.6,5.163,2.956,4.136,6.073,104.2,Toka 6,-,JK/FR,-
1,1,7,8,2021-01-16,7,16:11:28,5,5.5,3.7,3.697,2.238,1.813,3.767,58.57,Toka 6,-,FP/JK,-
1,1,7,8,2021-01-17,7,12:53:34,9.2,7.9,9,2.987,2.499,3.208,4.001,49.2,Toka 6,-,FP/NB,-
1,1,7,8,2021-01-18,7,12:26:31,4,7.3,10.2,1.308,0.347,0.615,1.348,94.6,Toka 5 & 6,-,BK/NB,-
1,1,7,8,2021-01-19,7,17:12:04,6.7,8.6,7.8,4.106,3.239,5.036,5.627,119.4,Toka  6,-,FP/JK,-
1,1,7,8,2021-01-20,7,17:00:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,FP/JK,-
1,1,7,8,2021-01-21,7,17:18:12,8.3,5.5,7.3,4.059,4.351,5.399,6.265,120.9,Toka  6,-,FP/JK,-
1,1,7,8,2021-01-22,7,17:10:08,5.4,5.8,6.8,4.792,3.358,5.403,6.265,121.9,Toka  6,-,RKM,-
1,1,7,8,2021-01-24,7,17:00:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,FR,-
1,1,7,8,2021-01-26,7,17:13:06,3.2,5.8,3.4,2.12,1.876,1.521,2.991,103.9,Toka  6,-,NB/FP,-
1,1,7,8,2021-01-28,7,12:26:45,4.8,6.1,5.1,1.939,0.772,1.269,1.943,95.1,Toka  6,-,NB/FP,-
1,1,7,8,2021-01-30,7,13:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,NB/FP,-
1,1,7,8,2021-02-02,7,17:00:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,RT/NB,-
1,1,7,8,2021-02-04,7,17:00:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,RT/NB,-
1,1,7,8,2021-02-09,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,RT/NB,-
1,1,7,8,2021-02-10,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,RT/NB,-
1,1,7,8,2021-02-11,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,RT/NB,-
1,1,7,8,2021-02-13,7,12:30:00,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Not Triggered,Toka  6,-,RT/NB,-
