id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,7,8,2011-06-03,7,16:12:41,17,19,16,0.206,0.365,0.286,0.420,85.3,Toka pit 1,-,-,-
1,1,7,8,2011-06-06,7,17:14:18,3.8,5.1,3.6,0.875,0.571,0.810,1.08,75.6,Toka pit 1,-,-,-
1,1,7,8,2011-06-07,7,16:07:04,4.1,22,8.0,0.317,0.222,0.413,0.459,79.1,Toka pit 1,-,-,-
1,1,7,8,2011-06-08,7,12:22:03,3.2,3.3,6.8,0.492,0.349,0.429,0.613,76.2,Toka pit 1,-,-,-
1,1,7,8,2011-06-09,7,17:21:00,10,9,12,0.810,0.524,0.571,0.955,79.4,Toka pit 1,-,-,-
1,1,7,8,2011-06-12,7,12:20:06,17,22,6.4,0.635,635,0.508,0.783,194.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-13,7,12:17:29,11,21,15,0.508,0.381,0.508,0.539,150.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-14,7,12:23:46,15,7.2,3.5,0.508,0.635,1.02,1.11,139.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-15,7,17:17:57,3.0,4.4,3.3,1.14,0.492,1.06,1.63,168.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-17,7,12:10:08,4.1,5.1,4.2,1.67,1.02,1.35,1.90,182.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-18,7,17:14:38,6.9,4.5,6.2,0.607,0.524,1.30,1.32,194.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-22,7,17:47:27,9.3,10,6.0,0.476,0.365,0.778,0.779,200.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-23,7,17:47:13,2.5,4.5,3.2,0.365,0.143,0.270,0.429,136.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-25,7,17:13:52,3.3,4.7,3.4,1.02,0.921,2.44,2.62,188.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-26,7,17:12:23,2.8,6.0,4.0,1.16,0.730,1.75,1.84,180.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-28,7,17:15:38,4.6,4.6,7.2,1.37,0.937,1.83,1.89,197.0,Toka pit 1,-,-,-
1,1,7,8,2011-06-30,7,17:36:42,4.1,5.0,4.3,1.57,1.02,1.71,1.88,193.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-01,7,12:03:49,6.6,6.2,10,0.587,0.286,0.444,0.599,141.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-02,7,12:15:59,5.7,3.9,7.5,0.683,0.444,0.651,0.719,146.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-06,7,17:14:27,3.1,3.5,3.7,1.21,0.905,1.49,1.72,194.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-07,7,12:14:05,2.7,4.9,3.3,2.27,0.571,1.24,2.36,207.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-08,7,17:16:18,5.6,4.8,4.6,0.698,0.540,1.08,"1,113",162.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-20,7,17:17:33,4.8,6.1,5.0,0.492,0.333,0.683,0.748,163.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-22,7,17:18:44,5.6,8.1,4.7,0.778,0.476,0.937,0.978,181.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-23,7,12:32:02,5.3,6.8,5.0,1.00,0.460,0.714,1.01,203.0,Toka pit 1,-,-,-
1,1,7,8,2011-07-31,7,17:24:39,2.6,5.8,4.9,2.98,1.38,2.03,3.22,199.0,Toka pit 1,-,-,-
1,1,7,8,2011-08-01,7,17:15:33,3.7,7.1,6.5,1.03,0.651,1.75,1.82,197.0,Toka pit 1,-,-,-
1,1,7,8,2011-08-02,7,17:15:48,4.3,3.8,3.0,0.476,0.444,1.02,1.04,185.0,Toka pit 1,-,-,-
1,1,7,8,2011-08-03,7,17:18:25,3.1,11,6.4,1.08,0.651,1.13,1.21,143.0,Toka pit 1,-,-,-
