codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
5,3,2010-07-01,84,59,142,132,-,27.5,-,0,-,-,-,-,-,7.09,3.5,-,0.1,3,0.02,0.005,0.007,0.005,0.02,-,0.03,0.001,0.14,-,-,-,0.0005,-,-,-,0.0001,-,-,-,0.005,0.4,0.001,-,0.005,0.00002,0.001,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,5,15,5,0.001,0.01,-,-,-,-,4840,4840
5,3,2010-08-02,138,97,1,2.9,-,23.9,-,0,-,-,-,-,-,7.35,1.7,-,0.11,2,0.02,0.005,0.005,0.005,0.02,-,0.019,0.001,0.072,-,-,-,0.0005,-,-,-,0.0001,-,-,-,0.005,0.1,0.001,-,0.006,0.00002,0.001,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,5,10,5,0.002,0.01,-,-,-,-,128,4840
5,3,2010-09-06,127,89,2,5.1,-,26.2,-,0,-,-,-,-,-,7.28,1.9,-,0.16,5,0.02,0.005,0.005,0.005,0.02,-,0.031,0.001,0.049,-,-,-,0.001,-,-,-,0.0001,-,-,-,0.005,0.06,0.001,-,0.005,0.00002,0.001,-,0.001,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,0.01,-,-,-,-,920,4840
5,3,2010-10-04,128,90,1,1.6,-,27.5,-,0,-,-,-,-,-,7.38,1.4,-,0.12,3,0.02,0.005,0.005,0.005,0.02,-,0.018,0.001,0.041,-,-,-,0.001,-,-,-,0.0001,-,-,-,0.005,0.13,0.001,-,0.009,0.00002,0.001,-,0.001,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,0.01,-,-,-,-,880,4840
5,3,2010-11-01,136,95,1,5.9,-,25.1,-,0,-,-,-,-,-,7.6,0.9,-,0.14,3,0.02,0.005,0.005,0.005,0.02,-,0.011,0.001,0.056,-,-,-,0.001,-,-,-,0.0001,-,-,-,0.005,0.07,0.001,-,0.005,0.00002,0.001,-,0.001,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,0.02,-,-,-,-,4840,4840
5,3,2010-12-01,140,98,24,45.7,-,23,-,0,-,5.78,-,-,-,7.35,2.6,-,0.14,5,0.02,0.005,0.005,0.005,0.02,-,0.018,0.002,0.055,-,-,-,0.001,-,-,-,0.0001,-,-,-,0.005,0.36,0.001,-,0.005,0.00002,0.001,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.002,0.01,-,-,-,-,560,4840
5,3,2011-01-03,139,97,7,8.6,-,23.3,-,0,-,5.71,-,-,-,7.52,2.1,-,0.13,3,0.02,0.005,0.005,0.005,0.02,-,0.005,0.001,0.037,-,-,-,0.001,-,-,-,0.0001,-,-,-,0.005,0.14,0.001,-,0.005,0.00002,0.001,-,0.001,-,0.018,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,0.03,-,-,-,-,620,4840
5,3,2011-02-01,130,91,36,-,-,25.8,-,0,-,5.51,-,-,-,7.28,1.9,-,0.12,3,0.02,0.005,0.005,0.005,0.04,-,0.076,0.002,0.027,-,0.74,-,0.0005,-,-,-,0.0001,0.001,0.01,0.001,0.005,0.31,0.001,-,0.005,0.00002,0.001,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,0.03,-,-,-,-,520,4840
5,3,2011-03-01,136,95,1,-,-,27.2,-,0,-,5.31,-,-,-,7.17,1.3,-,0.13,3,0.02,0.005,0.005,0.005,0.02,-,0.05,0.001,0.048,-,0.048,-,0.0005,-,-,-,0.0001,0.001,-,0.001,0.005,0.14,0.001,-,0.01,0.00002,0.001,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,0.06,-,-,-,-,3460,4840
5,3,2011-04-04,141,99,4,-,-,27.5,-,0,-,5.33,-,-,-,7.53,1.3,-,0.13,2,0.02,0.005,0.005,0.005,0.02,-,0.02,0.001,0.059,-,0.021,-,0.001,-,-,-,0.0001,0.001,0.01,0.001,0.005,0.12,0.001,-,0.009,0.00002,0.001,-,0.001,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,5,0.001,0.02,-,-,-,-,1300,4840
