codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
18,3,2017-04-21,1220,904,137,-,35,-,-,-,-,8.18,-,1,69,8.02,281,-,-,94,0.002,0.005,0.005,0.005,-,0.03,0.309,0.008,0.189,-,-,-,0.0053,-,0.11,11.7,0.0002,-,-,0.001,0.005,0.02,0.008,1.45,0.005,0.00005,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-
18,3,2017-05-04,1040,680,72,-,245,-,-,-,-,8.34,-,1,74,8.06,249,-,-,91,0.002,0.005,0.005,0.005,-,0.02,0.095,0.003,0.288,-,-,-,0.0005,-,0.48,82.7,0.0001,-,-,0.001,0.005,0.09,0.003,9.26,0.009,0.00005,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-
18,3,2017-06-03,2720,1870,55,-,388,-,-,-,-,7.59,-,1,74,7.88,691,-,-,124,0.002,0.005,0.005,0.005,-,0.06,0.155,0.004,0.069,-,-,-,0.0246,-,1.05,150,0.0001,-,-,0.001,0.016,0.04,0.003,3.37,0.025,0.00005,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-
18,3,2017-07-05,2640,1750,68,-,412,-,-,-,-,7.98,79,1,79,8.14,703,0.02,0.43,144,0.002,0.005,0.005,0.005,-,0.09,0.128,0.004,0.103,-,0.072,-,0.0223,-,0.988,152,0.0002,-,0.005,0.001,0.005,0.02,0.001,8.11,0.106,0.00005,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.001,0.01,-,-,-,616,-,4840
18,3,2017-08-02,4610,2690,1,-,702,-,-,-,-,7.58,-,1,77,8.07,1200,-,-,238,0.002,0.005,0.005,0.005,-,0.24,0.287,0.01,0.05,-,-,-,0.0005,-,0.032,272,0.0001,-,-,0.001,0.005,0.02,0.001,5.6,0.005,0.00002,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-
18,3,2017-09-02,5220,4100,37,-,717,-,-,-,-,7.56,76,1,76,8.16,1580,-,-,222,0.002,0.005,0.005,0.005,-,0.06,0.291,0.008,0.058,-,-,-,0.053,-,2.1,275,0.0001,-,-,0.001,0.005,0.02,0.001,7.6,0.228,0.00002,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-
18,3,2017-10-07,230,161,42,-,88,-,-,-,-,7.67,81,1,81,8.18,4.9,0.02,0.13,29,0.002,0.005,0.005,0.005,-,0.02,0.005,0.004,0.086,-,0.274,-,0.0005,-,0.031,23.7,0.0001,-,0.005,0.001,0.005,0.21,0.001,6.99,0.005,0.00005,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,0.001,0.01,-,-,-,616,-,4840
18,3,2017-11-03,322,225,20,-,149,-,-,-,-,8.03,-,1,94,8.05,7.9,-,-,91,0.002,0.005,0.005,0.005,-,0.02,0.085,0.001,0.08,-,-,-,0.0005,-,0.012,42.6,0.0001,-,-,0.001,0.005,0.1,0.001,10.5,0.007,0.00005,-,0.0005,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-
18,3,2017-12-05,336,235,1,-,138,-,-,-,-,7.87,-,1,87,8.2,9.6,-,-,76,0.002,0.005,0.005,0.005,-,0.02,0.191,0.001,0.064,-,-,-,0.0005,-,0.005,40.3,0.0001,-,-,0.001,0.005,0.05,0.001,9,0.036,0.00005,-,0.0005,0.0005,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-
18,3,2018-01-03,250,175,5,-,69,-,-,-,-,7.86,-,1,88,8.23,3.3,-,-,55,0.002,0.005,0.005,0.005,-,0.02,0.034,0.001,0.089,-,-,-,0.0005,-,0.014,27.5,0.0001,-,-,0.001,0.005,0.05,0.001,6.96,0.005,0.00005,-,0.0005,0.0107,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,-
