standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
7,1,22,2022-01-13,-,-,1014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,1,22,2022-01-14,11:00,11:02,830,7.72,7.35,122,310,208,28.3,0.1,1000,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FK/JK,-,-,-,-,-,-
7,1,22,2022-01-15,15:10,15:12,470,8.7,7.56,142,356,231,27.3,0.1,907,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",BK/JK,-,-,-,-,-,-
7,1,22,2022-01-16,14:56,14:58,349,7.95,8.02,139,314,204,28,0.1,340,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FR/FP,-,-,-,-,-,-
7,1,22,2022-01-17,14:23,14:25,1090,7.87,7.87,134,323,210,29.1,0.1,1000,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FR/FP,-,-,-,-,-,-
7,1,22,2022-01-18,10:40,10:42,1030,8,7.29,123,300,195,28.1,0.1,1000,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FR/BK,-,-,-,-,-,-
7,1,22,2022-01-19,11:32,11:34,1090,7.76,7.34,149,262,171,27.9,0.1,1000,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FR/BK/JK,-,-,-,-,-,-
7,1,22,2022-01-20,11:58,12:00,630,7.73,7.2,132,277,180,28.1,0.1,466,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FR/JK,-,-,-,-,-,-
7,1,22,2022-01-21,11:16,11:18,350,8.3,7.6,130,283,184,27.4,0.1,563,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",BK/JK,-,-,-,-,-,-
7,1,22,2022-01-22,14:06,14:08,870,8.13,7.31,142,295,191,28.1,0.1,964,-,-,Pasang,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",BK/JK,-,-,-,-,-,-
7,1,22,2022-01-23,9:13,9:15,200,8.27,7.55,125,294,191,27.3,0.1,189,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/HM,-,-,-,-,-,-
7,1,22,2022-01-24,9:06,9:08,112,8.18,7.13,122,356,231,27.3,0.2,118,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14, STA",FP/JK,-,-,-,-,-,-
7,1,22,2022-01-25,10:35,10:37,111,8.14,7.36,121,345,224,28.3,0.2,131,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FR/HM,-,-,-,-,-,-
7,1,22,2022-01-26,9:51,9:53,145,7.02,7.54,144,328,213,27.4,0.1,163,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14, STA",NB,-,-,-,-,-,-
7,1,22,2022-01-27,10:29,10:31,113,7.49,7.77,133,319,207,27.7,0.1,160,-,-,Surut,Keruh,Normal,Tidak,Ada,Tidak,"WQ14, STA",HM/JK,-,-,-,-,-,-
7,1,22,2022-01-28,9:21,9:23,550,8.16,7.64,122,327,212,26.7,0.2,639,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",HM/PP,-,-,-,-,-,-
7,1,22,2022-01-29,12:57,12:59,1100,8.2,8.13,128,332,216,29.1,0.1,1000,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14, STA",FP,-,-,-,-,-,-
7,1,22,2022-01-30,14:47,14:49,136,7.15,7.71,163,324,211,30.6,0.1,131,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",NB/BK,-,-,-,-,-,-
7,1,22,2022-01-31,11:40,11:42,200,7.63,7.25,131,301,174,29.5,0.2,268,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14, STA",NB/BK,-,-,-,-,-,-
7,1,22,2022-02-01,8:45,8:47,1890,7.41,8.4,239,346,225,27.2,0.2,1000,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP,-,-,-,-,-,-
7,1,22,2022-02-02,14:45,14:47,490,8.23,7.54,244,361,235,28.8,0.2,505,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FP/HM,-,-,-,-,-,-
7,1,22,2022-02-03,14:36,14:38,980,7.66,7.4,261,313,204,26.2,0.1,1000,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",BK/JK,-,-,-,-,-,-
7,1,22,2022-02-04,14:06,14:08,1340,8.09,7.84,241,328,208,27.2,0.2,1000,-,-,Pasang,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FP/HM,-,-,-,-,-,-
7,1,22,2022-02-05,8:25,8:27,91,8.37,7.02,168,327,212,26.5,0.2,87.3,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/HM,-,-,-,-,-,-
7,1,22,2022-02-06,10:22,10:24,73,7.95,7.48,220,324,211,27.9,0.1,71.2,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",NB/BK,-,-,-,-,-,-
7,1,22,2022-02-07,11:23,11:25,80,7.83,7.34,224,330,214,28.3,0.1,78.4,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",NB/BK,-,-,-,-,-,-
7,1,22,2022-02-08,9:27,9:29,2420,8.16,7.92,247,336,224,27.1,0.2,237,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/HM,-,-,-,-,-,-
7,1,22,2022-02-09,10:15,10:17,230,8.3,7.63,174,322,209,26.8,0.1,388,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FP/HM,-,-,-,-,-,-
7,1,22,2022-02-10,10:22,10:24,57,6.99,7.2,217,361,235,28,0.2,60.7,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FR/FK,-,-,-,-,-,-
7,1,22,2022-02-11,10:14,10:16,204,7.45,7.48,212,352,229,27.8,0.2,213,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/HM,-,-,-,-,-,-
7,1,22,2022-02-12,9:35,9:37,1740,7.68,7.72,197,327,213,27.6,0.1,1000,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/FR/HM,-,-,-,-,-,-
7,1,22,2022-02-13,15:10,15:12,720,7.2,7.22,166,321,209,28.4,0.1,1000,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",BK/JK/NB,-,-,-,-,-,-
7,1,22,2022-02-14,14:48,14:50,214,6.05,7.23,222,314,204,29.9,0.1,229,-,-,Surut,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",BK/JK/NB,-,-,-,-,-,-
7,1,22,2022-02-15,9:25,9:27,91,7.22,7.58,162,305,198,27.6,0.1,108,-,-,Surut,Keruh,Normal,Tidak,Tidak,Tidak,"WQ14, STA",FP/JK,-,-,-,-,-,-
7,1,22,2022-02-16,9:21,9:23,88,8.24,7.79,208,316,131,26.8,0.2,90.7,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/JK,-,-,-,-,-,-
7,1,22,2022-02-17,9:11,9:13,120,8.05,7.9,242,287,189,26.4,0.1,136,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FP/JK,-,-,-,-,-,-
7,1,22,2022-02-18,8:10,8:12,190,8.27,7.37,208,268,174,26.6,0.1,214,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP,-,-,-,-,-,-
7,1,22,2022-02-19,8:24,8:26,1150,8.41,7.59,210,310,208,25.4,0.1,119,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FR/FP,-,-,-,-,-,-
7,1,22,2022-02-20,13:56,13:58,360,8.25,7.19,203,256,278,27.1,0.1,428,-,-,Pasang,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FK/JK,-,-,-,-,-,-
7,1,22,2022-02-21,15:37,15:39,260,7.52,7.69,204,285,185,28.7,0.1,200,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",BK,-,-,-,-,-,-
7,1,22,2022-02-22,8:16,8:18,1250,8.42,7.68,241,239,150,24.9,0.1,807,-,-,Pasang,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FP/BK,-,-,-,-,-,-
7,1,22,2022-02-23,8:06,8:08,940,7.95,7.68,192,294,191,26.2,0.1,1000,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/BK,-,-,-,-,-,-
7,1,22,2022-02-24,8:10,8:12,750,7.85,8.02,218,229,138,25.9,0.1,1000,-,-,Pasang,Keruh,Normal,Ada,Tidak,Tidak,"WQ14, STA",FP/BK,-,-,-,-,-,-
7,1,22,2022-02-25,8:37,8:39,840,8.37,7.82,211,357,228,25.8,0.2,1000,-,-,Pasang,Keruh,Normal,Ada,Ada,Tidak,"WQ14, STA",FP,-,-,-,-,-,-
