standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
7,1,24,2021-02-15,8:42,8:44,8,7.54,7.3,108,196,127,25.1,0.1,7.6,-,-,Surut,Normal,Normal,Ada,TidaK,Tidak,Plantation,BK/NB,-,-,-,-,-,-
7,1,24,2021-02-16,8:53,8:55,1,7.3,6.89,175,170,129,25.8,0.1,22.8,-,-,Surut,Normal,Normal,Ada,TidaK,Tidak,Plantation,RT/NB,-,-,-,-,-,-
7,1,24,2021-02-17,8:25,8:27,14,7.65,7.54,185,215,135,27.6,0.1,13.2,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,RT/BK,-,-,-,-,-,-
7,1,24,2021-02-18,8:10,8:12,58,7.45,7.5,155,165,103,28.7,0.9,156,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,Plantation,RT/JK,-,-,-,-,-,-
7,1,24,2021-02-19,8:45,8:47,22,7.32,7.32,142,159,100,27.8,0,21.8,-,-,Surut,normal,Normal,Tidak,Tidak,Tidak,Plantation,RT/JK,-,-,-,-,-,-
7,1,24,2021-02-20,13:50,13:52,8,7.34,7.15,160,158,99,27.8,0,12.4,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,RT,-,-,-,-,-,-
7,1,24,2021-02-21,7:50,7:52,4,7.36,7.29,192,189,122,25.2,0,3,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,FP,-,-,-,-,-,-
7,1,24,2021-02-22,9:37,9:39,7,7.52,7.5,182,187,119,26.9,0.1,7.9,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,FP/BK,-,-,-,-,-,-
7,1,24,2021-02-23,8:37,8:39,4,7.47,7.26,162,153,97,26.4,0.1,3.9,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,RT/FP/BK,-,-,-,-,-,-
7,1,24,2021-02-24,8:34,8:36,7,7.29,7.28,137,158,99,26.4,0,4.8,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,RT/BK,-,-,-,-,-,-
7,1,24,2021-02-25,8:48,8:50,6,7.37,7.23,179,156,104,26.4,0.1,2.6,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,FP/JK,-,-,-,-,-,-
7,1,24,2021-02-26,7:56,7:58,5,7.31,7.27,179,162,114,26.2,0.1,3.6,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,FP/BK,-,-,-,-,-,-
7,1,24,2021-02-27,8:09,8:11,5,7.59,7.42,170,149,97,25.8,0.1,6.3,-,-,Surut,Normal,Normal,Ada,TidaK,Tidak,Plantation,FP/BK,-,-,-,-,-,-
7,1,24,2021-02-28,8:35,8:37,5,7.29,7.19,155,173,108,26.5,0,4.3,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Aktivitas Pit,RT,-,-,-,-,-,-
7,1,24,2021-03-01,13:12,13:14,9,7.1,7.1,139,225,146,27.9,0,8.3,-,-,Surut,Normal,Normal,Ada,Ada,Tidak,Plantation,BK/FR,-,-,-,-,-,-
7,1,24,2021-03-02,10:04,10:06,8,7.26,7.29,182,173,112,26.5,0,8.2,-,-,Surut,Normal,Normal,Ada,TidaK,Tidak,Jungle,RT/FP,-,-,-,-,-,-
7,1,24,2021-03-03,9:02,9:04,9,7.29,7.14,167,156,98,26.3,0.1,7.2,-,-,Surut,Normal,Normal,Ada,TidaK,Tidak,Plantation,FP/JK,-,-,-,-,-,-
7,1,24,2021-03-04,8:38,8:40,24,7.22,7.17,189,184,119,24.9,0.1,18.5,-,-,Surut,Agak Keruh,Normal,Ada,Ada,Tidak,Plantation,NB/JK,-,-,-,-,-,-
7,1,24,2021-03-05,8:28,8:30,147,7.2,7.38,167,174,114,25.6,0.1,144,-,-,Surut,Keruh,Normal,Ada,TidaK,Tidak,Plantation,FP/NB/PP,-,-,-,-,-,-
7,1,24,2021-03-06,8:12,8:14,129,7.34,7.24,169,194,126,24.9,0.1,140,-,-,Surut,Keruh,Normal,Ada,Ada,Tidak,Alaskar,FP/NB,-,-,-,-,-,-
7,1,24,2021-03-07,12:00,12:02,14,7.59,7.4,182,190,124,28.3,0.2,18.3,-,-,Surut,Normal,Normal,Ada,TidaK,Tidak,Alaskar,FR/PP,-,-,-,-,-,-
7,1,24,2021-03-08,12:18,12:20,12,7.31,7.15,158,166,104,25.8,0,12.1,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,RT/FR/PP,-,-,-,-,-,-
7,1,24,2021-03-09,9:05,9:07,12,7.13,7.23,189,187,120,26.4,0.1,19.4,-,-,Surut,Agak Keruh,Normal,Ada,TidaK,Tidak,Alaskar,FP/NB,-,-,-,-,-,-
7,1,24,2021-03-10,8:50,8:52,7,7.39,7.1,173,170,110,26.5,0.1,7.4,-,-,Surut,Normal,Normal,Tidak,TidaK,Tidak,Plantation,FP/JK,-,-,-,-,-,-
7,1,24,2021-03-11,8:06,8:08,6,7.33,7.06,175,189,129,25.8,0.1,8.3,-,-,Surut,Normal,Normal,Ada,TidaK,Tidak,Alaskar,NB/JK,-,-,-,-,-,-
