standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
7,1,25,2021-02-21,7:56,7:58,2,7.45,7.23,185,173,122,25.7,0,2.4,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,FP,-,-,-,-,-,-
7,1,25,2021-02-22,9:39,9:41,5,7.4,7.27,281,190,128,25.9,0,1,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,FP/BK,-,-,-,-,-,-
7,1,25,2021-02-23,8:49,8:51,5,7.47,7.26,174,167,101,26.9,0.06,4.5,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,RT/FP/BK,-,-,-,-,-,-
7,1,25,2021-02-24,8:30,8:32,6,7.19,7.1,148,169,106,26.5,0,6.9,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,RT/BK,-,-,-,-,-,-
7,1,25,2021-02-25,8:39,8:41,5,7.28,7.14,175,169,113,26.2,0.7,3.7,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,FP/JK,-,-,-,-,-,-
7,1,25,2021-02-26,8:05,8:07,7,7.29,7.34,183,170,116,26.5,0.09,6.4,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,FP/BK,-,-,-,-,-,-
7,1,25,2021-02-27,8:16,8:18,6,7.42,7.36,163,166,103,27.4,0.06,7.1,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Plantation,FP/BK,-,-,-,-,-,-
7,1,25,2021-02-28,8:25,8:27,4,7.35,7.19,160,169,106,26.2,0,7.8,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Jungle,RT,-,-,-,-,-,-
7,1,25,2021-03-01,13:23,13:25,28,7.3,7.25,161,210,133,27.9,0,30.5,-,-,Surut,Keruh,Normal,ADA,ADA,Tidak,Plantation,BK/FR,-,-,-,-,-,-
7,1,25,2021-03-02,9:55,9:57,10,7.19,7.19,175,169,106,26.2,0,8.7,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Alaskar Pit,RT/FP,-,-,-,-,-,-
7,1,25,2021-03-03,9:08,9:10,10,7.34,7.23,178,164,101,26.7,0.06,7.9,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Alaskar Pit,FP/JK,-,-,-,-,-,-
7,1,25,2021-03-04,8:42,8:44,19,7.35,7.28,195,198,125,25,0.08,18.3,-,-,Surut,Agak Keruh,Normal,ADA,Tidak,Tidak,Alaskar Pit,NB/JK,-,-,-,-,-,-
7,1,25,2021-03-05,8:20,8:22,3,7.23,7.66,168,185,120,25.7,0.09,4.2,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Alaskar Pit,FP/NB/PP,-,-,-,-,-,-
7,1,25,2021-03-06,8:05,8:07,7,7.4,7.06,175,185,120,24.5,0.08,8.6,-,-,Surut,Normal,Normal,ADA,ADA,Tidak,Plantation,FP/NB,-,-,-,-,-,-
7,1,25,2021-03-07,11:52,11:54,12,7.33,7.19,164,171,111,28.1,0.7,15.2,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Plantation,FR/PP,-,-,-,-,-,-
7,1,25,2021-03-08,12:10,12:12,9,7.18,7.3,161,150,94,25.6,0,10.2,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,RT/FR/PP,-,-,-,-,-,-
7,1,25,2021-03-09,8:54,8:56,26,7.16,7.49,182,177,115,26.6,0.08,10.2,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Plantation,FP/NB,-,-,-,-,-,-
7,1,25,2021-03-10,8:41,8:43,9,7.46,7.2,182,164,106,26.8,0.1,6.3,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Alaskar Pit,FP/JK,-,-,-,-,-,-
7,1,25,2021-03-11,8:13,8:15,7,7.29,7.11,173,184,120,26,0.07,8.6,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Plantation,NB/JK,-,-,-,-,-,-
7,1,25,2021-03-12,8:13,8:15,10,7.3,7.13,169,179,113,25.3,0.08,9.4,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Plantation,NB/JK,-,-,-,-,-,-
7,1,25,2021-03-13,8:11,8:13,16,7.62,7.85,185,173,112,26.6,0.08,17,-,-,Surut,Agak Keruh,Normal,ADA,Tidak,Tidak,Plantation,NB/FP/BK,-,-,-,-,-,-
7,1,25,2021-03-14,15:08,15:10,10,7.63,7.6,145,197,128,30.1,0.13,11.1,-,-,Surut,Normal,Normal,ADA,Tidak,Tidak,Plantation,RT/FR,-,-,-,-,-,-
7,1,25,2021-03-15,8:51,8:53,20,7.26,7.22,160,190,123,26,0,20.6,-,-,Surut,Agak Keruh,Normal,ADA,Tidak,Tidak,Mining Act,BK/RT/FR,-,-,-,-,-,-
7,1,25,2021-03-16,9:03,9:05,11,7.6,7.24,174,152,98,27.2,0.06,12.4,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,NB/FP,-,-,-,-,-,-
7,1,25,2021-03-17,8:21,8:23,6,7.24,7.06,175,179,116,26,0.07,7.5,-,-,Surut,Normal,Normal,Tidak,Tidak,Tidak,Plantation,NB/FP,-,-,-,-,-,-
