user_id,biota_id,location_id,date,taxa_richness,species_density,diversity_index,evenness_value,dominance_index
1,1,12,2021-03-17,1,7,0,0,1
1,1,12,2021-09-01,3,136,1.221047785,0.770395378,0.474048443
1,1,12,2022-04-14,4,104,1.352030102,0.676015051,0.514792899
1,1,12,2022-07-12,3,72,1.351644115,0.852792488,0.432098765
1,2,12,2021-03-17,5,1729278,1.0930247,0.679134431,0.387371934
1,2,12,2021-09-01,8,6503589,0.81432384,0.391606988,0.492076928
1,2,12,2022-04-14,8,3299830,1.302857577,0.626542055,0.341336324
1,2,12,2022-07-12,10,2702519,1.769022075,0.768276526,0.224197282
1,3,12,2021-03-17,3,16708,1.039720771,0.94639463,0.375
1,3,12,2021-09-01,5,37593,1.522955068,0.946265187,0.234567901
1,3,12,2022-04-14,4,75186,1.273028337,0.918295834,0.308641975
1,3,12,2022-07-12,7,221381,1.080901084,0.555473275,0.529369883
1,4,12,2021-03-17,7,288400,1.119528177,0.575323675,0.396804023
1,4,12,2021-09-01,8,490800,0.890949561,0.428456171,0.462575613
1,4,12,2022-04-14,12,494400,1.5047698,0.605563915,0.257959699
1,4,12,2022-07-12,12,114800,1.833903117,0.738016906,0.203098253
1,5,12,2021-03-17,5,10400,0.893115075,0.554923596,0.562130178
1,5,12,2021-09-01,3,2000,1.054920168,0.960229718,0.36
1,5,12,2022-04-14,6,9600,1.573739409,0.878320688,0.243055556
1,5,12,2022-07-12,3,3200,0.900256051,0.819448372,0.46875
