user_id,point_id,standard_id,date,conductivity,totaldissolvedsolids_tds,totalsuspendedsolids_tss,turbidity,hardness,alkalinity_ascaco3,alkalinitycarbonate,alkalinitybicarbonate,temperature,salinity,dissolvedoxygen_do,ph,alkalinitytotal,chloride_cl,fluoride_f,sulphate_so4,sulphite_h2s,freechlorine_cl2,freecyanide_fcn,totalcyanide_cntot,wadcyanide_cnwad,ammonia_nh4,ammonium_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,totalphosphate_ppo4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,calcium_ca,chromium_cr,chromiumhexavalent_cr6,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,tin_sn,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromiumhexavalent_tcr6,chromium_tcr,cobalt_tco,copper_tco,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oilandgrease,totalphenols,surfactant_mbas,totalpcb,aox,pcdfs,pcdds,fecalcoliform,ecoli,totalcoliformbacteria
1,9,3,2012-06-02,280,155,36,-,-,-,-,-,-,-,6.37,8.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.001,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2012-07-02,270,203,29,-,-,-,-,-,29.3,-,6.66,8.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0014,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00005,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2012-08-01,291,189,70,-,65,-,-,-,26.4,-,6.08,7.8,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,0.005,-,-,-,-,16.8,-,-,-,0.005,0.02,-,5.74,0.005,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2012-09-03,316,205,34,-,120,-,-,-,26.1,-,6.52,8.29,-,-,-,58,-,-,-,-,-,-,-,-,-,-,-,0.036,-,-,-,-,29.9,-,-,-,0.005,0.02,-,11.1,0.005,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2012-10-03,312,203,-,-,109,-,-,-,26,-,5.3,8.14,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,0.01,-,-,-,-,27.3,-,-,-,0.005,0.02,-,10,0.005,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2012-11-01,347,225,-,-,136,-,-,-,30.5,-,6.08,7.37,-,-,-,91,-,-,-,-,-,-,-,-,-,-,-,0.14,-,-,-,-,32.9,-,-,-,0.005,0.13,-,13.1,0.011,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2012-12-03,275,179,38,-,-,-,-,-,27.7,-,6.23,7.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.001,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00005,0,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2013-01-11,281,180,15,-,-,-,-,-,23.8,-,7.58,7.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.001,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00005,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2013-02-11,275,179,27,-,-,-,-,-,28.3,-,6.88,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0006,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00005,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,9,3,2013-03-05,201,137,29,-,-,-,-,-,30.5,-,6.15,7.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0005,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00008,0.001,-,-,-,-,0.006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
