user_id,point_id,standard_id,date,conductivity,totaldissolvedsolids_tds,totalsuspendedsolids_tss,turbidity,hardness,alkalinity_ascaco3,alkalinitycarbonate,alkalinitybicarbonate,temperature,salinity,dissolvedoxygen_do,ph,alkalinitytotal,chloride_cl,fluoride_f,sulphate_so4,sulphite_h2s,freechlorine_cl2,freecyanide_fcn,totalcyanide_cntot,wadcyanide_cnwad,ammonia_nh4,ammonium_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,totalphosphate_ppo4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,calcium_ca,chromium_cr,chromiumhexavalent_cr6,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,tin_sn,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromiumhexavalent_tcr6,chromium_tcr,cobalt_tco,copper_tco,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oilandgrease,totalphenols,surfactant_mbas,totalpcb,aox,pcdfs,pcdds,fecalcoliform,ecoli,totalcoliformbacteria
1,1,3,2008-10-01,148.7,68.6,1,3,-,71,-,-,26.5,0,-,6.8,-,-,-,7,-,-,0.005,0.005,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,0.065,0.193,0.003,-,0.057,0.00005,-,-,0.0001,-,0.015,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,1600,-,-,-,-,-,-,-,-
1,1,3,2008-11-01,161.2,72.5,11,24.6,-,74,-,-,27.9,0,-,7,-,-,-,7,-,-,0.005,0.005,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,0.002,0.702,0.001,-,0.243,0.00005,-,-,0.0001,-,0.006,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
1,1,3,2008-12-01,117.8,54.2,11,21,-,54,-,-,26.6,0,6.4,6.5,-,2.5,0.09,7,0.002,-,0.005,0.005,0.02,-,0.077,0.001,0.011,0.1,0.001,0.001,-,-,0.0001,0.001,-,0.001,0.011,0.139,0.002,-,0.037,0.00005,0.001,0.002,0.0001,-,0.011,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,3,10,5,0.002,-,100,-,-,-,-,-,-,-,-
1,1,3,2009-01-01,128.1,59.3,11,23.6,-,61,-,-,26.4,0,-,7.8,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,0.001,0.002,-,-,-,-,-,-,0.121,1.29,0.001,-,0.377,0.00005,-,-,0.0001,-,0.01,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,300,-,-,-,-,-,-,-,-
1,1,3,2009-02-01,109,52.5,2,5.9,-,16,-,-,25.4,0,-,7.1,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,0.032,0.18,0.002,-,0.042,0.00005,-,-,0.0001,-,0.019,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,3500,-,-,-,-,-,-,-,-
1,1,3,2009-03-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,3,2009-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,3,2009-05-01,134.6,59.8,3,7.6,-,59,-,-,28.7,0.1,-,6.6,-,2.1,0.08,3,0.002,0.005,0.005,0.005,0.04,-,0.025,0.001,0.032,0.1,-,0.002,-,-,0.0001,0.001,-,0.002,0.002,1.01,0.001,-,0.459,0.00005,0.03,0.0005,0.0001,-,0.027,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,5,0.017,-,0,-,-,-,-,-,-,-,-
1,1,3,2009-06-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,3,2009-07-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
