user_id,point_id,standard_id,date,conductivity,totaldissolvedsolids_tds,totalsuspendedsolids_tss,turbidity,hardness,alkalinity_ascaco3,alkalinitycarbonate,alkalinitybicarbonate,temperature,salinity,dissolvedoxygen_do,ph,alkalinitytotal,chloride_cl,fluoride_f,sulphate_so4,sulphite_h2s,freechlorine_cl2,freecyanide_fcn,totalcyanide_cntot,wadcyanide_cnwad,ammonia_nh4,ammonium_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,totalphosphate_ppo4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,calcium_ca,chromium_cr,chromiumhexavalent_cr6,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,tin_sn,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromiumhexavalent_tcr6,chromium_tcr,cobalt_tco,copper_tco,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oilandgrease,totalphenols,surfactant_mbas,totalpcb,aox,pcdfs,pcdds,fecalcoliform,ecoli,totalcoliformbacteria
1,5,3,2012-06-02,346,248,73,-,-,-,-,-,30.5,-,5.91,7.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0021,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00005,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2012-07-02,263,202,43,-,-,-,-,-,33.8,-,8.21,8.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0019,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00005,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2012-08-01,322,-,-,-,61,-,-,-,31.3,-,8.45,8.14,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,0.005,-,-,-,-,15.5,-,-,-,0.005,0.04,-,5.32,0.005,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2012-09-03,344,-,-,-,98,-,-,-,26.7,-,6.13,8.5,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,0.013,-,-,-,-,31,-,-,-,0.005,0.02,-,5.08,0.014,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2012-10-03,295,-,-,-,63,-,-,-,28.8,-,5.16,8.52,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,0.015,-,-,-,-,22.4,-,-,-,0.005,0.02,-,1.79,0.016,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2012-11-01,558,362,-,-,211,-,-,-,29.8,-,6.05,8.31,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-,0.072,-,-,-,-,64.5,-,-,-,0.005,0.06,-,12.2,0.052,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2012-12-03,624,406,9,-,-,-,-,-,24.9,-,6,7.01,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,0.001,-,0.0009,-,0.001,-,-,0.06,-,0.001,-,-,0.00005,0.022,-,-,-,-,0.091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2013-01-11,537,349,22,-,-,-,-,-,24.3,-,6.58,6.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.001,-,0.0006,-,0.001,-,-,0.014,-,0.001,-,-,0.00006,0.017,-,-,-,-,0.047,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2013-02-11,472,307,1,-,-,-,-,-,29.2,-,6.37,7.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0005,-,0.0004,-,0.001,-,-,0.011,-,0.003,-,-,0.00007,0.012,-,-,-,-,0.044,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,3,2013-03-05,522,339,6,-,-,-,-,-,30.8,-,6.46,5.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0006,-,0.0006,-,0.001,-,-,0.065,-,0.001,-,-,0.0001,0.02,-,-,-,-,0.083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
