user_id,point_id,standard_id,date,conductivity,totaldissolvedsolids_tds,totalsuspendedsolids_tss,turbidity,hardness,alkalinity_ascaco3,alkalinitycarbonate,alkalinitybicarbonate,temperature,salinity,dissolvedoxygen_do,ph,alkalinitytotal,chloride_cl,fluoride_f,sulphate_so4,sulphite_h2s,freechlorine_cl2,freecyanide_fcn,totalcyanide_cntot,wadcyanide_cnwad,ammonia_nh4,ammonium_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,totalphosphate_ppo4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,calcium_ca,chromium_cr,chromiumhexavalent_cr6,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,tin_sn,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromiumhexavalent_tcr6,chromium_tcr,cobalt_tco,copper_tco,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oilandgrease,totalphenols,surfactant_mbas,totalpcb,aox,pcdfs,pcdds,fecalcoliform,ecoli,totalcoliformbacteria
1,4,3,2008-12-01,-,-,5,18.7,-,63,-,-,-,0,6.3,6.7,-,2.5,0.09,5,0.002,-,-,0.005,0.005,0.02,-,0.579,0.027,0.013,-,0.1,0.001,0.001,-,0.0001,-,0.001,-,0.001,0.01,0.296,0.001,-,0.089,0.00005,0.002,0.002,0.0001,-,-,0.005,-,-,-,-,-,-,-,-,-,0.00005,-,-,3,10,5,0.002,0.02,-,-,-,-,100,-,13700
1,4,3,2009-01-01,132.1,59.5,6,14.5,-,62,-,-,27.8,0,-,7.9,-,-,-,5,-,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,0.227,0.19,0.002,-,0.107,0.00005,-,-,0.0001,-,-,0.01,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,-,0,-,2200
1,4,3,2009-02-01,138.2,62.4,13,26.3,-,34,-,-,27.7,0,-,7.4,-,-,-,7,-,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,0.02,0.392,0.001,-,0.088,0.00005,-,-,0.0001,-,-,0.013,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,-,100,-,9800
1,4,3,2009-03-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,3,2009-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,3,2009-05-01,124,59.5,1,0.7,-,62,-,-,32.2,0,-,7.2,-,2,0.08,3,0.002,-,-,0.005,0.005,0.03,-,0.017,0.001,0.022,-,0.1,-,0.002,-,0.02,-,0.01,-,0.02,0.001,0.15,0.002,-,0.045,0.00005,0.03,0.0005,0.0001,-,-,0.029,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,5,0.007,0.02,-,-,-,-,0,-,800
1,4,3,2009-06-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,3,2009-07-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,3,2009-08-01,133,71,7,11.2,-,-,-,-,30,0,-,7.76,-,2.7,0.12,3,0,-,0,0,0,0,-,0.01,0,0.014,-,0.068,-,0.0009,-,0,-,0,-,0,0,0.12,0,-,0.077,0,-,0,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,5,10,5,0.013,0,-,-,-,-,-,1,179
1,4,3,2009-09-01,195,103,18,25.1,-,-,-,-,29.2,0,-,8.09,-,2.5,0.16,7,0.02,-,0.005,0.005,-,0.15,-,0.042,0.003,0.023,-,0.175,-,0.0013,-,0.0001,-,0.01,-,0.001,0.005,0.32,0.001,-,0.405,0.00002,-,0.0006,0.0001,-,-,0.007,-,-,-,-,-,-,-,-,-,-,-,-,5,29,5,0.036,0.01,-,-,-,-,-,1,1300
1,4,3,2009-10-01,207,110,24,23.5,-,-,-,-,29.5,0,-,8.08,-,2.7,0.17,6,0.02,-,0.005,0.005,-,0.1,-,0.07,0.005,0.092,-,-,-,0.0017,-,-,-,-,-,-,0.007,0.19,0.001,-,0.155,0.00002,-,-,0.0001,-,-,0.005,0.222,-,0.0001,0.01,-,0.001,-,-,0.0005,-,-,-,5,14,5,0.001,0.01,-,-,-,-,-,2,1010
1,4,3,2009-11-01,192,98,10,10.9,-,-,-,-,29.1,0,-,7.73,-,3.6,0.16,16,0.02,-,0.005,0.005,-,0.28,-,0.756,0.044,0.028,-,-,-,0.0015,-,-,-,-,-,-,0.005,0.12,0.001,-,0.254,0.00005,-,-,0.0001,-,-,0.005,0.145,-,0.0001,0.01,-,0.001,-,-,0.0005,-,-,-,5,24,5,0.039,0.01,-,-,-,-,-,2,822
1,4,3,2009-12-01,110,56,7,16,-,-,-,-,28.5,0,-,7.44,-,2.9,0.11,9,0.02,-,0.005,0.005,-,0.04,-,0.012,0.002,0.046,-,-,-,0.001,-,-,-,-,-,-,0.005,0.12,0.001,-,0.027,0.00002,-,-,0.001,-,-,0.014,0.52,-,0.0001,0.01,-,0.001,-,-,0.001,-,-,-,5,12,5,0.001,0.01,-,-,-,-,-,6,4840
1,4,3,2010-01-04,114,80,3,3,-,-,-,-,29.2,0,-,7.47,-,3.4,0.12,8,0.02,-,0.005,0.005,-,0.02,-,0.029,0.002,0.023,-,-,-,0.0005,-,-,-,-,-,-,0.005,0.13,0.001,-,0.023,0.00002,-,-,0.0001,-,-,0.006,0.537,-,0.0001,0.01,-,0.001,-,-,0.0005,-,-,-,5,10,5,0.001,0.01,-,-,-,-,-,8,1100
1,4,3,2010-02-02,112,78,19,43.5,-,-,-,-,28.9,0,-,7.31,-,2.8,0.11,5,0.02,-,0.005,0.005,-,0.07,-,0.1,0.004,0.028,-,-,-,0.0006,-,-,-,-,-,-,0.005,0.16,0.001,-,0.079,0.00005,-,-,0.0001,-,-,0.014,0.546,-,0.0001,0.01,-,0.001,-,-,0.0005,-,-,-,5,10,5,0.001,0.01,-,-,-,-,-,1230,4840
1,4,3,2010-03-01,124,87,2,6.6,-,-,-,-,29.8,0,-,7.41,-,2.4,0.11,6,0.02,-,0.005,0.005,-,0.04,-,0.008,0.001,0.047,-,-,-,0.0008,-,-,-,-,-,-,0.005,0.17,0.001,-,0.079,0.00003,-,-,0.0001,-,-,0.005,0.208,-,0.0001,0.01,-,0.001,-,-,0.0005,-,-,-,5,10,5,0.001,0.02,-,-,-,-,-,2,1540
1,4,3,2010-04-05,122,85,19,33.5,-,-,-,-,29.1,0,-,7.66,-,2.7,0.14,5,0.02,-,0.005,0.005,0.005,0.02,-,0.345,0.001,0.05,-,-,-,0.001,-,0.0001,-,-,-,-,0.005,0.18,0.001,-,0.005,0.00002,0.001,-,0.0001,-,-,0.007,0.341,-,0.0002,0.01,-,0.001,-,-,0.0005,0.00002,-,-,5,10,5,0.001,0.01,-,-,-,-,-,340,4840
1,4,3,2010-05-03,118,83,2,6.3,-,-,-,-,30.6,0,-,7.92,-,2.6,0.1,6,0.02,-,0.005,0.005,0.005,0.02,-,0.033,0.002,0.059,-,-,-,0.0005,-,0.0001,-,-,-,-,0.005,0.18,0.001,-,0.02,0.00002,0.001,-,0.0001,-,-,0.007,0.079,-,0.0001,0.01,-,0.001,-,-,0.0005,0.00003,-,-,5,10,5,0.001,0.01,-,-,-,-,-,6,1040
