user_id,point_id,standard_id,date,conductivity,totaldissolvedsolids_tds,totalsuspendedsolids_tss,turbidity,hardness,alkalinity_ascaco3,alkalinitycarbonate,alkalinitybicarbonate,temperature,salinity,dissolvedoxygen_do,ph,alkalinitytotal,chloride_cl,fluoride_f,sulphate_so4,sulphite_h2s,freechlorine_cl2,freecyanide_fcn,totalcyanide_cntot,wadcyanide_cnwad,ammonia_nh4,ammonium_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,totalphosphate_ppo4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,calcium_ca,chromium_cr,chromiumhexavalent_cr6,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,tin_sn,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromiumhexavalent_tcr6,chromium_tcr,cobalt_tco,copper_tco,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oilandgrease,totalphenols,surfactant_mbas,totalpcb,aox,pcdfs,pcdds,fecalcoliform,ecoli,totalcoliformbacteria
1,7,3,2011-06-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,3,2011-07-05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,3,2011-08-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,3,2011-09-03,547,383,10,-,-,-,-,-,25.1,0,4.07,6.76,-,3.1,0.14,20,0.02,-,0.005,0.005,0.005,0.24,-,0.055,0.004,0.058,-,0.005,-,0.0005,-,0.0001,-,-,0.01,0.011,0.005,0.02,0.001,-,3.99,0.00002,0.001,-,0.0001,-,-,0.005,0.083,0.0024,0.0001,0.01,0.001,0.012,0.007,0.001,0.0005,0.00007,0.001,0.005,2,10,5,0.001,0.01,-,-,-,-,-,12,198
1,7,3,2011-10-04,494,346,52,-,-,-,-,-,27.4,0.3,3.58,7.21,-,2.4,0.21,27,0.02,-,0.005,0.005,0.005,0.33,-,0.068,0.005,0.011,-,0.011,-,0.0005,-,0.0001,-,-,0.01,0.01,0.005,0.03,0.001,-,4.38,0.00005,0.001,-,0.0001,-,-,0.005,1.53,0.0031,0.0001,0.01,0.001,0.013,0.012,0.001,0.0007,0.00014,0.001,0.008,2,10,5,0.001,0.01,-,-,-,-,-,4,620
1,7,3,2011-11-01,484,339,25,-,-,-,-,-,29.7,-,2.29,6.57,-,1.9,0.14,29,0.02,-,0.005,0.005,0.005,0.3,-,0.03,0.002,0.041,-,0.018,-,0.0006,-,0.0001,-,-,0.01,0.011,0.012,0.04,0.001,-,4.8,0.00005,0.001,-,0.0001,-,-,0.008,0.208,0.0044,0.0001,0.01,0.001,0.014,0.022,0.001,0.0005,0.00007,0.001,0.01,3,10,5,0.001,0.01,-,-,-,-,-,2,128
1,7,3,2011-12-01,480,336,28,-,-,-,-,-,27.4,-,3.74,7.17,-,3.6,0.13,28,0.02,-,0.005,0.005,0.005,0.23,-,0.02,0.001,0.007,-,0.005,-,0.0008,-,0.0001,-,-,0.01,0.009,0.005,0.02,0.001,-,3.63,0.00005,0.001,-,0.0001,-,-,0.007,0.231,0.0049,0.0001,0.01,0.001,0.011,0.005,0.001,0.0005,0.00009,0.001,0.009,2,10,5,0.001,0.01,-,-,-,-,-,2,340
1,7,3,2012-01-02,502,352,18,-,-,-,-,-,28.8,-,4.14,7.44,189,3.5,0.15,65,0.02,-,0.01,0.005,0.005,0.13,-,0.089,0.002,0.01,-,0.005,0.001,0.0015,-,0.0001,-,-,0.01,0.006,0.005,0.02,0.001,-,2.57,0.00005,0.001,-,0.0001,9.16,-,0.005,0.385,0.0033,0.0001,0.01,0.001,0.007,0.005,0.001,0.0005,0.0002,0.001,0.006,2,16,5,0.001,0.01,-,-,-,-,-,2,3980
1,7,3,2012-02-01,608,302,28,-,-,-,-,-,26.7,-,5.51,8.54,184,-,-,51,-,-,-,0.006,0.005,-,-,-,-,-,-,0,-,-,-,-,58.2,-,-,-,0.01,0.2,-,17.6,3,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,3,2012-03-02,-,282,162,-,-,-,-,-,-,-,-,7.76,80,-,-,155,-,-,-,0.005,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,3,2012-04-02,-,351,17,-,-,-,-,-,-,-,5.98,6.6,204,-,-,27,-,-,-,0.005,0.005,-,-,-,-,-,-,0.01,-,-,-,-,54.8,-,-,-,0.01,0.09,-,16.7,3.41,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4840
1,7,3,2012-05-01,-,361,14,-,-,-,-,-,-,-,-,6.73,211,-,-,51,-,-,-,0.005,0.005,-,-,-,-,-,-,0.005,-,-,-,-,58.8,-,-,-,0.01,0.02,-,18,3.27,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,3,2012-06-02,520,353,19,-,-,-,-,-,28,-,2.1,6.88,-,-,-,-,-,-,0.005,0.005,0.005,-,-,-,-,-,-,-,-,0.001,-,0,-,-,0.001,-,0.005,-,0.001,-,-,0,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,3,2012-07-02,590,338,20,-,-,-,-,-,28,-,2.23,6.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0041,-,0.0001,-,0.001,-,-,0.005,-,0.001,-,-,0.00005,0.001,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
