standard_id,user_id,codesample_id,date,start_time,stop_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d,remarks
1,1,1,2016-01-05,9:20 AM,9:30 AM,10,6.29,7.2,185,365,237,30.4,0,0,0,0,Surut,Keruh,Normal,Ada,Tidak,Tidak,ex. exploration act.,AP/BK/CR/RT,0,0,0,0,0,Monthly sampling
1,1,1,2016-01-13,9:02 AM,9:04 AM,18,6.45,6.71,121,312,202,27.9,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,ex. exploration act.,BK/CR/RT,0,0,0,0,0,no data
1,1,1,2016-01-21,8:44 AM,8:46 AM,34,6.34,6.9,183,416,268,28.8,0,0,0,0,Surut,Keruh,Normal,Ada,Tidak,Tidak,ex. exploration act.,AL/BK,0,0,0,0,0,no data
1,1,1,2016-01-28,10:14 AM,10:16 AM,15,7.34,6.53,123,393,276,28.4,0,0,0,0,Surut,Keruh,Normal,Ada,Tidak,Tidak,ex. exploration act.,AL/CR/RT,0,0,0,0,0,no data
1,1,1,2016-04-05,8:20 AM,8:22 AM,48,6.75,6.5,254,312,207,30,0,0,0,0,Surut,Keruh,Normal,YA,Tidak,Tidak,-,RH/CR/RT/BK,0,0,0,0,0,no data
1,1,1,2016-07-02,8:30 AM,8:37 AM,8,7.46,6.87,285,382,249,29.8,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,Arearen Area,RT/RH/BK,0,0,0,0,0,Monthly sampling
1,1,1,2016-10-04,8:22 AM,8:28 AM,0,6.66,6.47,231,2790,1820,26.7,0,0,0,0,Surut,Agak keruh,Normal,ada,Tidak,Tidak,mining act,AL/RT/RH,0,0,0,0,0,mountly
1,1,1,2017-01-02,9:16 AM,9:18 AM,0,7.28,7.24,148,3520,2060,45,0,0,0,0,Pasang,Normal,Normal,Ada,Tidak,Tidak,Araren Pit,AP/DA/BK,0,0,0,0,0,Monthly sampling
1,1,1,2017-04-05,8:40 AM,8:46 AM,34,6.75,7.24,269,4440,2430,50,0,0,0,0,Surut,Agak keruh,Normal,ada,Tidak,Tidak,Araren Pit,AL/RH/RT,0,0,0,0,0,Monthly sampling
1,1,1,2017-04-19,11:22 AM,11:24 AM,18,7.27,7.09,87,5080,2740,46.2,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/BK,0,0,0,0,0,no data
1,1,1,2017-04-20,10:08 AM,10:12 AM,44,7.85,6.1,190,5400,3250,58,0,0,0,0,Pasang,Keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,RH/BK,0,0,0,0,0,no data
1,1,1,2017-04-21,9:16 AM,9:20 AM,50,7.96,6.79,198,5554,3467,55,0,0,0,0,Surut,Keruh,Normal,ada,Tidak,Tidak,Araren Pit,AP/RH,0,0,0,0,0,no data
1,1,1,2017-04-22,11:48 AM,11:50 AM,49,8.2,6.91,209,5782,3547,51,0,0,0,0,Surut,Keruh,Normal,ada,Tidak,Tidak,Araren Pit,RH,0,0,0,0,0,no data
1,1,1,2017-04-23,9:30 AM,9:32 AM,43,8.16,6.89,210,5772,3559,50,0,0,0,0,Surut,Keruh,Normal,ada,Tidak,Tidak,Araren Pit,AP/BK,0,0,0,0,0,no data
1,1,1,2017-04-24,9:26 AM,9:28 AM,45,7.9,6.81,203,5387,3616,55,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,RH/BK,0,0,0,0,0,no data
1,1,1,2017-04-25,11:04 AM,11:06 AM,45,7.98,6.71,199,5902,3168,53,0,0,0,0,Surut,Agak keruh,Normal,ada,Tidak,Tidak,Araren Pit,RH/BK,0,0,0,0,0,no data
1,1,1,2017-04-26,10:54 AM,10:56 AM,45,8.28,7.11,169,5412,3247,58,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/BK,0,0,0,0,0,no data
1,1,1,2017-04-27,10:11 AM,10:13 AM,42,8.2,6.88,81,5303,3352,54,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AL/BK,0,0,0,0,0,no data
1,1,1,2017-04-28,7:56 AM,7:58 AM,40,8.26,7.01,174,5379,3341,58,0,0,0,0,Surut,Agak keruh,Normal,ada,Tidak,Tidak,Araren Pit,AP/BK,0,0,0,0,0,no data
1,1,1,2017-04-29,9:49 AM,9:51 AM,42,8.01,6.84,206,5815,3616,58,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AP/BK,0,0,0,0,0,no data
1,1,1,2017-04-30,8:55 AM,8:57 AM,7,8.1,6.81,211,5663,3478,55,0,0,0,0,Surut,Agak keruh,Normal,Tidak,Tidak,Tidak,Araren Pit,AP/BK,0,0,0,0,0,no data
