user_id,point_id,standard_id,date,conductivity,totaldissolvedsolids_tds,totalsuspendedsolids_tss,turbidity,hardness,alkalinity_ascaco3,alkalinitycarbonate,alkalinitybicarbonate,temperature,salinity,dissolvedoxygen_do,ph,alkalinitytotal,chloride_cl,fluoride_f,sulphate_so4,sulphite_h2s,freechlorine_cl2,freecyanide_fcn,totalcyanide_cntot,wadcyanide_cnwad,ammonia_nh4,ammonium_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,totalphosphate_ppo4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,calcium_ca,chromium_cr,chromiumhexavalent_cr6,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,tin_sn,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromiumhexavalent_tcr6,chromium_tcr,cobalt_tco,copper_tco,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oilandgrease,totalphenols,surfactant_mbas,totalpcb,aox,pcdfs,pcdds,fecalcoliform,ecoli,totalcoliformbacteria
1,6,2,2011-06-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2011-07-05,2490,1460,302,-,-,-,-,-,29.5,0,3.13,9.48,-,36.8,1.77,840,0.02,-,0.006,0.27,0.05,1.61,-,3.64,0.51,0.024,-,0.196,-,0.0524,-,0.0001,-,-,0.01,0.222,0.011,0.06,0.001,-,0.005,0.00007,0.001,-,0.0001,-,-,0.005,3.49,0.0532,0.0001,0.01,0.002,0.266,0.053,0.001,0.0172,0.0003,0.001,0.005,2,10,5,0.001,0.01,-,-,-,-,-,2,4840
1,6,2,2011-08-02,4440,2970,56,-,-,-,-,-,29.2,0,4.29,8.75,-,74.9,2.2,1660,0.02,-,0.2,0.46,0.2,8.65,-,10.6,1.11,0.128,-,0.038,-,0.0397,-,0.0001,-,-,0.01,0.434,0.021,0.14,0.001,-,0.02,0.00019,0.001,-,0.0002,-,-,0.005,3.44,0.0447,0.0001,0.01,0.003,0.475,0.046,0.001,0.0568,0.00068,0.004,0.007,2,10,5,0.001,0.01,-,-,-,-,-,2,1640
1,6,2,2011-09-03,4530,2760,41,-,-,-,-,-,23.9,0,5.18,8.77,-,46.9,1.77,1870,0.02,-,0.36,0.66,0.36,58.5,-,9.06,4.44,0.022,-,0.011,-,0.0271,-,0.0001,-,-,0.01,0.379,0.35,0.06,0.001,-,0.027,0.00016,0.003,-,0.0012,-,-,0.056,1.55,0.0286,0.0001,0.01,0.002,0.407,1.49,0.001,0.0664,0.00143,0.007,0.061,2,10,5,0.001,0.01,-,-,-,-,-,2,8
1,6,2,2011-10-04,2950,1840,32,-,-,-,-,-,27.1,1.7,4.15,9.02,-,3.5,1.58,1160,0.02,-,0.105,0.725,0.14,48.5,-,5.94,2.44,0.07,-,0.008,-,0.0224,-,0.0001,-,-,0.01,0.241,0.356,0.05,0.001,-,0.005,0.0005,0.003,-,0.0132,-,-,0.005,1.23,0.0292,0.0001,0.01,0.001,0.273,2.69,0.001,0.085,0.002,0.014,0.005,2,27,5,0.001,0.01,-,-,-,-,-,2,2
1,6,2,2011-11-01,2869,1750,47,-,-,-,-,-,25.7,-,5.91,9.08,-,99.3,1.08,1130,0.02,-,0.44,1.65,1.08,44.3,-,4.22,1.48,0.097,-,0.151,-,0.0076,-,0.0001,-,-,0.01,0.189,2.72,0.16,0.001,-,0.24,0.0001,0.009,-,0.0151,-,-,0.005,0.881,0.0153,0.0001,0.01,0.001,0.201,7.05,0.001,0.109,0.00233,0.014,0.005,2,18,5,0.001,0.01,-,-,-,-,-,2,2
1,6,2,2011-12-01,1860,1230,13,-,-,-,-,-,29.8,-,3.28,8.51,-,51.7,0.48,740,0.02,-,0.68,1.02,0.96,23.6,-,2.1,0.649,0.146,-,0.006,-,0.0046,-,0.0001,-,-,0.01,0.159,0.865,0.02,0.001,-,0.166,0.0003,0.003,-,0.0162,-,-,0.005,0.792,0.005,0.0001,0.01,0.001,0.186,1.6,0.001,0.038,0.00033,0.005,0.005,2,13,5,0.001,0.02,-,-,-,-,-,2,2
1,6,2,2012-01-02,1460,906,75,-,-,-,-,-,28.1,-,1.32,8.46,247,48.1,0.6,278,0.02,-,3.8,4.4,4.2,9.96,-,6.03,0.449,0.276,-,0.009,0.0012,0.0061,-,0.0001,-,-,0.01,0.09,7.3,0.02,0.001,-,0.028,0.0007,0.024,-,0.05,169,-,0.008,1.5,0.018,0.0001,0.01,0.001,0.108,13.2,0.001,0.058,0.00079,0.031,0.012,2,23,5,0.008,0.02,-,-,-,-,-,2,4
1,6,2,2012-02-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-03-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-04-02,-,998,40,-,-,-,-,-,-,-,6.26,9.34,72,-,-,560,-,-,-,0.74,0.087,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.241,-,-,-,-,-,-,-,-,-,-,0.011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4840
1,6,2,2012-05-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-06-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-07-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-08-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-09-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-10-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-11-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2012-12-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2013-01-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2013-02-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2013-03-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2013-04-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2013-05-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2013-06-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,2,2013-07-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
