user_id,biota_id,location_id,date,taxa_richness,species_density,diversity_index,evenness_value,dominance_index
1,1,1,2018-05-24,6,84,2.414,0.934,0.204
1,1,1,2018-09-26,-,-,-,-,-
1,1,1,2019-04-09,3,24,1.5,0.946,0.375
1,1,1,2019-09-18,-,-,-,-,-
1,1,1,2020-05-28,-,-,-,-,-
1,1,1,2021-04-22,3,32,1.5,0.946,0.375
1,1,1,2021-09-15,3,128,1.199,0.757,0.5234375
1,1,1,2022-04-12,2,24,0.918,0.918,0.555555556
1,2,1,2018-05-24, 9 ," 2,180,220 ",1.048,0.475,0.443
1,2,1,2018-09-26, - , - ,-,-,-
1,2,1,2019-04-09, 9 ," 156,364 ",1.451,0.660,0.382
1,2,1,2019-09-18, - , - ,-,-,-
1,2,1,2020-05-28,-,-,-,-,-
1,2,1,2021-04-22,5,"1,458,492",0.572,0.355,0.736
1,2,1,2021-09-15, 7 ," 501,200 ",1.142,0.587,0.443
1,2,1,2022-04-12,7,"1,035,896",1.520,0.781,0.283
