id,user_id,gwcodesample_id,date,gwtablestandard_id,start_time,stop_time,well,well_water,h,water_volume,temperatur,ph,conductivity,tds,redox,do,salinity,turbidity,water_color,odor,rain_before_sampling,rain_during_sampling,oil_layer,source_pollution,sampler,remarks
1,1,1,2011-09-29,1,-,-,77.7,28.7,49,99.24,26.7,7.65,496,230*ppm,-,-,0.2,-,slightly turbid,Yes,-,No,No,No,OS/AL,-
1,1,1,2011-11-18,1,-,-,77.54,28.54,49,99.24,34.7,7.07,328,153,-,-,NA,-,slightly turbid,Yes,No,No,No,No,OS/MW,-
1,1,1,2011-12-15,1,-,-,77.55,47.73,29.82,60.39,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-
1,1,1,2012-01-06,1,-,-,77.48,47.47,30.01,60.78,29.7,7.27,297,138,763,7.28,NA,-,Turbid,Yes (acid),Yes,No,No,TSF catchment,OL/MW,-
1,1,1,2012-02-16,1,-,-,77.08,47.2,29.88,60.52,26.05,6.85,308,142,878,4.51,NA,-,Normal,No,No,No,No,TSF catchment,OL/MW/RH,-
1,1,1,2012-03-14,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No sampling (Van belt ground water machine broke)
1,1,1,2012-04-04,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No sampling (Van belt ground water machine broke)
1,1,1,2012-05-04,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No sampling (Van belt ground water machine broke)
1,1,1,2012-06-04,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No sampling (Van belt ground water machine broke)
1,1,1,2012-07-04,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No sampling (Van belt ground water machine broke)
1,1,1,2012-08-04,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No sampling (Van belt ground water machine broke)
1,1,1,2012-09-04,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No sampling (Van belt ground water machine broke)
1,1,1,2012-10-13,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AP/AL,Tidak ada air
1,1,1,2013-05-07,1,11:00 AM,-,77.44,34.04,43.4,87.9,33.3,7.3,306,200,190,3.16,NA,-,slightly turbid,No,No,No,No,Waste dump Toka,AP/RH,-
1,1,1,2013-06-05,1,2:25 PM,-,77.87,32.34,45.53,92.21,33.3,6.6,314,210,269,4.16,0.02,-,slightly turbid,Yes,No,No,No,Waste dump Toka,AP/RH/CR,-
1,1,1,2013-07-04,1,2:10 PM,-,90,33.72,56.28,113.98,31.6,6.34,291,190,275,3.24,NA,-,slightly turbid,No,No,No,No,TSF catchment,AL/RH,-
1,1,1,2013-08-15,1,8:54 AM,-,90,34.19,55.81,113.03,33,6.22,290,188,192,2.08,NA,-,Normal,No,No,No,No,TSF catchment,AL/MT,Has sample duplicate (GWD 01)
1,1,1,2013-09-11,1,1:18 PM,1:44 PM,76.52,34.33,42.19,85.45,30.4,6.57,323,210,154,2.4,NA,-,Normal,No,No,No,No,TSF catchment,AP/AL/CR,-
1,1,1,2013-10-04,1,8:04 AM,-,76.53,35.04,41.49,84.03,31.5,6.39,292,188,180,3.18,NA,-,Normal,No,No,No,No,TSF catchment,AL/RH,Has sample duplicate (GWD 01)
1,1,1,2013-11-13,1,9:15 AM,-,-,35.12,-,-,31.3,6.76,312,203,157,2.03,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,FB/AL/SM,-
1,1,1,2013-12-11,1,10:00 AM,10:30 AM,-,-,-,-,31.3,7.95,300,169,270,1.4,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/CR,-
1,1,1,2014-01-08,1,9:00 AM,9:27 AM,76.69,30,46.69,94.56,27.4,6.89,180,119.9,100,2.01,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/CR,Has sample duplicate (GWD 01)
1,1,1,2014-02-11,1,8:30 AM,9:05 AM,76.68,34.5,42.18,85.43,27.6,6.86,282,180.6,105,1.4,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AP/CR,-
1,1,1,2014-03-12,1,8:35 AM,8:58 AM,76.68,35.88,40.8,82.63,31,6.17,338,220,183,3.04,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/CR/RT,-
1,1,1,2014-04-07,1,9:30 AM,9:56 AM,76.69,32.3,44.39,89.9,27.4,6.87,282,180,185,1.28,NA,-,Agak keruh,Yes,No,No,No,Waste dump Toka & TSF catchment,AP/SP,-
1,1,1,2014-05-07,1,8:50 AM,9:05 AM,76.69,36.12,40.57,82.17,32,6.32,352,230,254,2.48,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/CR/RT,-
1,1,1,2014-06-10,1,8:45 AM,9:12 AM,76.69,36.28,40.41,81.84,32.7,6.36,335,219,224,2.32,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/RH/RT,-
1,1,1,2014-07-03,1,9:09 AM,9:27 AM,76.69,36.45,40.24,81.5,31.5,6.6,419,268,231,2.52,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/AL,Has sample duplicate (GWD 01)
1,1,1,2014-07-23,1,1:45 PM,2:10 PM,76.69,35.22,41.47,83.99,31.9,6.46,294,192,208,2.45,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/RH/RT,-
1,1,1,2014-08-06,1,9:02 AM,9:19 AM,76.69,32.46,44.23,89.58,31.8,6.62,294,190,257,2.94,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/AP/CR,-
1,1,1,2014-09-04,1,9:02 AM,9:30 AM,76.69,34.42,42.27,85.61,30,7.18,286,186,195,2.61,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/RT,-
1,1,1,2014-10-09,1,9:15 AM,9:50 AM,76.69,31.4,45.29,91.73,29.9,6.71,295,190,251,2.51,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/CR/RT,-
1,1,1,2014-11-11,1,8:45 AM,8:59 AM,76.69,35.62,41.07,83.18,31.2,6.9,365,234,273,2.53,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/RT,-
1,1,1,2014-12-07,1,9:10 AM,9:30 AM,76.69,33.5,43.19,87.47,30.9,6.86,332,215,171,2.36,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/AL,-
1,1,1,2015-01-13,1,9:58 AM,10:15 AM,76.69,36.78,39.91,80.83,31.7,6.87,314,204,207,2.69,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AL/CR,-
1,1,1,2015-01-12,1,2:30 PM,2:45 PM,76.69,26.4,50.29,101.85,31.2,7.15,349,227,222,2.05,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AP/RT/BK,-
1,1,1,2015-03-06,1,8:30 AM,8:45 AM,76.69,34.7,41.99,85.04,32,6.79,301,195,255,2.03,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AP/RT/BK,Has sample duplicate (GWD 01)
1,1,1,2015-04-08,1,9:15 AM,9:30 AM,76.69,36.2,40.49,82,31.5,7.13,356,232,184,2.44,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,RH/CR/AL,-
1,1,1,2015-05-05,1,9:30 AM,9:45 AM,76.69,51.4,25.29,51.22,29.6,7.19,347,229,190,2.4,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/BK/CR,-
1,1,1,2015-06-04,1,10:02 AM,10:24 AM,76.69,34.4,42.29,85.65,32.7,7.08,317,206,252,2.85,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,RH/CR/AL,-
1,1,1,2015-07-08,1,9:09 AM,9:25 AM,76.69,35.12,41.57,84.19,31.8,7.21,321,209,247,2.86,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/BK/CR,-
1,1,1,2015-08-05,1,9:20 AM,9:35 AM,76.69,30.08,46.61,94.4,32,7.02,340,221,196,1.73,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/RH/RT,-
1,1,1,2015-09-06,1,9:20 AM,9:35 AM,76.69,39.8,36.89,74.71,31.5,6.59,349,226,212,1.3,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AP/RT/BK,-
1,1,1,2015-10-09,1,8:25 AM,8:45 AM,76.69,32.2,44.49,90.11,33.4,6.51,319,208,212,2.21,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AP/AL/CR,-
1,1,1,2015-11-05,1,9:29 AM,9:54 AM,76.69,30.6,46.09,93.35,33.8,7.02,361,234,136,2,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/CR/RH/RT,-
1,1,1,2015-12-03,1,9:32 AM,9:42 AM,76.69,32.6,44.09,89.3,33.9,6.61,349,227,145,2.76,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/RH/RT,-
1,1,1,2016-01-07,1,9:00 AM,9:20 AM,76.69,31.4,45.29,91.73,33.4,6.29,328,213,217,4.21,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/RT/CR/BK,-
1,1,1,2016-02-04,1,9:00 AM,9:15 AM,76.69,35,41.69,84.43,32.6,6.86,336,221,218,4.93,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,RH/RT/CR,-
1,1,1,2016-03-03,1,9:10 AM,9:04 AM,76.69,32,44.69,90.51,32.6,6.54,334,218,198,2.87,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/BK/RT,-
1,1,1,2016-04-07,1,9:30 AM,9:45 AM,76.69,37,39.69,80.38,31.5,7.19,354,229,253,2.94,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/CR/BK/RT,-
1,1,1,2016-04-15,1,9:00 AM,9:20 AM,76.69,39,37.69,76.33,31.9,6.66,324,210,216,3.58,NA,-,Agak keruh,No,No,No,No,Waste dump Toka & TSF catchment,AP/RH/RT,Resampling
1,1,1,2016-05-10,1,8:47 AM,8:59 AM,76.69,34.25,42.44,85.95,33.7,6.63,357,231,251,2.41,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AL/RT/RH/CR,-
1,1,1,2016-06-07,1,8:20 AM,8:35 AM,76.69,36,40.69,82.41,32.4,6.82,387,250,321,2.37,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,RH/RT/BK/CR,-
1,1,1,2016-07-08,1,9:34 AM,9:56 AM,76.69,40,36.69,74.31,34.1,6.42,371,241,255,2.33,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,RT/RH/BK,-
1,1,1,2016-08-04,1,9:00 AM,9:13 AM,76.69,31.6,45.09,91.32,32.8,6.58,395,257,231,2.74,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AL/RH/RT/BK,-
1,1,1,2016-09-04,1,8:33 AM,8:53 AM,76.69,34,42.69,86.46,31.5,6.11,344,223,169,1.92,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,RH/RT/BK,-
1,1,1,2016-10-06,1,10:03 AM,10:12 AM,76.69,31,45.69,92.54,33.2,6.6,361,238,160,3.36,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AL/RH/BK,-
1,1,1,2016-11-04,1,8:20 AM,8:40 AM,76.69,34,42.69,86.46,31.4,6.5,365,238,178,3.9,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,RH/RT/BK,-
1,1,1,2016-12-07,1,9:52 AM,10:00 AM,76.69,33,43.69,88.49,33,6.46,344,220,114,2.51,NA,-,Normal,No,No,No,No,Waste dump Toka & TSF catchment,AL/RT/RH/BK,-
1,1,1,2017-01-01,1,9:00 AM,9:15 AM,76.69,52,24.69,50,29.8,7.08,312,165,190,3.4,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/DA,-
1,1,1,2017-02-06,1,11:20 AM,11:25 AM,76.69,42,34.69,70.26,29,6.57,319,169,163,4.2,NA,-,Normal,No,Yes,No,No,Waste dump Toka & TSF catchment,AP/BK,-
